[8.689] (S)りぶらんぬ: ohayo
[9.403] (S)気難しいパンティ: こん
[10.041] (S)あおてぃ: こん
[13.906] (S)kafuka15: こん！
[14.130] (S)its_MuNya: fantas22Muscle
[16.421] (S)ama0526: こん
[18.177] (S)れぶりみ: ういー
[19.420] (S)コガショーキ: fantas22Muscle
[19.956] weatherfang0: こ
[20.866] (S)バロン67: こん
[20.960] (S)ひるお: ｵﾊﾖｵﾊﾖ
[21.013] Ghv3GjB3: キタァァァァァァア
[21.072] (S)オムご飯: ｵﾊﾖｵﾊﾖ
[21.169] (S)ishibashikun: こんばんは
[22.250] (S)rookie_jpn: こん
[22.379] (S)こむ____: こん〜
[22.393] (S)88ハチ公: おはおー！
[22.573] (S)xyz_3931: ういー
[22.644] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[22.706] (S)mira_koko: ｵﾊﾖ ｵﾊﾖ
[22.847] doruyann: こん
[23.144] hikari0091: こん
[23.225] nxsthj: きちゃー！
[23.537] (S)メニらふぃ: 急に！！
[23.763] tomoomot1231: きたあああああああ
[24.001] (S)ムーンバナナ: ｵﾊﾖｵﾊﾖ
[24.236] (S)molybdenum_steel: fantas22Muscle
[24.832] (S)yukky_games_: fantas22Muscle
[25.174] k140316: こんばんはー！
[25.948] 紺碧のくまさん: こん
[26.135] ビショビショ美少女: ちす
[26.162] unk12345: 頑張って
[26.184] (S)take2212: take2212 subscribed at Tier 1. They've subscribed for 4 months! 
[26.362] (S)剣丸: ui
[27.049] (S)しゅりな: fantas22Muscle
[27.269] ビショビショ美少女: こん
[27.577] (S)takenoko45: おは
[27.802] ゴリぽん酢: きたああああああ
[28.012] (S)飛びます飛びます: きちゃぁ！
[28.109] (S)ぺんた326: こん！
[28.219] (S)mintia_1232: こん
[28.391] (S)きゅむぉ: ごわっす✋
[28.423] (S)べねでぃくと: こんばんは
[28.426] kouri0315: ｵﾊﾖｵﾊﾖ
[29.318] sensunawa: ｵﾊﾖｵﾊﾖ
[29.388] kyouji_10: ｵﾊﾖｵﾊﾖ
[29.682] (S)88ハチ公: 今日からスクリムなんだ
[29.868] えんえんトンネル: ｵﾊﾖｵﾊﾖ
[29.877] asagaya_a: ❤️
[31.000] sebasu000: どすこい
[31.069] (S)いうた: こんばんは
[31.209] (S)horizonkkfr: がんばー
[31.291] (S)つちのこ83: おは
[31.468] rakki141: おつかれにこ
[31.656] しふぁん: ｵﾊﾖｵﾊﾖ
[31.826] (S)メニらふぃ: fantas22Muscle
[31.854] (S)あすとろ: ｵﾊﾖｵﾊﾖ
[32.035] (S)ゆずきち00: おいす
[32.259] (S)辛麻婆豆腐: ｵﾊﾖｵﾊﾖ
[32.266] (S)あいむそーばっと: kita---
[32.267] (S)べべ3: ｵﾊﾖｵﾊﾖ
[32.517] (S)ハルハル3: ｵﾊﾖｵﾊﾖ
[32.729] (S)キャキャロット0911: fantas22Muscle
[32.730] (S)ouma3_: fantas22Muscle
[32.750] (S)suzu25012: ういー
[32.751] banana_0209: ｵﾊﾖｵﾊﾖ
[32.799] moa_8131: ｵﾊﾖｵﾊﾖ
[32.983] (S)さととも: こんばんは
[33.226] (S)mintia_1232: mintia_1232 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! 
[33.241] (S)ファイブゼット: fantas22Nice
[33.418] (S)バロン67: 頑張って！
[33.455] (S)karipaku_83: きちゃー！
[34.254] (S)dakr5123: fantas22Muscle
[34.322] (S)miyayu6: こんしおー
[34.392] yusei_no_pen: ク・ホ
[34.506] (S)~MISSING_COMMENTER_INFO~: ｵﾊﾖｵﾊﾖ
[34.782] asuka0569: おいす
[34.998] tensasasa: ファン太コーチおぼなのおもろ
[35.008] (S)たつぴーまん: fantas22Muscle
[35.216] (S)キャキャロット0911: HypeCheer
[35.250] (S)kaito06149: ｵﾊﾖｵﾊﾖ
[35.820] enchaan123: ｵﾊﾖｵﾊﾖ
[35.881] (S)宗像とーや: こんばんはー！
[36.453] yukitwitch14: ｵﾊﾖｵﾊﾖｵﾊﾖｵﾊﾖｵﾊﾖｵﾊﾖ
[36.454] 鯖缶だよ: おは
[36.496] (S)alohapon: ｵﾊﾖｵﾊﾖ
[36.539] (S)kasu75: ｵﾊﾖｵﾊﾖ
[36.943] (S)シルニカ: おはよおはよ
[37.592] (S)catina5456: うい
[37.787] nuramv: おいす
[37.994] (S)horizonkkfr: どーすこい！
[39.115] (S)shacomongo: fantas22Muscle
[39.932] (S)ムーンバナナ: デカ
[40.038] (S)たち_: こん
[40.250] yazuniki: ｵﾊﾖｵﾊﾖ
[40.490] takkun6: オハヨオハヨ
[40.690] (S)テバ_02: おっ王～♪
[41.832] space_1114: オハヨオハヨ
[41.985] (S)qpchan: ｵﾊﾖｵﾊﾖ
[42.376] (S)未知数みちお: ｵﾊﾖｵﾊﾖ
[42.480] (S)88ハチ公: へんでぃ🤍
[42.587] (S)miyu__1234: こんばんはー
[43.633] tomoomot1231: なるおさん！！
[44.446] iuiuiuiuiiuu: こんー
[44.483] (S)xyz_3931: コーチおぼまじおもろいw
[44.741] hatiware25: どすこーい
[44.867] nana43: ｵﾊﾖｵﾊﾖ
[45.990] (S)とすたー: ｵﾊﾖｵﾊﾖ
[46.403] (S)ky1124boc: おは
[46.792] (S)れすポン: 大会期間だけは本田を応援します
[46.923] (S)Jewel_meat: おいっすー
[47.057] ガパライ: ｵﾊﾖｵﾊﾖ
[47.127] vinder626: ｵﾊﾖｵﾊﾖ
[47.425] (S)シルニカ: ハイタニさん声でっか
[47.436] (S)epic178: おっす
[48.574] (S)saka9767: fantas22Muscle
[48.805] (S)uiirbee: ﾌｧﾝﾁｬﾝ ｵﾊﾖｵﾊﾖ 
[49.469] (S)ピン汰: がんばれええええ
[50.309] (S)Jewel_meat: fantas22Muscle
[51.156] め_ちゃん: ｵﾊﾖｵﾊﾖ
[51.158] (S)たつぴーまん: ｸ、ﾎ
[52.096] gi_n_koro: ｵﾊﾖ ｵﾊﾖ
[52.204] (S)べーまる: おぼコーチあっつ
[52.638] (S)テバ_02: テバ_02 subscribed at Tier 1. They've subscribed for 7 months! 
[53.555] mother_nbs: ｵﾊﾖｵﾊﾖ
[54.006] (S)patrick1000koo: fantas22Muscle
[55.672] (S)gigashake0: おはよ
[55.884] pepepev2: 頑張れファン太！
[56.886] (S)shingoshigaa: ｵﾊﾖｵﾊﾖ
[56.943] nxsthj: お風呂から配信してる？w
[57.126] 勇者ヒンメルならそうした: おはよおはよ
[57.697] (S)ムーンバナナ: クホ
[60.035] (S)echidna_123: クラシックすげー！れ
[60.087] y0zuki_: ｵﾊﾖｵﾊﾖ
[60.231] 無料の屍: こんばんは
[61.661] risamo_: ｵﾊﾖｵﾊﾖ
[61.740] (S)miyasora999: fantas22Muscle
[66.702] (S)ピン汰: fantas22Muscle
[67.870] まぐ12: ついに、ですか、
[71.315] (S)yacchin0373: がんばれー！
[75.387] (S)地縛神ポンタリウス: ｵﾊﾖｵﾊﾖ
[77.417] (S)モミコン: ｵﾊﾖｵﾊﾖ
[79.131] (S)べねでぃくと: fantas22Muscle
[80.424] (S)pentua__2525: fantas22Muscle
[80.891] (S)こあちあん: ｵﾊﾖｵﾊﾖ
[85.719] (S)アィスクリーム: ｵﾊﾖ､ｵﾊﾖ
[85.908] (S)zanzan121: zanzan121 subscribed at Tier 1. They've subscribed for 9 months! ファイト
[87.314] (S)しとらあす0323: がんばれーー
[87.597] ダカク: ｵﾊﾖｵﾊﾖ
[88.157] terasu25: ｵﾊﾖｵﾊﾖ
[89.627] ようちエンジン: ｵﾊﾖｵﾊﾖ
[90.972] (S)きゅむぉ: へええ
[91.177] ey04286: ｵﾊﾖｵﾊﾖ
[92.803] (S)RAIA_414: ｵﾊﾖｵﾊﾖ
[93.333] (S)alohapon: おおー
[93.710] butabara400g: ハイタニさんやん
[96.774] (S)ryuku0531wt: ｵﾊﾖｵﾊﾖ
[103.192] (S)shu_brave: どすこーい
[103.722] (S)mitsuki5252: ｵﾊﾖ
[105.562] (S)qpchan: へンディーーあっつぅ
[106.006] (S)pon__24: こんちゃっすー！ ヘンディーも一緒なのかアツゥ〜！
[109.403] (S)こむ____: がんばれー！！！
[109.649] (S)いうた: ww
[110.049] (S)takenoko45: はあいw
[111.135] ビショビショ美少女: なんやそれw
[111.572] (S)澄ミレ3スミレ: えら
[112.064] えんえんトンネル: ニヤニヤすなww
[113.511] オオゼキ: ヘンディー♡
