[9.014] (S)MASA_03: わこ
[10.358] (S)~MISSING_COMMENTER_INFO~: Cheer100
[16.953] i_jp: 王
[16.954] (S)~MISSING_COMMENTER_INFO~: おはよ
[17.609] (S)Boya_05: YOYOYOYO
[21.847] (S)中島君: おっす
[21.985] (S)メニらふぃ: fantas22Muscle
[22.106] mackent0000: ワ
[23.365] (S)らくとさん: ｵﾊﾖｵﾊﾖ
[26.394] (S)catina5456: うい
[28.287] (S)うーたんじゃぱん: 塩
[28.494] (S)蛙田いぶき: ｵﾊﾖｵﾊﾖ
[29.015] (S)べべ3: うい
[29.186] (S)辛麻婆豆腐: ｵﾊﾖｵﾊﾖ
[29.318] ういくじら: こんー
[29.349] (S)スカイライン乗り: ｵﾊﾖｵﾊﾖ
[30.286] (S)のるんくん: おいすー！
[31.140] nininbou: ｵﾊﾖｵﾊﾖ
[31.453] (S)plunus_1: hey
[31.745] (S)88ハチ公: おはおー！
[31.917] (S)doumo_konnitiwa: おはー
[32.136] (S)yuyamen: ｵﾊﾖｵﾊﾖ
[32.323] (S)ﾖﾙ_: fantas22No1
[32.871] hulkantos: こんばんは
[33.052] yukito127: うい～
[33.074] (S)c_world_: ｵﾊﾖｵﾊﾖ
[33.217] gomakichirx: ｵﾊﾖｵﾊﾖ
[33.347] (S)ぴえーるたき: fantas22Nice
[33.544] (S)nanachan0617: おつー
[33.557] (S)ももどいう: ｵﾊﾖｵﾊﾖ
[33.591] (S)ouma3_: fantas22Muscle
[33.787] (S)kafuka15: ｵﾊﾖｵﾊﾖ
[33.814] (S)yacchin0373: こん
[33.923] (S)steeee_oki: うい
[33.935] ぬぴ17: ｵﾊﾖｵﾊﾖ
[33.995] (S)ゆずきち00: おいす
[34.017] (S)benzacoverrr: ｵﾊﾖｵﾊﾖ
[34.027] (S)_なこ_: こんばんは
[34.735] (S)マキタ食堂: ういー
[34.816] (S)たつぴーまん: お、王
[35.286] もーりぃー: 王
[35.435] (S)飛びます飛びます: おはよ
[35.555] nana43: ｵﾊﾖｵﾊﾖ
[35.770] tatisjrfan23: ｵﾊﾖｵﾊﾖ
[35.902] (S)気難しいパンティ: こん
[35.980] (S)宗像とーや: こんばんはー！
[35.991] (S)zerogravity0910: こんばんは
[36.051] tamamorisenpai: ｵﾊﾖｵﾊﾖ
[36.127] (S)ゆーうと: fantas22Muscle
[36.482] (S)バロン67: ｵﾊﾖ､ｵﾊﾖ
[36.533] (S)モルト_416: おはようございます
[36.689] (S)剣丸: うい
[36.833] (S)おいどん111: おはよおはよ
[36.898] asagaya_a: おいすー
[37.057] (S)toufu_090909: ｵﾊﾖｵﾊﾖ
[37.089] e_t_o__: こん
[37.123] (S)ザッキー12: ｵﾊﾖｵﾊﾖ
[37.176] ごーやちゃんぽ: ｵﾊﾖｵﾊﾖ
[37.374] (S)べねでぃくと: こんばんは
[37.418] ももけろ: お疲れ様です
[37.501] (S)yattarouu: おはよー
[37.639] dorgon359824: ｵﾊﾖｰ
[37.703] ぞのち: ｵﾊﾖｵﾊﾖ
[37.765] (S)uiirbee: ﾌｧﾝﾁｬﾝ ｵﾊﾖｵﾊﾖ 
[37.772] (S)niho_niho: おいすー
[37.794] (S)taroimo_118: うぃー
[37.846] (S)banndana5115: ｵﾊﾖｵﾊﾖ
[37.860] twitch_fuga11: おは王
[37.873] (S)shiki_maru0000: おいす
[37.912] (S)earl2socks: ｵﾊﾖ、ｵﾊﾖ
[38.064] (S)ヤマヒー: fantas22No1
[38.192] (S)tigtiger_jp: おはよおはよ
