[6.682] (S)だーさと: うぃ～
[11.569] れぶりみ: ういー
[12.043] (S)_ととまる_: こん
[12.540] (S)まちまちだ: うい
[14.183] (S)もーーーたん: ｵｶｴﾘ ｵｶｴﾘ
[15.847] (S)ティターナ: おかえり～
[17.847] poteto_sc30: おかえりー
[18.093] k140316: おかえりー
[18.902] (S)its_MuNya: ｵｶｴﾘｵｶｴﾘ
[19.302] (S)peho_okok: PopNemo
[21.245] kazuki4017: おいす
[21.345] (S)takimusha: おかおか
[21.439] (S)miyu__1234: おかえりなさい！
[22.164] hulkantos: おかえり
[22.561] (S)_龍角: ういす
[22.728] (S)もふーお: ｵｶｴﾘｵｶｴﾘ
[22.822] (S)りぶらんぬ: fantas22Muscle
[22.929] (S)じんくん3: おかえり
[23.072] (S)kafuka15: ｵｶｴﾘ ｵｶｴﾘ
[23.400] (S)しっぷう迅雷: fantas22Muscle
[23.897] rinori_ddd: おかー
[24.092] ダカク: おかえり
[24.514] (S)なぎすけ3131: おかえりなさい！
[25.077] saito_5678: おかえりー
[25.455] (S)オムご飯: ｵﾊﾖｵﾊﾖ
[25.748] (S)takimusha: えりえり
[26.359] (S)チューンエース: ういぃぃ
[26.897] (S)WornManipulator: 王の帰還
[27.866] suumo111: おかえり
[27.915] arapero0107: きちゃぁぁ！！
[28.544] nikukyu9: おかえり
[28.550] ash__baby: おかえりなさい
[28.746] (S)shin_mei666: おかおか
[29.091] (S)ゆりぃー: おかえり
[29.332] (S)さととも: おかえりー
[30.832] (S)PINODAY0: fantas22Muscle
[31.374] (S)ひるお: おいすおいすー 
[31.458] (S)火愚羅: fantas22Hanabi
[32.083] (S)二月みぃ: おかえりー
[32.326] ダエグさん: おいすおいすおいすおいすおいす
[32.825] (S)suzu0525: おかえり
[33.566] (S)mira_koko: おかえり
[33.675] (S)ninj4_kti: ｵｶｴﾘｵｶｴﾘ
[34.073] モナカ食べたいな: おか
[34.627] (S)jon1111212: fantas22Muscle
[35.564] (S)ぼんちゃん_1412: おかえーり！
[36.877] (S)miyayu6: ｵﾊﾖ ｵﾊﾖ
[36.998] bizonkun19: おかえり
[38.195] (S)碇のあ: fantas22Muscle
[38.482] 0711mako: サッパリしましたか？
[38.761] (S)火愚羅: fantas22Angryfanta
[39.659] (S)バロン67: おかえりなさーい
[43.203] (S)べねでぃくと: おかえり
[43.378] (S)miyayu6: おかえり おかえり
[46.278] (S)patrick1000koo: fantas22Muscle
[46.747] (S)horizonkkfr: おかえり
[46.843] (S)いうた: おかえりなさい
[47.154] (S)えなちゃ丸: おかえりー 
[47.785] madowakusan: ｵｶｴﾘｨ♪(*・ω・人)
[48.000] hansei12345: たのしみー
[48.517] (S)Jewel_meat: おかえり
[48.737] (S)八咫烏: おかえり
[48.957] (S)けむころね: おかえり おかえり
[49.167] (S)shingoshigaa: おかえり
[49.247] (S)ケチャラ: ｵｶｴﾘ ｵｶｴﾘ
[49.756] tiga227: 通知来なかったからそろそろかな？って思って開いたらほんとに始まってた
[50.858] (S)yuusei_0604: おかえり
[51.391] (S)c_world_: ｵｶｴﾘｵｶｴﾘ
[53.377] (S)ぺんた326: おかえりなさい
[53.981] syou_16: ｵｶｴﾘｵｶｴﾘ
[55.455] marosu1003: ファン太の配信見るようになって俺もこの時間に風呂入るようになったぞ
[57.251] kuro_0099: おかえり〜
[59.506] ~MISSING_COMMENTER_INFO~: おかえり
[60.037] なおや780: おかわり
[60.237] (S)yt9653: おかえり
[60.443] yumerinn_: Xでの配信通知助かる！
[62.692] (S)rlrlpo: ｵｶｴﾘｵｶｴﾘ
[62.857] ろぶるっちん: ｵﾊﾖｵﾊﾖ
[63.445] (S)スカイライン乗り: ｵｶｴﾘｵｶｴﾘ
[63.783] めろめろですやん: おかしおー
[68.316] y4hoo_jp: おいすー
[69.413] ~MISSING_COMMENTER_INFO~: メガネありましたか
[69.623] (S)しろうと: ｵｧｴﾘｵｶｴﾘ
[71.376] (S)sheseec: お、王～
[71.387] (S)uminncyu: おか
[71.968] (S)kamakuradaibakuhu: fantas22Muscle
[73.554] (S)ido11375: おかえりー
[76.455] y4hoo_jp: 通知来んなあ
[78.643] 暇人1231: おかえりー
[79.217] (S)rlrlpo: 通知きてねぇ！
[83.153] (S)sou_yyy: ｵﾊﾖｵﾊﾖ
[86.896] silorelie: 王の帰還
[90.184] tatsuuu3: オカエリオカエリ
[90.191] (S)ライハ0514: ｵﾊﾖｵﾊﾖ
[92.927] nahayu0987: おかーー
[97.349] (S)のるんくん: おかえりー
[99.229] (S)辛麻婆豆腐: おかえりー
[100.965] (S)HANPENHAYATE: おか
