[5.260] (S)さいこりてぃ: こん塩～
[7.678] (S)Soukaiseki: ｵﾊﾖｵﾊﾖ
[15.489] (S)りぶらんぬ: fantas22Muscle
[15.756] nikukyu9: こんー
[16.730] (S)epic178: おっす
[16.791] じゃがいも揚げ犬: ｵﾊﾖｵﾊﾖ
[16.857] Alan214KOKO: <3
[17.271] (S)suzu0525: ｵﾊﾖ ｵﾊﾖ
[18.648] (S)べべ3: ｵﾊﾖｵﾊﾖ
[18.950] れぶりみ: ういー
[19.271] (S)kafuka15: ｵﾊﾖ ｵﾊﾖ
[20.038] (S)雪ユキゆき: ｵﾊﾖｵﾊﾖ
[20.585] ピナつ: おいすー！
[21.127] (S)OudonEater_kun: おはようございます
[21.247] 暇人1231: こんばんは〜
[21.332] ペロロロン: おいす
[21.899] kouri0315: ｵﾊﾖｵﾊﾖ
[22.616] (S)aichikenmeen: はやーい
[22.697] (S)neet_1747: fantas22Muscle
[22.881] (S)zerogravity0910: こんばんは
[23.444] (S)じゅんちぇ: GoblinJam
[23.468] (S)yuusei_0604: ｵﾊﾖ ｵﾊﾖ
[24.154] (S)ひるお: おいすおいすー
[24.288] (S)chidoriris: ｵﾊﾖｵﾊﾖ
[25.214] (S)xyz_3931: ｵﾊﾖｵﾊﾖ
[25.391] (S)ゆりぃー: ｵﾊﾖｵﾊﾖ
[25.633] suumo111: ｵﾊﾖｵﾊﾖ
[25.803] (S)catina5456: うい
[26.130] (S)なぎすけ3131: こんばんは
[26.239] (S)たち_: こん
[26.664] (S)mira_koko: おは
[26.842] (S)zerogravity0910: fantas22Muscle
[26.896] mori_hinata: う
[27.519] daison32161: ばんわー
[27.745] (S)雲竜五月雨: おおお
[27.797] (S)7es_k: fantas22Muscle
[27.914] (S)nano_9029: fantas22Muscle
[27.940] (S)けしも000: こんばんは
[27.945] (S)くろなの: ｵﾊｮ
[28.484] (S)ネオノアン: こんちゃー
[28.981] (S)たつぴーまん: お、王
[29.034] da_man88: ｵﾊﾖ🎶ｵﾊﾖ🎶
[29.055] ビショビショ美少女: うす
[29.207] (S)yacchin0373: こんー
[29.210] (S)yattarouu: ｵﾊﾖｵﾊﾖ
[29.249] rinori_ddd: こんばんは！
[29.265] ねぎぎ: やぁやぁやぁ
[29.269] (S)yuuto0206: あん
[29.413] reitoutoufu: ｵﾊﾖ ｵﾊﾖ
[29.600] (S)kamakuradaibakuhu: fantas22Muscle
[29.621] (S)saka9767: fantas22Muscle
[29.686] xxxxxhiroxxxxx: KonCha
[29.813] tamamorisenpai: ｵﾊﾖｵﾊﾖ
[29.850] (S)のむこちゃん: はやめ
[30.547] (S)nana43: ｵﾊﾖｵﾊﾖ
[30.574] (S)オムご飯: ｵﾊﾖｵﾊﾖ
[30.639] (S)mochiko_pink: オハヨ
[30.687] のるんくん: おいすー！！！
[30.693] ピナつ: けん
[30.773] (S)じんくん3: こん
[30.798] (S)gigashake0: おは
[30.870] (S)マキタ食堂: ｵﾊﾖｵﾊﾖ
[30.887] (S)shiki_maru0000: おいす
[30.970] (S)toufu_090909: ｵﾊﾖｵﾊﾖ
[30.980] sarada2345: ｵﾊﾖｵﾊﾖ
[31.011] (S)yasuke_dog: おはようございます
[31.079] (S)雲竜五月雨: やたー
[31.086] (S)glasses02: ｵﾊﾖｵﾊﾖ
[31.210] (S)dai9cb1000r: おはよ。おはよ。
[31.292] (S)oahati9045: ｵﾊﾖｵﾊﾖ
[31.294] (S)ketanketa: ｵﾊﾖｵﾊﾖ
[31.313] madowakusan: こんばんは〜♪(ｏ'ー'ｏ)ﾉ
[31.335] (S)toraware3004: うい
[31.890] (S)tarako_3110: fantas22Muscle
[32.116] (S)八咫烏: こん塩〜
[32.127] (S)katuobushi6256: fantas22Muscle
[32.327] (S)c_world_: ｵﾊﾖｵﾊﾖ
[32.440] (S)landmark1000: ちゃす
[32.535] ういくじら: ｵﾊﾖ
[32.586] mochomotto: こんちゃ
[32.637] (S)りくりく114: ういーーーー
[32.646] (S)s_taichi24: ソード！？
[32.660] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[32.756] chikechike_010: おはよー
[32.857] (S)saka9767: FutureMan
[32.873] kyoka190314: こんばんはー
[32.976] (S)riki_228_: ｵﾊﾖｵﾊﾖ
[33.293] yukito127: ｵﾊﾖ ｵﾊﾖ
[33.353] (S)takimusha: ういー
[33.419] (S)ニンニクアブラカラメ: fantas22Muscle
[33.431] midutax: ｵﾊﾖｵﾊﾖ
