[8.083] (S)心霊君: おっすおっす
[8.804] (S)mira_koko: おはよ、スタレはいいぞ～
[12.344] nininbou: キターーーーー
[17.360] (S)Soukaiseki: おはんよ
[22.214] (S)年上大好き: fantas22Muscle
[25.210] (S)りぶらんぬ: fantas22Muscle
[25.557] (S)スカイライン乗り: ｵﾊﾖｵﾊﾖ
[27.990] (S)歯頸: こんばんわー
[28.213] ダカク: ｵﾊﾖｵﾊﾖ
[29.824] (S)kusattamikann777: fantas22Muscle
[30.664] (S)べねでぃくと: こんばんは
[31.295] (S)アドカボ: ~MISSING_MESSAGE_INFO~
[31.856] ume_yamaguti: おいす
[32.711] れぶりみ: ういー
[32.816] (S)ぺんた326: こん！！
[32.945] しへいぃ: まじか
[33.021] noln114: おいす
[33.159] (S)つちのこ83: こんばんはー！
[33.653] (S)kasutera_9646: おはよおひよ
[33.749] nikukyu9: オハヨオハヨ
[33.795] ベアベアベアー: ｵﾊﾖｵﾊﾖ
[33.937] (S)papopopo: ｵﾊﾖｵﾊﾖ
[34.103] (S)ベリッサ: はっや
[34.192] (S)suzu25012: おいすおいす
[34.936] (S)ゆずきち00: おいす
[35.320] (S)ドクペ中: こんばんは～
[35.500] ゆみぃ626: おはよ
[35.536] (S)ビッツヒデ: ！？
[35.720] (S)kafuka15: ｵﾊﾖ ｵﾊﾖ
[35.943] (S)neet_1747: fantas22Muscle
[36.405] (S)abennu_: え！
[36.611] (S)なるぴー: fantas22Muscle
[36.637] (S)んジョボ: fantas22Muscle
[36.834] teresa_088: スタレきたー
[36.948] reitoutoufu: お椅子お椅子
[37.032] (S)ファイブゼット: fantas22Nice
[37.160] (S)HANPENHAYATE: おはよおはよ
[37.386] (S)pepe_7299: ｵﾊﾖｵﾊﾖ
[37.463] (S)ゆりぃー: ｵﾊﾖｵﾊﾖ
[37.470] (S)peho_okok: PopNemo
[37.631] chorosukesuke: おいす
[37.655] 鯖缶だよ: スタレやるの！？
[37.949] (S)catina5456: うい
[37.976] (S)reo214214: オハヨ
[38.088] (S)miriku3310: miriku3310 subscribed at Tier 1. They've subscribed for 6 months! 
[38.136] (S)おかしなおおかみ: ！？
[38.161] (S)かぐらんチャン: ｵﾊﾖｵﾊﾖ
[38.440] (S)じぇんじゃむ: こんちゃ
[38.513] くーたま: ｵﾊﾖｵﾊﾖ
[38.642] wandora5: ｵﾊﾖ
[38.666] (S)トラファルガー激ロー: ういー
[38.918] (S)みもりすずこ: まじ！？
[38.939] (S)~MISSING_COMMENTER_INFO~: おはよー
[39.391] (S)hirosn: ｵﾊﾖｵﾊﾖ
[39.566] (S)atu0501: ｵﾊﾖｵﾊﾖ
[39.744] kisiro02ky: ｵﾊﾖｵﾊﾖ
[39.952] (S)ﾎﾙﾓﾝまつむら: わこつ
[39.967] hiyamugi0141: ｵﾊﾖｵﾊﾖ
[40.351] (S)suzu0525: ｵﾊﾖ ｵﾊﾖ
[40.588] (S)uiirbee: ﾌｧﾝﾁｬﾝ ｵﾊﾖｵﾊﾖ 
[40.604] (S)anees100: おはよー
[40.656] (S)l3ss_ciel_apex: おっ王ー
[40.813] paorunnn: おいす
[40.829] (S)lijyu: おいすおいすー
[40.853] (S)カモネギ329: お疲れ様でございます
[40.972] (S)kuram210: おはよおはよ
[41.454] kukurun08: えぇぇぇぇ
[41.478] hatiware25: おいすおいすー
[41.602] かるま1248: ｵﾊﾖｵﾊﾖ
[41.702] (S)キャキャロット0911: fantas22Muscle
[41.749] (S)molybdenum_steel: fantas22Muscle
[41.881] (S)雲竜五月雨: おおお
[41.917] なつこたつ: ｵﾊﾖｵﾊﾖ
[41.919] (S)takowasa_0607: こんばんは
[42.094] もちもち0808: うおおおおおおおおお
[42.292] (S)sijimi40: おはよおはよ！
[42.415] 銀河白鉄: までぃ！？
[42.511] marosu1003: まじ！？
[42.537] (S)ruruxxx02: こん
[42.562] (S)ピーマン体操ガチ勢: ルールは破るためにある！
[42.619] (S)マサラサ: まじか！
[42.966] (S)rlrlpo: rlrlpo subscribed at Tier 1. They've subscribed for 8 months! ｵﾊﾖｵﾊﾖ
[43.675] (S)キャキャロット0911: HypeCheer
[43.891] yuni5877: おいす
[43.959] supasupan: まじか
[44.138] (S)GOMA_ma: GOMA_ma subscribed with Prime. They've subscribed for 9 months! 
[44.198] (S)こあちあん: ｵﾊﾖｵﾊﾖ^^
[44.592] (S)おかしなおおかみ: こん
[44.672] okuraoisi: ファンタ！俺嬉しいよ！
[44.912] cbigon: 急に！？
[44.967] (S)hirosn: PR配信！？
[45.047] (S)idsarasuzo: ui
[45.172] tomosashisu_8: スタレまじか
[45.244] (S)エデゴ: ｵﾊﾖｵﾊﾖ
[45.814] (S)とるたきしあん: おはよおはよ
[45.930] (S)tetere_sys: fantas22Muscle
[45.944] ただのゲーマー14: スタレまじか
[46.090] (S)second_peanu2: ｵﾊﾖｵﾊﾖ
[46.131] (S)雲竜五月雨: おはよおはよ
[46.151] toraware3004: ほーう
[46.302] くろねこくろ: ファン太さん！？
[46.311] あかやんぬ: おはよー
[46.312] (S)minmin5557: fantas22Muscle
[46.421] (S)スキン: ソロ？w
[46.543] Lutz_06: まじか
[46.596] (S)きゅむぉ: ｵﾊﾖ ｵﾊﾖ
[46.750] mokkuso16: まじかよw
[46.793] kore552: ｵﾊﾖ ｵﾊﾖ
[46.940] toromaru0808: まじか
[47.101] bsonpa: おはよ
[47.233] kana1309: 原神じゃないの！？
[47.321] (S)konpe1: ｵﾊﾖｵﾊﾖ！
[47.369] (S)azicaiow: まさかのスタレ！？
[47.452] (S)aphelios_4: スタレまじか
[47.843] (S)無職の緑色: レッツゴー
[47.917] (S)meru_sen: おいすー
[47.974] 四つ葉探しの旅人: ガディ！？
[48.038] (S)toufu_090909: ｵﾊﾖｵﾊﾖ
[48.180] (S)kahal_86: ｵﾊﾖｵﾊﾖ
[48.388] アキ_7: ファン太さんがスタレま？
[48.603] 桜乃ちゃそ: 見慣れた画面だ
[49.316] (S)鬼灯0: オハヨオハヨ
[49.442] シュバラ: こん！
[49.647] (S)せどさん: せどさん subscribed with Prime. They've subscribed for 8 months! スタレ？？？？？
[49.734] えんえんトンネル: ｵﾊﾖｵﾊﾖ
[49.828] kanatyu123: え！？
[50.061] (S)麦酒屋: ｵﾊﾖｵﾊﾖ 
[50.096] (S)luca_vivi: こんばんはー
[50.295] (S)ドペン: おはよおはよ
[50.718] (S)ky1124boc: おはよ
[50.856] (S)tktktk_toshi: おす
[51.017] madowakusan: こんばんは〜♪(ｏ'ー'ｏ)ﾉ
[51.377] yamuwdjt: スタレ！！、？？？
[51.438] くもちゃん1: wwwwwww
[51.911] ジェッピー: なんで！？
[51.944] takasi1122: スタレは熱い
[52.133] risamo_: おはよおはよ
[52.338] fuyuto11: だれ？
[53.098] tomosashisu_8: ｵﾊﾖｵﾊﾖ
[53.129] beforedawn000: ファン太がスタレw
