[4.983] (S)あいむはげ: ぉかうぇり
[7.327] (S)じんくん3: おか」
[8.404] (S)れぶりみ: おか
[8.833] (S)sakae_gumi: おっかえりい
[9.574] (S)アクヱリ: fantas22Muscle
[10.777] (S)らる_: おかー
[12.650] (S)やにが: fantas22Muscle
[13.036] (S)グリカラ: おかえり
[13.432] (S)_ととまる_: おか
[17.922] k140316: おかえりー
[19.310] しょうちゃん1128: おかえりい
[20.148] (S)だーさと: shakaWin
[20.596] (S)its_MuNya: fantas22Muscle
[23.661] (S)ユキ_ノフ: オハヨオハヨ
[23.806] (S)メニらふぃ: fantas22Muscle
[26.008] (S)だーさと: うぃ～
[26.557] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[29.459] ちょくや: おいす
[29.849] (S)canariaww: https://clips.twitch.tv/DaintyHorriblePandaDBstyle-ahoRg6lh4dRSFrCI
[30.291] (S)ツーブ口パーマ: おかえりー
[30.697] (S)4sh_47: ｵﾊﾖｵﾊﾖ
[30.839] tep411: wako
[30.879] (S)のるんくん: おかえりー
[31.592] (S)atttuu: atttuu subscribed with Prime. They've subscribed for 9 months! 
[31.639] (S)べねでぃくと: おかえり
[31.815] (S)suzu25012: ういー
[31.929] mori_hinata: おか
[32.254] プンプングッドナイト: おはんよ
[32.463] (S)たち_: おか
[32.560] (S)toraware3004: うい
[32.691] (S)meita_koku127: おいすー
[32.816] noln114: ｵｶｴﾘｵｶｴﾘ
[32.930] sasasasrs: おはー
[33.331] (S)ゆずきち00: おいす
[33.438] rinori_ddd: おかえりー
[33.473] madowakusan: ｵｶｴﾘｨ♪(*・ω・人)
[33.611] (S)ふま6853: おかー
[34.244] (S)~MISSING_COMMENTER_INFO~: オハヨオハヨ
[34.413] (S)まさきよ監督: fantas22Muscle
[34.652] (S)shin_mei666: おかおか
[34.656] r1ku0622: きたーー
[34.656] 雪乃_にし: ｵﾊﾖｵﾊﾖ
[34.836] bizonkun19: おか
[34.907] deb_ceo: おかえり
[35.070] (S)カニピザ: おかえり
[35.117] (S)_龍角: おか
[35.332] (S)landmark1000: ちゃー
[35.732] kazuki4017: おいす
[36.039] (S)opome12: fantas22Muscle
[36.090] (S)shingoshigaa: おかえりー
[36.251] にゃるらとほてぷ様: まってたよん
[36.366] raimoti: おいす
[37.246] aosusuki: おはよ
[37.942] (S)べべ3: ｵｶｴﾘｵｶｴﾘ
[38.146] youtaaa502: おか
[38.212] tomosashisu_8: おかえり
[38.328] (S)麦酒屋: おかえり！
[39.070] (S)uminncyu: おかおか
[39.281] (S)technobreakerz: おかえりー
[39.601] tukiyosi: うい
[39.687] (S)kenamimii: ｵｶｴﾘｵｶｴﾘ
[39.825] kumanusi: おかえり
[40.294] ダカク: おかえり
[40.316] (S)しろうと: ｵﾊﾖｵﾊﾖ
[40.481] tackmail: ｵｶｴﾘｵｶｴﾘ
[40.705] (S)キャキャロット0911: fantas22Muscle
[40.720] (S)nvyf6flup11ffpbyzy3k: ｵｶｴﾘｵｶｴﾘ
[41.038] (S)miyu__1234: おかえりなさい
[41.347] (S)輪入道: おっかえり
[41.558] (S)c_world_: ｵｶｴﾘｵｶｴﾘ
[41.564] アプリオリ: ｵﾊﾖｵﾊﾖ
[41.792] どかわきぃ: ｵｶｴﾘ ｵｶｴﾘ
[41.980] (S)cocochu_u: おいす
[42.453] 10花: おかえりー
[42.599] (S)テバ_02: おっ王～🎵
[42.686] yayu_ya8: オハヨ
[42.920] (S)キャキャロット0911: HypeCheer
[43.295] (S)モブ3: FutureMan
[43.353] えむけー珈琲: ｵﾊﾖｵﾊﾖ
[43.568] (S)alohapon: ｵｶｴﾘｵｶｴﾘ
[43.819] ねぎぎ: やぁやぁやぁ
[44.657] nel77_77: おかえりー
[44.854] (S)patrick1000koo: fantas22Muscle
[45.945] nininbou: キタァァ
[46.114] (S)ずみのけー: ｵｶｵｶ
[46.187] e_t_o__: おか
[46.793] momo_dada: おかえり
[46.937] goosama: おかえり！
[47.015] (S)pyonta101010: fantas22Muscle
[47.100] (S)やげん軟膏: 寝たと思ってた
[47.118] (S)スカイライン乗り: ｵｶｴﾘｵｶｴﾘ
[48.204] (S)catina5456: うい
[48.875] Holly897: 花屋いいねーー
[49.859] らんと: 王子おかえりなさい！
[50.388] (S)epic178: おか
[51.104] dorgon359824: ｵｶｴﾘｵｶｴﾘ
[51.132] (S)フリナ: おかえりー
[51.277] (S)suzu0525: ｵｶｴﾘ ｵｶｴﾘ
[51.352] (S)蟹君: きたああああああ
[51.486] (S)イブゴン: おかえり
[52.959] プンプングッドナイト: 息切れしてる？
[53.548] (S)hoka1230: fantas22Muscle
[54.437] えむけー珈琲: SeemsGood
[54.486] humokiti: おかえり
[54.627] (S)YAMATO00_RoueN: ｵｶｴﾘｵｶｴﾘ
[55.156] masu129: おかえりー
[55.676] (S)ninnjinnbee: おかえり
[57.444] ruby_mybabe: おかえりなさーい
[57.665] (S)スズミー: おかえり
[58.780] (S)二月みぃ: おかえりー
[60.931] patto_1023: おいす
[62.457] (S)もーーーたん: ｵｶｴﾘ ｵｶｴﾘ
[63.052] (S)トラファルガー激ロー: おか
[63.693] kaaaaaaaaame142: 通知きた
[64.044] (S)子トラ: おかえり！
[64.703] (S)_なこ_: おかえりなさい
[64.834] (S)fkigj: fkigj subscribed at Tier 1. They've subscribed for 6 months! 
[64.892] (S)toufu_090909: おかえり
[66.917] terasu25: ｵｶｴﾘｵｶｴﾘ
[67.437] (S)ryuku0531wt: fantas22Muscle
[70.474] (S)おかしなおおかみ: おかえり
[70.890] めろめろですやん: こんしおー
[71.498] (S)でゅらんだる2: おいすおいす
[71.925] parufuzi: おか王
[72.126] yukitwitch14: ｵｶｴﾘｵｶｴﾘ
[77.212] (S)to9ton: fantas22Muscle
[78.095] lambranch18: ヴァンさん！
[79.113] zlqde: 通知きたよ
[79.339] pupuperoooooooo: fantas22Gg
[80.020] (S)こあちあん: ｵｶｴﾘ ｵｶｴﾘ
[80.716] (S)masama_sa: masama_sa subscribed with Prime. They've subscribed for 7 months! 
[81.726] (S)makaron0723: ういー
[81.741] (S)spada_zz: おかかー
[82.786] white25season: お帰りなさい
[83.432] りょう159: うぃー
[85.261] (S)ノビーティー: おか！
[85.769] (S)るびぃくん: 待ってたで
[86.425] (S)takumoru2: ういー
[87.890] (S)東方全敗: シャムでーす
[89.066] (S)しゅりな: きたあああああああああ
[89.866] karaage398: ｵｶｴﾘ ｵｶｴﾘ
[89.896] (S)ぼんちゃん_1412: ちょりーす
[90.365] (S)takimusha: おか
[91.170] (S)ゆりぃー: ｵｶｴﾘｵｶｴﾘ
[91.562] (S)nono_grams: 今日の風呂は当たりだった？
[93.689] (S)makaron0723: えんじ！？
[93.870] だてこー: ふぁんちゃんおかえりおかえり
[93.944] (S)yuusei_0604: おかえり
[94.635] (S)jaaakyyy: ｵﾊﾖｵﾊﾖ
[94.880] (S)さととも: おかえりー
[95.085] (S)yukky_games_: fantas22Muscle
[95.665] (S)れぶりみ: えんじちゃん！！！
[95.838] shion0000000: おいっすー
[96.949] (S)patrick1000koo: おお
[97.230] (S)ばむるく: えんじちゃん！！
[97.408] (S)tondura23: お
[97.992] (S)らる_: えんじちゃん！
[98.316] (S)べべ3: えんじ！！！！！！！！！！！
[98.409] (S)rich3352: えんじちゃん
[98.986] (S)kt78_gg: kt78_gg subscribed with Prime. They've subscribed for 5 months! 
[99.416] (S)輪入道: えんじ♡
[99.489] rinori_ddd: お！
[99.823] (S)もーーーたん: お
[100.710] れるれ: おっおかえり〜
[101.169] (S)yt9653: かわいい
[101.265] yukitwitch14: えんじ！
[101.787] (S)makaron0723: なるほどな
[101.810] (S)yanikas1: お帰りなさい
[101.864] (S)テバ_02: えんじ♡♡
[102.052] (S)alohapon: えんじちゃん！
[103.273] (S)じゃがいも揚げ犬: えんじちゃーん 
[104.830] (S)ayukatono: ｵﾊﾖｵﾊﾖ
[106.450] plati_nu_m: えんじちゃん！
[107.443] t0m0t0m06969: えんじいいいいい、、、
[108.989] (S)もーーーたん: えんじちゃん～
[109.201] (S)rinko626: えんじ♡
[109.364] (S)~MISSING_COMMENTER_INFO~: お疲れ様ー
[110.532] madowakusan: BibleThump
[111.603] parufuzi: 元気ない 
[114.622] (S)uzend: 声カッスカスじゃね
[115.105] (S)辛麻婆豆腐: ｵｶｴﾘｵｶｴﾘ
[116.798] (S)ぴかり0425: お疲れ様 
[117.597] (S)ketanketa: えんじちゃん
[117.769] (S)カフェオレ1014: カフェオレ1014 subscribed at Tier 1. They've subscribed for 3 months! fantas22Muscle
[118.887] tackmail: 体調大丈夫か…？
[121.046] tachikoma828: 誰がどこまで今の状況を知っているのかわからんね
[121.227] mojamojamojaaa: 体調わるそやな
[134.821] (S)蛙田いぶき: お
[136.536] ariiharuo: きたか
[137.416] (S)いうた: おかえりなさい〜
[138.187] (S)ebifraaaaai: お
[139.170] 10花: お
[139.278] (S)スカイライン乗り: 92.72
[139.626] yukitwitch14: お！
[140.034] (S)まれい: ｵｶｴﾘｵｶｴﾘ
[140.316] (S)辛麻婆豆腐: お
