[7.020] muramasa_295: おつ
[11.044] (S)りぶらんぬ: fantas22Muscle
[17.599] (S)ヨイチ41: fantas22Muscle
[20.688] (S)八咫烏: こん塩～
[21.878] (S)kafuka15: ｵﾊﾖ ｵﾊﾖ
[22.251] (S)やげん軟膏: fantas22Muscle
[25.264] (S)alohapon: ｵﾊﾖｵﾊﾖ
[26.625] (S)もーーーたん: ｵﾊﾖ ｵﾊﾖ
[28.520] (S)Boya_05: 一旦ね一旦
[30.088] (S)迷音けろ: 王
[30.652] (S)べねでぃくと: こんばんは
[30.828] (S)karen1st: おはよおはよ
[31.139] (S)yuuto0206: よっ！
[32.043] (S)mira_koko: おは
[32.266] takenoko45: おは！
[33.001] (S)catina5456: うい
[33.032] da_man88: ｵﾊﾖ🎶ｵﾊﾖ🎶
[33.051] tamamorisenpai: ｵﾊﾖｵﾊﾖ
[33.462] rinori_ddd: おはーー
[33.487] (S)l3ss_ciel_apex: 一旦ね
[34.067] kazuki4017: おいす
[34.919] ごーやちゃんぽ: お
[35.194] (S)patrick1000koo: fantas22Muscle
[35.405] (S)らすちーどーる: ちゃ
[35.429] バンブ358: ｵﾊﾖｵﾊﾖ
[35.898] ぴちゃ猫: fantas22Nice
[36.141] アサヒイト: 一旦ね
[36.355] plunus_1: 一旦ね
[36.412] ろいどです: HeyGuys
[36.572] tatisjrfan23: ｵﾊﾖｵﾊﾖ
[36.785] ymgn1944: 一旦ね
[36.858] (S)rayu892: 一旦ね一旦
[36.893] abababdd: 一旦ね
[36.965] terasu25: ｵﾊﾖｵﾊﾖ
[37.169] (S)88ハチ公: おはおー！
[37.185] raionlava: おはよ
[37.397] (S)こあちあん: ｵﾊﾖｵﾊﾖ
[37.572] (S)dai9cb1000r: おはよ。おはよ。
[37.614] もりくぼ_ぴー: おはよ、おはよ
[37.617] goburinkingman: おはよおはよ
[37.626] magulist: おはよおはよ
[37.865] onigiri0402: 一旦ね
[37.879] (S)麦酒屋: ｵﾊﾖｵﾊﾖ
[38.061] (S)kamukem: ｵﾊﾖｵﾊﾖ
[38.274] (S)じんくん3: ｵﾊﾖｵﾊﾖ
[38.275] gomakichirx: ｵﾊﾖｵﾊﾖ
[38.490] (S)火海月: ｵﾊﾖｵﾊﾖ
[38.926] (S)revy_765: 一旦ね、一旦
[39.120] (S)ぺーさんですよ: 一旦ね
[39.143] (S)darkun_1115: 一旦ね
[39.322] ぬぴ17: ｵﾊﾖｵﾊﾖ
[39.362] (S)まてぬい: おはにょ
[39.384] yukitwitch14: 一旦ね
[39.499] (S)やげん軟膏: 一旦ね
[39.540] (S)raimoti: おいす
[39.619] l24012115304l24012115304: おはよ
[39.718] (S)neet_1747: おはよ
