[32.596] kurayanmx5: ちす
[34.338] yusei060638: きちゃー
[35.432] mugenndai_: や
[37.257] (S)bucca_boo: こんばんは
[44.579] yoyoyoyogi2: やあ
[46.336] 天麩羅777: 待ってました
[47.758] 竹原: こんばんはー
[53.805] __ひびき: こんばんは〜
[57.124] johndoe_alt7: こんばんはー
[57.176] Goliath_000: おいーす
[58.382] yusei060638: きちゃ〜
[68.064] daiya18129: 終わりってことだよ
[69.018] (S)Pp_Lov: fmlchRoll
[94.801] __ひびき: 馬死んじゃうのか…
[119.050] takumi_o: やあ
[142.022] tera_3_ii: こんばんは！
[150.333] (S)イケザエライダ: enakocYaa
[162.559] (S)イケザエライダ: 終わった
[168.806] __ひびき: えっ
[169.039] daiya18129: 終わりってことだよ
[176.680] あおーしぃ: ぴえ
[179.654] johndoe_alt7: あら
