[29.608] kurayanmx5: ちす
[29.691] m_11xo: こんばんは！
[33.618] (S)サバ缶ポン酢: うぃっす
[34.113] (S)unrei_rei: ヴァロきたあああああああ
[40.448] mugenndai_: こんばんはー
[40.471] (S)emu0723: こんばんは
[48.720] ranma0906: こんばんわ！
[56.606] __ひびき: こんばんは！ヴァロ久しぶりですね
[59.984] (S)ryosang: Hi 師匠‼︎
[64.412] 竹原: オス
[67.699] mugenndai_: UK僕にも春がきたぞ！
[74.214] (S)ryosang: 今日も貴方はかっこいいですね
[74.462] oudon: こんばんは！
[90.196] (S)unrei_rei: 微妙すぎる
[99.376] __ひびき: プラ2に戻りました？
[116.659] (S)uta_0929_: UKー！ 今昨日のBpBアーカイブ見てた◎
[177.041] (S)ryosang: 今日、貴方はダイヤに帰る事が出来ます！
[393.095] purin0825: 久しぶりとは思えない強さ
[468.892] (S)uta_0929_: コミュニティ開設以来な気がする🙄
[491.904] yasudatada: こんばんは！
[539.031] (S)uta_0929_: あれ沖縄行く前日やったっけ？
[548.140] __ひびき: コミュニティ入れなかった；；
[566.044] (S)ryosang: 皆さんの素晴らしいclipを見たいです。
[594.222] __ひびき: 了解です！待ってます
[670.681] (S)高宮ゆの: 高宮ゆの subscribed with Prime. They've subscribed for 4 months! UKさん見てゔぁろ始めました
[684.393] (S)ryosang: 鍵を付けていいのでおすすめのvideoを教えて欲しいです
[710.445] kai_yukihiko: こんばんは
[740.349] (S)uta_0929_: 誰もAVとは言ってない
[758.786] __ひびき: おすすめアニマルビデオかもしれないじゃん
[790.264] (S)高宮ゆの: どっちもそんなに詳しくないけど勉強します
[830.697] __ひびき: Discordこのためにダウンロードしたくらいだから…力になれなくてごめん…
[830.906] (S)ryosang: コンバンハ
[873.890] (S)uta_0929_: 全然関係無いけどアーカイブ消える前に新幹線0動画にして欲しい🥺
[930.076] (S)uta_0929_: やったー！！ ありがとう😭
[951.265] (S)kohacha05: ギター道飲み動画って出る予定ある？
[998.042] kai_yukihiko: オナホの形態模写も残してほしい
[1001.568] (S)kohacha05: ギター道の！
[1024.937] (S)Lxharl: こんばんは！
[1057.685] __ひびき: アセントいっつも流れる
[1075.980] (S)高宮ゆの: 具体的にディスコどんな鯖が必要とかありますか？
[1134.825] (S)ryosang: 貴方の1番好きなマップはどこですか？
[1155.547] (S)高宮ゆの: 荒れるような人じゃないから普通にルールをしっかり設けた鯖を用意すれば問題なそう？
[1162.878] (S)uta_0929_: discordイマイチ分からないからお任せする◎
[1190.178] (S)ちゃけ731: こんばんはー！最近忙しくて見れてなかったけど今日は見れる！！
[1279.497] (S)高宮ゆの: ディスコとTwitchの連携は割と簡単にできそうですね
[1334.623] (S)uta_0929_: 番組のコミュニティサーバー入ってた事あるけどお知らせ見るだけで終わった
[1349.684] (S)ryosang: おすすめのゲームや動画を見られる場所が欲しいです
