[24.428] kurayanmx5: ちす
[31.551] Owl__zzz: unkochanYaa
[33.615] docomodake13: よお
[33.757] (S)ちゃけ731: ちゃけ1726 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[33.909] m_11xo: こんばんは
[35.179] (S)サバ缶ポン酢: ういっす
[39.073] oudon: こんばんは！
[39.548] たけとんぼ: こんばんは！
[41.106] jejejehekee: うぃ
[48.096] __ひびき: こんばんは〜
[53.511] しらこポン酢: こんばんは〜
[53.753] (S)hrfml: 明日イベント行きます！
[77.750] (S)サバ缶ポン酢: 教習所に通い始めました。
[87.728] takotyan_t: こんばんは
[88.194] __ひびき: 急に暑くなりましたね
[102.687] sasatani_3: こんざんは！
[114.182] (S)ちゃけ731: もう冷房つける？
[146.067] sasatani_3: 行きたかった🥲
[156.363] toothman_ch: 一度でいいから生で聴いてみたい...
[216.060] (S)サバ缶ポン酢: 8月の単独ライブ申し込んだ！当たりますように！
[221.434] (S)hrfml: 一部のキャパは、ざっと何人ぐらいですか？？
[227.364] toothman_ch: 贅沢なイベントだ
[324.498] oudon: 直接コーチング貴重な機会すぎて挙手したいけど、その状況でまともに弾ける気がしない笑
[429.392] (S)サバ缶ポン酢: 教習所通い始めました。マニュアルです。
[595.325] oudon: 爪のやつも買います！
[618.419] sasatani_3: 大学サボっていきたいですけどお金が😔
[635.347] (S)サバ缶ポン酢: 8月の単独ライブ申し込みました！人生初ライブ！MOROHA初ライブ！当たりますように！！
[655.535] Owl__zzz: 指くわえて配信見ます
[688.744] (S)ちゃけ731: 爪やすり5個買います！
[711.134] sasatani_3: 見ます！！！！！！！！！
[712.741] same_0099: 大人しく配信見ます
[748.746] (S)オカチャンマン: こんばんわ
[770.536] kkmg2357: 2部全員のコーチングは人数的に厳しいってあったんですけど演奏する人は挙手制ですか？
[798.373] sasatani_3: ありがとうございます！
[803.502] __ひびき: 現地行くけど入れなかったら配信見ますね
[918.854] kkmg2357: ありがとうございます！楽しみです！
[1019.699] __ひびき: 渋谷、ひと多そうですね 連休だし
[1044.756] __ひびき: 去年は７月でした 誕生日だったから覚えてる
[1079.632] (S)hkmdhkmd: 渋谷、今日デモやってて交通規制も凄かったです
[1633.183] (S)こよ111: こんばんちゃ
[1703.750] jharden1122: 5/8楽しみにしてるぞ！
[1707.848] panap_53: こんばんは、ライブ初見です！応援してます！
[1758.738] (S)こよ111: 明日楽しみすぎて寝れねえよ！！
[1838.152] (S)ちゃけ731: 誕生日プレゼント悩みまくって全然決まらない
[1855.235] jharden1122: うま
[1872.607] panap_53: うま!
[1922.057] jharden1122: メンタルつよ。
[1927.025] (S)taru_0706: こんばんは〜！彼女にミサンガプレゼントは重いですか？
[2045.513] daiya18129: 低感度で腕疲れないのって思ったけどギタリストだから余裕なのか
[2102.270] jharden1122: Smith以外はそう笑
[2237.715] ゴリゴリラです: やあ、調子どーよ
[2271.559] (S)taru_0706: 40分前位のYouTubeの最新動画神回すぎました笑
[2346.056] (S)ryosang: こんにちは！アダルト神！私は先日ダイヤ2からプラチナ2に落ちたのでこのゲームを訴えようと思います
[2385.318] まめ마메: こんばんわ
[2390.995] (S)こよ111: あの動画サムネのモザイク貫通しすぎだよ
[2391.900] えっっっくす: 私も何やっても勝てないのでこのゲームを訴えようと思います。
[2395.762] panap_53: みんな上手よね
[2413.591] (S)rk_ex: まじで勝てないぉこ
[2440.159] jharden1122: いやうま。
[2453.338] ゴリゴリラです: ヨー2人目持ってった
[2552.700] ゴリゴリラです: ブルドックのおすすめスキンを教えてくだしい
[2623.363] (S)yolo_3030: こんばんは
[2641.685] panap_53: 逆転いけるぞ!
[2756.187] ゴリゴリラです: 後出しの音楽が鳴る説
[2841.059] ゴリゴリラです: 賢さが1上がった
[2879.530] panap_53: あがってきたー！
[2915.716] ゴリゴリラです: 怒っていいよ
[2917.372] panap_53: まじですかー
[2999.177] ゴリゴリラです: 嫌な流れ
[3061.072] panap_53: きついー
[3098.266] panap_53: ACEいこう
[3128.382] ゴリゴリラです: エイムキレキレやん
[3240.232] ゴリゴリラです: チェンの甘えから狂った
[3273.602] panap_53: 勢いに乗りすぎて油断したんかな
[3289.531] ニート静岡: こんばんは~
[3368.202] えっっっくす: 4連敗で萎えたので止めてこっちの観戦に集中する。#FMLWIN
[3388.144] (S)ygarshy: こんばんは。ERA最高に楽しかったです。ありがとうございました🙏
[3461.007] えっっっくす: 最後ジェットの対Mで-6だったので、流れは来始めてました。この流れで勝ってください
[3464.942] panap_53: さあ2戦目だ
[3468.709] あかいとんぼ: 勢いじゃないセンスで笑わせてくるのすごい
[3497.135] daiya18129: 負けたら訴えていいよ俺署名する
[3518.034] あかいとんぼ: かけさせろ
[3526.588] あかいとんぼ: どうせまけんだから
[3587.817] daiya18129: 勝つに決まってんだろ
[3601.893] あかいとんぼ: は甲羅
[3602.901] panap_53: 見えなw
[3604.683] あかいとんぼ: はこうら
[3618.095] (S)ygarshy: 勝ってね。信じてるますよ。
[3622.032] あかいとんぼ: そう
[3622.053] __ひびき: これは勝つでしょ
[3628.836] あかいとんぼ: そこエルボーから見えない
[3648.710] あかいとんぼ: 今日ZETAがそれで１ｖ３されてたお
[3649.336] (S)ygarshy: 必勝祈願🙏
[3719.180] あかいとんぼ: 俺は３万入れたぞ、勝ってくれ敵
[3791.749] daiya18129: ukが負けるわけねえだろ
[3836.018] panap_53: UKが勝てば大儲けだな
[3870.336] あかいとんぼ: それやる日はSF６やると起き攻め１００％勝てるよ
[3903.027] あかいとんぼ: こっちで外したら向こうで当たるんや
[4034.410] あかいとんぼ: じゃがむなっていってんだろ清水
[4043.695] あかいとんぼ: ？？？？？？？
[4050.558] daiya18129: アイアンですか？
[4051.754] panap_53: え?wwww
[4104.967] (S)emu0723: こんばんは！
[4311.154] えっっっくす: ふ、深い…。
[4354.071] (S)jetytrdy: UK明日池部一緒に行かない？イベントあるよ
[4369.814] えっっっくす: UKさんの代わりに台パンしておきました
[4474.307] daiya18129: 機材破壊
[4557.748] panap_53: 報連相大事
[4603.544] えっっっくす: なんやかんやラウンド取れてる
[4662.879] あかいとんぼ: 見るところ絞れてない気がする
[5064.881] xxqq: え
[5084.570] えっっっくす: Izuだ
[5105.012] daiya18129: zetaはガチ解で4ラウンドくらい負けてたな
[5136.851] xxqq: ウィングマンはゲッコーが死んだら一緒に死ぬべきだと思った
[5622.197] えっっっくす: fmlch18
[5638.703] (S)ygarshy: fmlchRoll
[5709.723] えっっっくす: wwww
[5714.967] koglyyy: ult
[5922.591] __ひびき: OTきたー！！！！
[5932.382] daiya18129: リターン116倍で草
[5934.333] oudon: OT！
[5970.943] __ひびき: さああとは勝つだけですよUKさん
[6029.776] (S)nyanrz: お疲れ様です！今仕事終わりました。14時間労働でした（т-т）
[6157.709] えっっっくす: 泣
[6190.245] daiya18129: 2万ポイント溶けたので訴えます
[6193.728] __ひびき: ４万ポイントはいりました
[6247.738] えっっっくす: ggwp
[6262.535] kryjpn: こんばんは。IKEAじゃなくてIKEBEですか？
[6306.561] __ひびき: OWだ～
[6319.002] (S)bucca_boo: bucca_boo subscribed with Prime. They've subscribed for 4 months! こんばんは
[6521.271] Hagafml: こんばんは！明日楽しみすぎてずっとギター触ってます😭
[6922.224] Hagafml: アッシュ発射レートとクリックのタイミング一生噛み合わなくてむずい
[7356.262] Hagafml: シンメ相手にいると厄介すぎる
[7410.802] Hagafml: ファラとかですかね
[7537.165] junpeeeeeeeeeeeeeeeeeee: 今日オーバーウォッチ始めました！
[7538.352] どぅなつ_: どぅなつ_ subscribed at Tier 1. They've subscribed for 26 months! 
[7560.728] junpeeeeeeeeeeeeeeeeeee: めっちゃ面白い！
[7580.116] Hagafml: OWなんで負けたのかなんで勝ったのか分かりづらい
[7592.452] (S)uta_0929_: UKー！
[7724.393] (S)uta_0929_: 酔っちゃうから明日頑張ってだけ言うとくー◎
[8120.670] EvsonLee: EvsonLee subscribed at Tier 1. They've subscribed for 17 months, currently on a 17 month streak! 
[8157.866] takaa_1229: こんばんわ！！夜行乗ってます！！明日楽しみです！！！
[8470.892] kai_yukihiko: こんばんは 明日の昼食を渋谷で食べるつもりなのですが、オススのラーメン屋教えていただけませんか
[8517.408] えっっっくす: えっっっくす gifted a Tier 1 sub to takaa_1229! They have given 70 Gift Subs in the channel! 
[8550.731] (S)ygarshy: はやし？は有名ですよね
[8551.616] kai_yukihiko: あざす つけ麺の気分なのでつけ麺イッちゃいます
[8567.121] (S)uta_0929_: UK30代半ばやけど胃めっちゃ元気よね
[8588.740] ikurab: ukさんって弦なに使ってますか？
[8646.233] __ひびき: お疲れさまでした～ 明日楽しみにしてます
[8650.429] Ryer4V: valoは∞だよ
[8650.498] (S)bucca_boo: お疲れ様です
[8651.185] えっっっくす: fmlch18
[8657.297] kai_yukihiko: お疲れ様でした
[8662.606] (S)hkmdhkmd: お疲れ様でした！
[8670.398] panap_53: お疲れ様でした！
[8671.173] (S)uta_0929_: 配信見るよー🙆‍♀️
[8679.859] (S)ygarshy: お疲れ様でした。明日配信組ですが、楽しみにしてます。
[8752.732] ikurab: ありがたや
[8815.712] kai_yukihiko: FG-03待ちきれずに今日爪切っちゃった
[8840.923] えっっっくす: fmlchRoll
[8841.255] (S)uta_0929_: おやすみー◎
[8843.162] __ひびき: おやすみなさい～
[8844.168] oudon: おつです！
[8848.163] (S)ygarshy: おやすみなさい
[8849.667] panap_53: おやすみなさいー
