[33.339] kohacha05: こんばんはー！
[34.501] r1ku_t2: やあ
[36.648] unrei_rei: 老人！？
[36.867] ビン丸: やあ
[40.083] (S)satoooooooooshi: 明日江ノ島行くからちょっとだけ見る
[47.757] (S)こよ111: こんばんわ！
[48.589] johndoe_alt7: やあ
[50.741] ape_in_art: こんばんは！
[51.557] カンテんっごろ: ukさんおっす
[51.761] korekarakore: UKさーん！
[52.976] びんとろ0303: やぁ
[63.254] sugofes: エペ久々や
[64.196] nagano_ryota: ピザラ雀に向けて麻雀練習しよう！
[65.131] びんとろ0303: メンバー誰っすか？
[75.776] painapurujdks: こんばんわ
[89.319] garuru0088: こんばんわ～🎵
[92.545] (S)satoooooooooshi: 雀魂配信見たいかも〜☺️
[119.766] b_1_u_e: こんちゃ
[145.825] (S)uta_0929_: 配信聞きながら寝る◎
[146.706] kryjpn: こんばんは
[148.084] ビン丸: 今日なにしてたの？
[155.612] kryjpn: 今着かないです
[160.779] johnny001: 世界大会してるからね
[161.538] kryjpn: ハンドガンとショットガンだけだった気がする
[164.368] knight398: メンバーは？
[184.836] johnny001: 今、９９くそ弱いぞ
[196.851] sugofes: ハボック強いぞ
[197.732] kryjpn: はぼっく
[201.000] びんとろ0303: ハボック
[201.687] johnny001: ライトはごみ エネが最強
[218.214] カンテんっごろ: 戸越の日お疲れさまでした
[237.176] Kos_4ki: はぼっく定期的に覇権とってんなｗ
[241.806] sugofes: タボチャなくても強い
[258.614] johnny001: ヘムロックつよい
[258.771] kryjpn: プロ使ってたから多分強い
[287.886] カンテんっごろ: ネメハボかヘムハボばっかですよ今
[322.261] kryjpn: やればわかるさ！
[330.595] johnny001: ヘビーはヘム、プラウラー エネはハボック、ネメ、ボルト、トリテ この中から好きなのえらびなされ
[336.766] kai_yukihiko: こんばんは 常にローモバにログインしてますけど寝てます？
[347.325] yuunari21: 誰とやるんです？
[414.728] たけとんぼ: こんばんは！戸越の日MOROHAおってビビりました笑
[438.208] (S)hennaoji: あ
[442.399] カンテんっごろ: ルーキーはサブ垢の巣窟
[452.742] トロズワイガニ: このゲームもうパッドでワンマガしてくる奴かぴょんぴょん飛び跳ねるキャラコンマンしかいないイメージだわ
[456.195] (S)こよ111: Cheer100 余ってたんでジュースでも飲んでください
[668.909] (S)こよ111: ; ;
[711.175] トロズワイガニ: 真ん中の人さっきの人か
[721.898] カンテんっごろ: 今までで一番盛りにくいですね
[769.031] カンテんっごろ: ｐｃはチーターとチーミングが過去一多いらしいですよ
[809.799] トロズワイガニ: 冷静に考えて毎シーズンごとにランクの盛りやすさ変わるゲームって結構異質だよな
[820.617] miraigata: fmlのtシャツ明日届くらしい
[933.507] i_eki: あぶねーい
[953.125] カンテんっごろ: ukさん反射神経バチクソいいですね
[957.327] トロズワイガニ: 腰撃ち当たるねぇ
