[34.913] サバ缶ポン酢: ういっす
[35.660] (S)kohacha05: おはよー！
[47.800] aoinoaoiro: こんばんは リアタイ初参加です!
[48.027] unrei_rei: ヴァロから逃げない男きたあああああああ
[51.071] (S)kohacha05: おはツイなくてかなしかったよ🥺
[53.708] yuuyuu21: こんばんは、おやすみなさい😪
[53.900] (S)ちゃけ731: ちょうど寝ようとしてた時だったぞ!
[60.429] yanagiiiiiiiiii_smaaaash: こんばんわ！！！YouTube面白かったっす！！！！！！
[64.166] zundamochibarmen: UKさん夜型ですか？
[66.105] timosi0077: こんばんわ！
[75.344] (S)appppppiiii: ベッドから こんばんはーー
[95.363] unrei_rei: ヴァロ始めてから夜型になったわ
[102.421] ayarechan13: おかえりなさい 
[104.189] hosyuy_: こんばんわ！
[109.900] (S)yuuuuuuuuuuu0: こんばんわ！
[129.635] yuuyuu21: UKさん、肌白くなりました!?
[131.308] kai_yukihiko: こんばんは、我がギルドまた燃やされてました
[135.885] (S)ygarshy: 朝日を浴びてお散歩は気持ち良いです！
[142.340] aoinoaoiro: 前髪伸びました？
[147.680] yasudatada: こんばんは！夜勤ばっかで久々に本配信これた！
[150.462] (S)yuuuuuuuuuuu0: つい一昨日くらい前にたまたまYouTubeのショートで流れてきてukさんカッコ良すぎてギター買いました
[160.806] hosyuy_: ないとマーケットどうでした？
[205.483] おふろあがり: バニーガーデンの切り抜き見ましたー！笑った！
[213.288] aoinoaoiro: 本配信初めましてです。何卒
[247.813] hosyuy_: それ、、、買いです
[261.486] favonius_ultramarinus: ニキのcotomoの動画から来ました。
[292.639] (S)こよ111: こんばんはー
[326.385] (S)appppppiiii: 週の真ん中2連休したので今週あと1日明日仕事がんばります
[396.190] kai_yukihiko: 昨日寝落ちしちゃったんだけど、もれた？
[398.944] luxvi18: UKさんに会いたいよぉぉぉぉう
[412.880] aoinoaoiro: UKさんの配信をBGMに本でも読むかな〜と思ってたらずっと銃声がバンバン言ってるもんで両方は無理でした。配信に集中します笑
[420.521] nyanrz: 配信切り抜きしてもいいんでしたっけ！最近YouTubeでukさんの切り抜き回ってきます！
[425.288] (S)ンパールーパー: おはよぉ
[442.367] (S)ンパールーパー: オーディション頑張ってきたよ〜応援ありがと！
[448.073] (S)こよ111: 昨日寝落ちしたからアーカイブ見てどんなエロ漫談してんのかなって思ったら義務教育の話してて己の浅さを知りました
[449.993] (S)appppppiiii: UKさんからのがんばってねーでがんばれるので寝ます おやすみなさい
[461.261] (S)yuuuuuuuuuuu0: ギターめっちゃ練習して、アドバイスもらえるくらいまで成長します！
[478.585] anpanmen8721: おいガキははよ寝ろ
[503.006] luxvi18: 今Tomorrow練習してるけど
[509.101] luxvi18: ムズすぎ🤤
[527.736] (S)ちゃけ731: さっきまでヴァロやってたからukさんもやり始めて仲間に感じたぞ
[549.042] anpanmen8721: 最近はギターよりマウス握ってそうだな
[568.032] (S)ンパールーパー: UKさん、今日何時に起きたの？
[624.403] kai_yukihiko: LINEで【同じく】って打とうとしたら、オ○ホって候補がでてきました。心当たりがこの配信しかない
[629.801] anpanmen8721: こーれ1です
[645.379] aoinoaoiro: マジで初心者ですみません。これどんなゲームですか？🎮
[674.803] (S)ンパールーパー: 三つ買ったからか
[910.559] anpanmen8721: 1っさんw
[940.491] (S)こよ111: まだ喉本調子じゃなさそう
[956.478] (S)uta_0929_: UKお疲れ様ー！ 寝る前に一戦だけ見る◎
[1414.888] anpanmen8721: スト6練習しなくていいのか？
[1551.536] (S)teinou3: こんばんは
[1612.961] takumasii1: 今日何時までやるー？
[1627.821] えっっっくす: ゔぁゔぁゔぁ
[1637.277] (S)teinou3: 豪鬼ランク認定戦ダイヤ5でした
[1752.474] えっっっくす: ないす！
[1783.720] えっっっくす: ミッド引いてサイト合流8888
[1958.468] えっっっくす: 後続来なかったらw
[1970.660] えっっっくす: 来なかった
[1984.733] (S)ンパールーパー: 昨日の奴みたいにトロールはするなぁ；；
[2030.748] アラン君: やあ
[2055.998] (S)ンパールーパー: 三人…
[2170.859] えっっっくす: ggwp
[2171.603] ーえびまるー: おやすみなさい、UKさん体調お大事に〜
