[33.897] mako090717: こんちゃ
[33.985] (S)bucca_boo: こんばんは
[34.115] (S)nakathao: こんばんはぁ
[37.945] hitokage0203: こんばんは！
[41.642] f_muramasa: こんばんは
[41.750] __ひびき: こんばんは〜
[47.968] (S)ンパールーパー: こんばんはぁ
[50.850] (S)nakathao: UKさん血尿は痩せすぎと結石でしたよ！！！
[51.339] yuuyuu21: こんばんは🙇‍♂️ おやすみなさい😪
[56.792] tamamoon12: simplydSlothJam
[62.373] (S)竹原: こんばんは
[67.988] (S)紙粘土: こんばんは〜
[71.746] johndoe_alt7: こんばんはー
[74.105] (S)uta_0929_: 多分すぐ寝落ちるけどちょこっとだけ◎
[74.692] oudon: こんばんは
[84.588] turnip_blue: こんばんは！
[86.000] まめ마메: こんばんわ
[92.876] takaa_1229: こんばんわーーーー！
[95.209] (S)nakathao: 齢21しにて結石生成してしまいました
[95.940] (S)桃谷エリカを制した男: UKさーーーーんこんばんは！！
[96.259] takashi__takashi: mago2dSmile
[109.040] yaseig777: こんばんわ～
[116.803] (S)nakathao: 痩せすぎて腎臓の血管が潰れてるみたいな感じでした
[134.551] (S)ンパールーパー: あと何日だっけ？ローモバ
[138.704] kai_yukihiko: こんばんは
[223.436] takaa_1229: 部屋模様替えしたんですか？？
[245.564] yaseig777: 尿管結石こわひ
[248.711] (S)appppppiiii: こんばんは おやすみなさい UKさん見れて今日もいい1日でした
[271.544] (S)appppppiiii: 明日ローモバ最後頑張ります
[276.246] yaseig777: 配信ジャンキーUK
[292.755] (M)えっっっくす: 他チーム怖すぎるーーーー
[294.520] (S)nakathao: コーヒーと緑茶とビールしか飲まない、、、、
[302.736] bright102222: むりせず
[306.788] __ひびき: 炎の料理人全然クリアできない
[307.647] (S)竹原: パワー10億！
[316.228] (S)わさびーの: こんばんは
[327.769] (S)わさびーの: 普通にさみしくなるかも
[330.556] (S)イケザエライダ: 馬車馬のごとく働いてるよ
[334.280] __ひびき: みんなでわいわいやるの楽しすぎた
[334.295] turnip_blue: 血筋的に尿管結石遺伝してそうで怖い
[342.916] (S)桃谷エリカを制した男: PCゲームですか？
[357.914] (S)竹原: マイクラ？
[382.675] (S)桃谷エリカを制した男: マイクラやって欲しい！！！！！
[382.746] (S)ンパールーパー: 買います。マイクラ
[385.361] __ひびき: マイクラ！やりたい！
[386.536] oudon: マイクラやりたい！
