[29.645] 天才マセガキ: どもー
[32.058] (S)kohacha05: おはよー！
[32.205] サバ缶ポン酢: ういっす
[33.038] m_11xo: こんにわ
[33.592] bigmamu: やあああ
[34.541] (S)こよ111: こんにちは！
[40.151] yuuyuu21: こんにちは🙇‍♂️
[40.360] (S)hirofumi_jr: こんにちは
[41.134] chanmyon: おはようございます！
[42.311] bunann_kun: やあ
[45.171] (M)えっっっくす: えっっっくす subscribed with Prime. They've subscribed for 14 months, currently on a 14 month streak! 
[45.334] korekarakore: おすおすー
[46.090] (S)やましょーー: やあああああああああああ！服かっこいいね
[47.282] shiglle: こんにちは！
[53.735] (S)竹原: こんにちは
[55.642] chanmyon: 広告長い🥲
[56.763] (S)emu0723: emu0723 subscribed at Tier 1. They've subscribed for 7 months! こんにちは！！お疲れ様ですー！
[71.361] shiglle: エリザベス100万回再生おめでとうございます！
[74.978] yaseig777: こんにちは〜！
[89.282] soralira: こんにちは
[106.098] (S)こよ111: 純負けちゃった; ;
[122.300] AnAnonymousGifter: An anonymous user gifted a Tier 1 sub to chanmyon!  
[127.029] ninninninjack: モンハンやってるのかー！
[184.118] glemurin: こんにちは
[184.762] (M)えっっっくす: 匿名サブギフだ
[192.074] sharryphase: やあ
[212.614] ninninninjack: ワイルズ楽しみや
[283.392] (S)inyour_hands: inyour_hands subscribed at Tier 1. 
[290.626] (S)appppppiiii: しごおわです
[295.595] (M)えっっっくす: ボレアス戦まで何時間くらいで行けそうですか？
[303.623] (S)appppppiiii: こんにちはー！今日はやい！
[337.301] dhz0u: spygeaVct2
[347.932] (S)こよ111: ンゴ
[358.224] P_OREchan: HRどんなもん？
[382.532] (S)chanmyon: 初めて配信生で見れました🥹
[396.602] NAMAHAGA: unkochanYaa
[419.108] turnip_blue: こんにちは
[470.612] ninninninjack: ランスでいくの？
[471.540] NAMAHAGA: 初見プレイっちゅーことかい
[483.462] kai_yukihiko: こんばんはー
[494.718] porippe: こんにちは
[514.184] sion_10sk: 機種なんですか？？
[519.422] (S)yaseig777: UKさんの配信に元気もらって、無事に転職活動完了したぺこ！有難うぺこ〜！
[629.209] kanitama100: ココはメキシコか？
[672.940] ninninninjack: ランスってカウンターみたいなのあるんだっけ
[678.239] (S)yaseig777: 懐かしいなぁワールド、ここ山ののめっちゃ高いとこ景色良かった記憶
[754.417] (S)こよ111: KHさんが今アルバトリオンやってるから追い抜かしましょう
[757.424] (S)yaseig777: 馬車馬かな？
[850.379] (S)こよ111: 多動すぎて自分の力で進められないクエストやってるとイライラする
[882.922] (S)yaseig777: wwwww
[895.767] (M)えっっっくす: LoLはもう引退しましたか？
[900.655] (S)こよ111: 闘争本能
[964.193] iamleftyyy: ミニはレアだよ
[983.365] (S)Owl__zzz: ネットで捕まえられる
[1003.127] (S)yaseig777: 1000ポイントくらいになるんだっけか
[1061.877] (M)えっっっくす: UKさんはこの受付嬢好きですか？ちなみにKHさんは大嫌いです
[1071.982] luxvi18: UKさん今日の晩ご飯何食べるのー！
[1080.479] (S)yaseig777: wwww
[1084.213] (S)こよ111: 好きな人なんていないです
[1110.244] (S)yaseig777: 正直そこまで嫌いじゃなかったりします(小声)
[1113.928] (S)ike002206: おー！ワールドやってる！！！！
[1116.117] (M)えっっっくす: www
[1128.281] (S)ike002206: ダルシム⁉︎笑
[1129.500] ninninninjack: ダルシム好きなんですねw
[1181.438] (S)ike002206: ダルシムがランス使ってるのジワるなwww
[1184.301] (S)こよ111: 腕伸ばせよダルシム
[1191.560] takumasii1: エイム良
[1260.561] (S)ike002206: ウチケシの実
[1280.366] iamleftyyy: ランス最高よなカウンター
[1325.034] (S)ike002206: ランス使いなんですか？
[1375.793] (S)ike002206: 尻尾ナイス〜！
[1382.266] (M)えっっっくす: 過去作含め、好きなモンスター何ですか？
[1394.099] iamleftyyy: スティック倒してガードと△よ
[1422.410] takumasii1: クラッチクロー？
[1425.236] h1ty0u_08: カウンターしたらL2
[1425.851] (S)yaseig777: クラッチはアイスボーンからの要素だっけ？
[1426.857] iamleftyyy: L2からかな
[1446.679] kuonji_usu: カウンタークラッチ気持ちいい
[1461.362] (S)ike002206: ランス渋い。上手い人憧れるわ〜
[1594.252] (S)yaseig777: おお！かっけぇ！
[1599.445] (S)ike002206: うま
[1651.793] (S)yaseig777: ランスこんなことできるのかwチャアクしか使わんから全然知らなんだw
[1677.548] (S)ike002206: ランス難しいイメージあるんすよね〜
