[25.004] yrinda: やぁ
[32.733] (M)えっっっくす: fmlchRoll
[39.523] nangokuice: こんちわ
[40.224] (S)桃谷エリカを制した男: UKさーーーーん
[43.167] xion36jpn: モンハンきたぁぁぁ
[43.398] rinrinnrinri: やあ
[44.522] (M)えっっっくす: こんにちは！
[45.380] sukechan2666: DinoDance
[46.052] (S)yaseig777: こんにちは〜！
[46.519] shiglle: こんにちは！
[48.804] morimori_3: やあ
[50.371] aoinoaoiro: こんにちは!
[54.211] kurayanmx5: ちす
[54.576] (S)Owl__zzz: unkochanYaa
[54.932] (S)ike002206: こんにちは！
[62.136] painapurujdks: こんにちは
[63.668] duffy2130: こんにちは
[72.571] (S)亀仁郎: おす！
[76.913] yasudatada: こんにちは！
[80.150] (S)オカチャンマン: こんにちは
[84.120] aoinoaoiro: 早い時間帯ですね！
[89.442] (M)えっっっくす: 1238596さんの名前ほんとズルい笑 めっちゃ目に付くwww
[90.183] (S)ヤーい: ヤーい subscribed at Tier 1. 
[98.375] (S)ike002206: UKさん、4ヶ月ぐらい練習してやっとネクターサビ前くらいまで弾けるようになりました！
[112.754] (S)入浴: こんちわー！丁度tributeのbacteria聴いてた。最高
[127.906] (S)Owl__zzz: マグダラオスか
[142.857] yasudatada: 今日は長く出来るん？
[151.105] aoinoaoiro: 今日めっちゃ良い天気〜！☀️☀️
[162.281] (S)桃谷エリカを制した男: 何食べますか？
[165.324] (S)ike002206: ゾラマグダラオスですか？
[189.509] (S)ike002206: たしかにこいつ作業ゲーっすねw
[189.962] (S)yaseig777: 懐かしいなぁ、ここで石？運んでたら石消えて一生無を運ぶバグに遭遇したなぁ
[236.563] (S)chanmyon: こんにちは！
[270.289] (S)yaseig777: 今改めてみるとゴジラみを感じる、かっけぇ
[293.733] (S)ike002206: 久々にモンハンやりたくなってきたな〜
[302.483] (S)hirofumi_jr: こんにちは
[368.737] j00p312: ukさんに憧れて2か月前にギター初めました！バラ色の日々と主題歌と奮い立つCDショップにて弾けるようになりました！まだまだ頑張ります
[386.796] (S)桃谷エリカを制した男: ゴジラ見てぇなやつだなぁ、なんだコイツは
[396.239] (S)Owl__zzz: 無能NPC
[429.118] (S)yaseig777: ここの大砲って向き変えられたっけか
[437.806] sasi47: 当たってないです
[454.950] (M)えっっっくす: 顔ちっさ
[614.389] (S)亀仁郎: 小顔
[674.315] sasi47: 当たってないです
[753.717] シモモ: おいuk俺もランスで始めたぞ
[778.590] sasi47: 左にあったよ
[784.565] excel_sier: ランスが好きなのか？
[812.185] (S)こよ111: こんばんは！
[851.431] excel_sier: はじめてのモンハンはどの作品？？
[871.361] (S)yaseig777: T字路みたいなとこだっけか
[912.653] サバ缶ポン酢: 8月の単独ライブ彼女と行く予定だったけど、最近別れちゃいました。別れたけど2人ともMOROHAは好きだし行きたいです。
[913.912] sasi47: そこそこ
[916.276] (M)えっっっくす: 迷子だ
[919.833] (S)Owl__zzz: 通りすぎた
[955.296] (S)入浴: 小学校の時、友達の兄貴がプレ2のモンハンGやってるの見るの好きだったなー
[985.313] sasi47: ちがいます
[1023.187] (M)えっっっくす: 其ノ灯暮ラシのインタビューで別れたけど一緒にライブ来ましたっていう2人組居たなぁ
[1059.748] (S)yaseig777: この体制変わると地形変わるギミック好き
[1071.933] ~MISSING_COMMENTER_INFO~: ＵＫぇSoulmaskってゲーム、なかなか良さそうだからまた見てみてくれい！
[1120.885] ~MISSING_COMMENTER_INFO~: ARKとRUSTの良いところ取り
[1136.262] raruraru315: ギター弾くよ放送はしてくれないのか！
[1143.572] (M)えっっっくす: モンハン初見の人がこの絵面見たらなんで思うんだろう笑
[1147.151] (S)こよ111: 昨日UKさんが飯食いに行った後KHさんの配信見に行ったら30時間アルバトリオンやってて泣いた
[1171.174] (S)yaseig777: 30時間アルバトリオンは草、地獄かな？
[1181.705] raruraru315: うんこちゃん何時間かかるかね
[1242.013] __ひびき: 繁忙期で全然帰れないけど明日のライブ楽しみにがんばる…(ヽ´д`)
[1282.354] (S)ンパールーパー: こんばんはぁ
[1307.198] (S)yaseig777: また最近ワールドやってるね〜うんこちゃん
[1322.207] (S)ンパールーパー: メキシコいる間モンハンか何かやるって言ってなかった？
