[27.276] kurayanmx5: ちす
[27.532] (S)satoooooooooshi: きたー
[28.421] tomoha888: やあ！
[29.771] (S)イケザエライダ: obosanSu
[35.544] (S)入浴: おっすー
[39.687] ちゃんめーりん: unkochanYaa
[41.587] tomoha888: すげぇメンバー！
[89.049] (M)えっっっくす: 来た！
[89.442] mimimi0323: おす
[101.775] (S)uta_0929_: 見るよー◎
[109.457] (M)えっっっくす: Riotのガンバディ獲得も近いか！？
[122.911] (S)hana405: fmlchShirotsuyaFML01
[129.549] chiaki00001: 楽しみにしてました🔥🔥🔥
[146.507] (S)satoooooooooshi: やば笑
[156.883] kai_yukihiko: こんにちは
[270.614] (S)satoooooooooshi: UKどこ〜？？？
[280.315] (B)エフエムエル: 【6.9 Special Watch Party】VALORANT Masters Shanghai キャンペーン応募フォームhttps://forms.gle/2NGD17FANtgTAgwu8
[309.739] solanine11: UKさんって画面写りました？
[312.163] masato2005: 肝心なUKが居ない、、ギターでも引いてんのか
[413.676] (S)uta_0929_: 何を見せられてるんや
[429.412] tomoha888: なんやこれ笑
[430.607] masato2005: いちゃいちゃ
[526.773] (M)えっっっくす: UKさん登場！
[543.535] (S)hkmdhkmd: 👏👏👏
[545.048] miraigata: ダブルジャケットかっけー！
[555.379] raphya920a: きたああああ
[560.486] (M)えっっっくす: Vのジャケ写スーツだ
[594.485] masato2005: 改めてえぐいメンツだな
[650.239] miraigata: 恭ちゃんとUKランク一緒？
[661.716] (S)satoooooooooshi: FMLの隣に釈迦ってなんか嬉しいぞ
[680.315] (S)satoooooooooshi: 薄いね、、
[720.474] tomoha888: ukかっこいいなぁ〜
[956.064] (M)えっっっくす: 勝利予想アナログなんだｗ
[1255.160] (S)yaseig777: こんばんわ～！メンバーめっちゃ豪華だなw
[1336.772] aoinoaoiro: こんにちはー！！
[1408.258] idolum_nyo: THWIN
[1557.645] ちばごり: こんちは～
[2080.355] (S)satoooooooooshi: みんな同じ髪
[2411.517] momonga0629: やっほー
[2687.813] (S)satoooooooooshi: 一緒に入るの可愛い笑
[2695.877] (M)えっっっくす: こんな完璧に３rd取れるのつよ
[2857.067] jetytrdy: もっと面白いこと言え
[3508.011] (M)えっっっくす: まんちめてお！
[3511.426] (M)えっっっくす: やっば
[4112.306] watabo_72: 覚醒マンチキン
[4816.824] (S)satoooooooooshi: GG
[4846.053] ぎしぎし君: 草
[4885.006] (S)まーーごめ: ヤニカス多いな
[4902.832] tomo__engl: UKさん呼ばれてるのすご
[5116.776] jetytrdy: odaと喋ってるの誰す？？
[5148.433] (M)えっっっくす: 善悪菌さん
[5401.434] miraigata: OooDaラップして
[5446.537] (S)uta_0929_: (笑)
[5447.402] 82Mbps: なっが
[5751.532] (S)daiya18129: だんご兄弟
[6092.239] tadatsu_: ハッピーターンおいしそう
[6898.779] tenn321: お腹すくや
[6970.609] tenn321: 関西でたこ焼きたべたいなー
[7038.997] tenn321: これはきちい
[7209.551] tenn321: ｗｗww
[7233.485] (S)uta_0929_: VALOより食べ物しか入ってこん(笑)
[7239.470] あんこのデコイ3: たっか
[8529.364] (M)えっっっくす: 流石ピックマップか
[8669.169] agdgmjwpmjt: I
[8752.877] idolum_nyo: THWIN
[8823.411] momonga0629: おい喋れ
[8826.427] edaoni: 一緒だろ
[8907.935] sssskaga: ポンチョは民族衣装
[9401.761] (S)uta_0929_: OodaさんとUKの2ショいいね◎
[9461.296] kanitama100: たこ焼きがカメラ見てる
[9806.172] (M)えっっっくす: カバーはっや
[10230.793] (S)uta_0929_: (笑)
[11334.335] (S)sakuraisatorujp: 耐えうますぎだ
[12074.871] (S)sakuraisatorujp: あっさい
[12204.845] (S)sakuraisatorujp: thすげえよ
[12248.050] (M)えっっっくす: つええ
[12772.317] へぺとなす: 食レポ！？
[12825.369] へぺとなす: ｗｗｗｗｗｗｗｗｗｗｗ
[12930.401] (S)sakuraisatorujp: おーださん普段やられるからってやりたい放題だな
[13061.509] (S)sakuraisatorujp: 今のしーずうめえ
[13170.290] (S)sakuraisatorujp: ふたり？？？？？
[13523.534] (M)えっっっくす: やっっば
[13814.173] jharden1122: みんなにオーディン好きかどうか聞いてくれ
[13925.208] (S)入浴: 釈迦飽きてる？笑
[13962.052] (M)えっっっくす: fmlchRoll
[13971.832] jharden1122: 可愛い。
[13989.662] (M)えっっっくす: えっっぐ
[14115.228] (M)えっっっくす: あ...もう1ラウンドwww
[14130.797] (M)えっっっくす: そうろうsan
[14206.229] (M)えっっっくす: ｗｗｗ
[14234.884] (M)えっっっくす: 無事にただの舐めプになったw
[14638.159] (M)えっっっくす: えーーーーーーー
[14685.173] (S)sakuraisatorujp: きんさんさ〜w
[15016.302] (S)ンパールーパー: 長ぇ
[16161.168] (S)hennaoji: fmlchShake
[16881.572] (M)えっっっくす: ある！！！！
[17428.115] (S)sakuraisatorujp: テクスチャーがちがちすぎない？
[17649.852] (S)sakuraisatorujp: gengおめでとう！！！！！
[17846.269] (S)sakuraisatorujp: 優勝スキンとか販売ないのかな？
[18538.141] J1n3n_bbb: ちんまり
[19357.048] (M)えっっっくす: おめでとう！
[19362.897] (S)ンパールーパー: omedeto----
[19538.405] (M)えっっっくす: 8888888
