[27.702] kurayanmx5: ちす
[30.076] (S)イケザエライダ: obosanHi
[42.793] j00p312: ギター始めて2ヶ月です！エリザベス練習してま
[43.472] kai_yukihiko: こんばんは
[44.397] (M)えっっっくす: フェンネル戦見てた
[53.358] (S)ike002206: こんばんは！
[53.622] (S)mano_426: こんばんは
[59.980] (S)hkmdhkmd: こんばんはー
[61.617] comcom2111: こんばんは♪
[64.374] yasudatada: こんばんは！
[89.009] (S)yaseig777: こんばんわ〜！
[106.027] (M)えっっっくす: 帰ってきたと思ったら「19:30から会議→以降残業(の依頼)」っていう連絡が来たんですけど、携帯ぶん投げて良いですか？
[114.602] (S)ike002206: UKの影響でワールドもう１回買い直してやることにしたよ
[129.410] (S)yaseig777: えっっっくすさん地獄すぎんか…？
[129.727] aoinoaoiro: こんばんは！しごおわです！
[163.110] (S)yaseig777: 探索からか
[182.999] (S)appppppiiii: こんばんは！！！！！！！！今日も見れて嬉しいです
[197.541] (M)えっっっくす: UKさんもマップ見るたびに小型モンスターに襲われて地獄をみてほしい。
[198.806] yowakimono23: こんばんは！結構歴代モンハンもやってるんです？？
[263.863] (S)ンパールーパー: こんばんは
[265.572] jetytrdy: 今から坦々麺行かね？痺れ系
[278.342] amefuriotaku: こんばんは〜
[402.227] (S)inyour_hands: こんばんは！
[420.955] zetton_rydn: やぁ
[469.275] (S)yaseig777: wwww
[585.570] (S)yaseig777: 防具更新してないままかそういえばw
[623.953] (S)bucca_boo: こんばんは
[629.093] toangone: もうアイスボーン入ったんすね はやい
[643.067] (S)emu0723: こんばんはー！お疲れ様です♪
[658.430] (S)yaseig777: 最初の探索って村から直接行ってた覚えがあったがクエストからでも進めれるんかな？
[721.690] yowakimono23: 一旦ブラントドス倒しちゃいましょっか
[722.492] (S)yaseig777: 塞がってる道の先かw
[739.736] (S)Owl__zzz: unkochanYaa
[747.504] わらびーもっち: やぁ
[781.872] (S)yaseig777: 雪解けハイボールうまそう
[787.787] (S)takumasii1: ✋
[813.475] (S)inyour_hands: ピザ食べながら観戦しよ 
[867.630] (S)yaseig777: かわいい
[908.389] (S)yaseig777: wwww
[910.364] (S)ンパールーパー: ほぉ
[910.615] (S)takumasii1: ペラペラペラペラしゃべるね
[917.289] meltasco: 、、、
[917.472] (S)ンパールーパー: お喋りだ
[931.367] (S)yaseig777: おばさま狂いやめてね 
[934.696] (S)Owl__zzz: 渡りの凍て地では、錆びクシャの抜け殻が見られますよ
[988.908] yowakimono23: モンハンのBGM何が好きとかありますか～？
[1027.207] yowakimono23: 良いすね～
[1030.883] わらびーもっち: またマニアックな
[1050.553] (S)Owl__zzz: く、くる！
[1107.917] (S)yaseig777: さぁ初戦！
[1133.880] (S)takumasii1: 3乙無しで
[1166.474] (S)yaseig777: あぶぬぇい！
[1166.806] meltasco: 咳大丈夫かよ
[1196.743] かげかつでしょ: こんばんわ
[1309.628] (S)yaseig777: あ
[1363.160] (S)yaseig777: やっぱまともに食らうとダメージ結構入るようになってるねぇ
[1433.408] (S)rr_0315: あとどのくらいでマスターですか？
[1462.104] (S)ygarshy: こんばんは！蒸暑いですね。もうクーラー稼働してますか？
[1542.712] (S)yaseig777: おててちっちゃくて可愛い
[1551.863] (S)takumasii1: つっよ
[1552.406] (S)yaseig777: www
[1570.921] (S)takumasii1: え
[1694.925] (S)rr_0315: 個人的にバァルハザクが一番うっとおしいw
[1743.707] (S)takumasii1: ww
[1745.869] (S)yaseig777: こないだ発狂してたもんなw
[1750.480] (S)イケザエライダ: 虫やないか
[1756.235] (S)Owl__zzz: 剥ぎ取りでな
[1759.127] (S)ike002206: 歴戦のハンターの回答
[1769.063] (S)rr_0315: 虫wwww
[1916.943] (S)yaseig777: この図体で、モチーフ元と同じく草食というバルバロくん、動物園にいたら一躍人気者
[1928.135] (S)takumasii1: うっま
[1956.391] (S)Owl__zzz: それ強い
[1957.530] (S)yaseig777: www
[1962.945] raruraru315: やっぱランスだよなぁ！？
[2038.235] raruraru315: mokoulMokoukao
[2062.647] (S)イケザエライダ: やったことあるの？
[2065.177] (S)takumasii1: えっ
[2068.735] (S)yaseig777: 穴はどこなのだよ
[2088.147] raruraru315: ドボルくん竿役ですか?
[2097.554] asw_saku: つきまくれ~
[2111.730] (S)yaseig777: あ
[2113.357] (S)takumasii1: ランスで掘りまくれ
[2126.253] (S)yaseig777: 自分からダイブしたなw
[2159.010] (S)yaseig777: 1乙が基本になりつつある
[2309.172] (S)yaseig777: ないすぅ
[2312.299] raruraru315: ネイス
[2330.945] ray__ayanami: やあ
[2333.201] (S)takumasii1: まだぎりたたかえる
[2355.237] (S)yaseig777: そういえば装衣も縛ってる感じなんです！
[2360.293] (S)yaseig777: ？
[2374.808] ray__ayanami: まだダルシム使ってるんですか？
[2428.278] (S)yaseig777: 追加体力の装衣ずっとつかってたなぁ、あとは怯まないやつ
[2433.754] (S)takumasii1: 転身の装衣はつよかった
[2445.888] (S)ike002206: 回避のやつ着れば回避ランサーできるで
[2454.795] nikotinm4x: 俺も装衣よく最初わからなかったです笑
[2455.242] ray__ayanami: 転身は公式チート
[2455.987] (M)えっっっくす: てんしんの装衣と不動の装衣はよしなまが言ってるのをよく聞く
[2464.054] (S)Owl__zzz: オート回避できる
[2467.787] yasudatada: 不動の装衣
