[38.966] (S)イケザエライダ: こんばんはハンター
[43.936] kanami1828: やぁ
[44.148] (S)emu0723: おつかれさまでーす
[45.880] ちゃどまれーん: ばんわ
[47.487] m_11xo: こんばんはー！
[47.696] oudon: こんばんは
[51.065] (M)えっっっくす: fmlchNICE
[56.461] (S)亀仁郎: fmlchNICE
[62.387] yasudatada: こんばんは！
[76.673] appppppiiii: こんばんは！！！！！！！！
[85.357] (S)takumasii1: やぁ
[90.571] (S)こよ111: こんばんは！
[97.670] (M)えっっっくす: FMLWIN
[109.668] (S)yaseig777: こんばんわ〜！
[129.048] yasudatada: 素材集めやったの？
[171.632] (S)yaseig777: ティガきちゃあ
[213.344] (S)こよ111: ベニカガチしばいてたあたりで寝落ちしたからだいぶ進んでる
[217.964] (M)えっっっくす: クエスト名変わらないんだ。エモ
[254.169] (S)yaseig777: ティガこのマップだったかw
[303.762] raphya920a: こんばんは
[308.043] (S)こよ111: なんかダルシムスタイリッシュになってるわ
[315.095] (M)えっっっくす: 顔も装備も模様だらけw
[379.916] (S)Owl__zzz: unkochanYaa
[393.609] (S)こよ111: 狩人
[530.781] kanami1828: 後隙ねぇな
[632.456] raphya920a: 物販ってライブの前と後どっちにやってますか？
[641.681] twitch_nakachan: ワールドだけ買ったんだがそれでも楽しめるか？教えてくれ
[681.668] (S)yaseig777: 本家モンハンより、メタルギアPWでやりまくった記憶が強いなティガw
[683.923] (S)takumasii1: 絶対アイスボーンかったほうがいい
[696.024] (S)こよ111: 楽しめるけどアイスボーンで新アクション増えるし弱体化された動きもあるから一括で買った方が吉かな
[710.144] __ひびき: @raphya920a どっちもやってることが多いです
[714.786] twitch_nakachan: えーマジかーセール終わったからボーナス出たら買うわー
[725.025] raphya920a: @__ひびき ありがとうございます！
[798.303] わらびーもっち: 何気にモンハン上手いんですね
[811.453] じぇーけーのふともも: こんばんわ
[836.185] Parupunte030: やあ
[843.936] (S)yaseig777: あぶぬぇい！
[919.028] (S)こよ111: 頭で忘れても手が覚えてる
[969.037] raphya920a: ティガの配色かっこよすぎ
