[54.507] tatsubou057: 今日も幸福をいただきに来ました
[169.248] pikarinko: あれ？アカウント変わりましたか
[176.733] pikarinko: sekifrEedom1
[209.226] pikarinko: 違うほうにサブスクしちゃった
[215.397] pikarinko: sekifrEek
[319.111] osamuyamamoto: 託児所立ててよ
[337.712] そーた21: 少年院作ってよ
[347.915] osamuyamamoto: ルムマが託児所
[445.357] 李遜抻: この江戸もんど本田ってガイルより強いの？
[456.907] sengakodai: お久しぶりです。お元気でしたか？
[474.402] たかなぎゅうどん: ホンダが最強キャラだよ
[485.021] kyousinziya: こんばんは
[510.217] sengakodai: クラシックでやってるの意外すぎます
[542.227] sengakodai: ホンダはイメージに合ってます笑
[577.270] sengakodai: ホンダは頭突きうざいよね
[590.203] sengakodai: パリィしないんだ
[592.824] たかなぎゅうどん: 関さんはモダンのことを「手が不自由でコマンドが打てない障がい者用モード」と呼んでクラシックしか使わないと決めています。
[606.973] sengakodai: 尖ってんなあ笑
[696.321] たかなぎゅうどん: ex張り手→しゃがみ小パンチ→頭突きがつながるぞ
[948.506] たかなぎゅうどん: 弱か中の頭突きは対空で使えるぞ
[1325.972] たかなぎゅうどん: モダンのやつって半数はまともに会話できなさそう
[1410.767] yoichihiranoofficial: そうやって初心者を叩くから格ゲーは衰退した
[1571.788] kyousinziya: 3000時間かけて昨日負けて負け惜しみコメントしてたお気持ち表明ご苦労様です。
[1653.079] たかなぎゅうどん: もうしわけないですが、ストリートファイターはナンバリングでシステムが全然違うので、前作を何時間やってようと今作を廃人のようにやってる人には当然負けます。
[1706.355] たかなぎゅうどん: 悪口言わないからだろ
[1827.113] kyousinziya: 申し訳なく思ってるなら言い訳すんんは
[2149.490] sushii244: お久しぶりの配信？
[2157.081] sushii244: 雑談まだー？
[2199.009] sushii244: フリーダムというと雑談なんだよなー
[2429.828] kyousinziya: もう終わるの？
