[1342.896] のぶたろう: こんなもんでしょ
[1452.043] はっちょう: ダムくんエドつかうの？
[1486.306] はっちょう: 中Kからのキャンセルラッシュからの投げか打撃の卓強制いけるからね
[1502.038] hyper_ko_: ダム！元気か？
[1526.948] はっちょう: 中K当たってれば打撃、ガードされてたら攻撃重ねるか投げかで
[1555.162] はっちょう: 中Kから弱波動とかも強いで 
[1570.956] はっちょう: それ
[1582.591] はっちょう: 中Kから弱ひも
[1616.879] はっちょう: それ連続ガードだから打撃で暴れてたら紐当たる
[1652.171] はっちょう: ダムくんの応援でランク回してダイヤ2になれたよ
[1660.064] はっちょう: それマジで使わん
[1693.847] はっちょう: 相手がバーンアウトしてて壁際でインパクト入ってぴよぴよしてる時しかタメは使わない
[1714.210] はっちょう: 置き技としては大Pはめちゃくちゃ強い
[1766.558] はっちょう: クラシックエドはキルステのコンボむずいからめちゃくちゃ難易度高い
[1775.805] はっちょう: Mですら激ムズ
[1840.512] はっちょう: 回線ゴミかよwwww
[1850.660] はっちょう: あり
[1857.549] はっちょう: ランクマじゃなくてよかった
[1858.457] akiyama50mgo: はじめまして
[1883.306] akiyama50mgo: 面白そうなゲームですね
[2009.895] はっちょう: 大Pキルステ最速前P竜巻強ってコンボがクラシックだとマジで難しい
[2146.313] はっちょう: www
[2158.752] はっちょう: 1回対戦しようぜw
[2169.192] 半魔完魔: 明日のUFCのメインイベント日本人がやるから楽しみ
[2312.818] はっちょう: バトルハブ移動できる？
[2320.414] はっちょう: もしくはカスタム作るけど
[2333.655] はっちょう: そこ入れないんよ
[2349.615] はっちょう: 15とかは？
[2354.218] はっちょう: アジア
[2414.226] はっちょう: あ
[2431.965] はっちょう: 戻ってきた
[2433.996] はっちょう: あぶね
[2521.408] はっちょう: これまじつよ
[2606.279] 半魔完魔: でも関くんは安城で一番強いから
[2799.179] hisashi2222: ども
[2809.339] hisashi2222: 関は冷房つけた？
[2832.700] hisashi2222: クソ暑くね
[2931.011] はっちょう: 前ジャンプはありよ
[3012.031] はっちょう: パニカンだからダメージたかい
[3126.608] kyousinziya: you
[3138.318] はっちょう: それダメw
[3154.828] はっちょう: ケン
[3161.175] はっちょう: 道着系きつい
[3198.535] はっちょう: あとラッシュが早いジュリとかDJきつい
[3299.633] hisashi2222: コントローラーのクラシックでようできるな
[3411.901] はっちょう: うま
[3417.783] はっちょう: ちょっと待って上手くね？
[3426.675] はっちょう: wwww
[3484.087] はっちょう: エドよりケンの方が強い
[3548.651] 半魔完魔: パニカンってやっぱ慣れなのかね
[3608.835] はっちょう: キャンセルラッシュ使えるようになったらさらに強くなると思う
[3645.942] はっちょう: 2中Pから中PK同時押しからコンボ繋げるとか
[3949.114] はっちょう: するんよ
[4126.407] kyousinziya: る六厩欄の？
[4155.945] kyousinziya: 緑の奴ってどうやんの？
[4197.021] はっちょう: これコマ投げ
[4283.587] はっちょう: 俺も使ったことないやつ使う
[4623.717] はっちょう: ダルシムおわってら
[4633.463] はっちょう: むずい
[4635.368] kyousinziya: レベル８のCPU強すぎる
[4647.422] kyousinziya: ぼこぼこにされた
[4654.957] はっちょう: CPUレベル8だとプラチナくらいの強さ
[4667.938] はっちょう: ありがとうねぇ
