[85.291] たまなき: 2人きりだね♡
[521.506] DominicCalvertLewinn: お前は喋りが武器だろ
[535.676] DominicCalvertLewinn: 芸人やれ
[545.317] DominicCalvertLewinn: 知ってるわ
[569.541] そーた21: お笑い人力車
[574.274] DominicCalvertLewinn: えぇ
[574.763] osamuyamamoto: またアントニーやって
[628.174] そーた21: 実家がアイス屋で財布から金くすねるのが趣味
[680.448] DominicCalvertLewinn: なんでだよ
[687.082] そーた21: なんで兄だけ向こうに置き去りなの
[688.622] DominicCalvertLewinn: 幸せだったんだろ
[696.318] osamuyamamoto: フランクがおいしくいただいた
[714.975] そーた21: BANしろ
[721.932] DominicCalvertLewinn: www
[763.000] DominicCalvertLewinn: ちちはは言語なにで喋ってたの
[780.147] osamuyamamoto: そりゃ金用意しなかった真由美が悪い
[813.058] DominicCalvertLewinn: おれもう2年もフォローしてるの？
[831.216] そーた21: ギリ健の義父いがいの名前めくれてるしな
[839.446] DominicCalvertLewinn: お前ツイッチで2年も配信してるか？
[844.993] DominicCalvertLewinn: それでこの同接？
[911.211] そーた21: TwitchでAPEX配信して、えたひにん 言って散っていきました
[919.431] DominicCalvertLewinn: あ
[925.530] あめだまを絶対に許さない: おお
[941.546] DominicCalvertLewinn: Apexやってくれ
[941.670] そーた21: は？
[1019.669] そーた21: gorigoriRainbowspin
[1054.004] そーた21: ドン？
[1108.976] DominicCalvertLewinn: ミセスの話してくれ
[1138.198] DominicCalvertLewinn: あれな
[1144.239] そーた21: ピカドン
[1174.734] DominicCalvertLewinn: 足元見られてる
[1188.985] DominicCalvertLewinn: 許せねぇよ
[1290.090] DominicCalvertLewinn: お前に気づいてなかったとか？
[1295.127] osamuyamamoto: その話こすりすぎ
[1312.537] そーた21: 特攻しろ
[1315.830] DominicCalvertLewinn: それで言いに行かなかったのか？
[1325.270] osamuyamamoto: 当て逃げの話
[1418.366] DominicCalvertLewinn: 良い奴やめろよ
[1452.214] DominicCalvertLewinn: 言わない
[1460.320] DominicCalvertLewinn: ごめん
[1468.910] osamuyamamoto: 聡は責任取って馬鹿を見たよ
[1492.315] DominicCalvertLewinn: 言いそうになったこと言ってみろ
[1549.052] DominicCalvertLewinn: 今日、すごいね
[1585.833] DominicCalvertLewinn: くるま何乗ってんの？
[1643.515] DominicCalvertLewinn: でも軽乗ってた時あったけど、かなり運転しやすいよね
[1645.290] DominicCalvertLewinn: 街乗りなら
[1694.261] DominicCalvertLewinn: 乗用車ってなに？wそもそも
[1706.202] DominicCalvertLewinn: あー
[1806.609] DominicCalvertLewinn: やめるな
[1827.891] DominicCalvertLewinn: やめろ
[1848.695] hisashi2222: おいバレンまだ呂布とレスバしてるぞｗｗ
[1868.965] hisashi2222: ｗｗ
[1876.076] hisashi2222: 仲良いよね
[1894.376] hisashi2222: お互いキモすぎ
[1908.388] DominicCalvertLewinn: コメント
[1908.953] hisashi2222: 川辺は？
[1951.564] DominicCalvertLewinn: 趣味ないの
[1979.276] DominicCalvertLewinn: じゃあ次はプラチナだな
[2095.365] DominicCalvertLewinn: 顔やめて
[2114.117] DominicCalvertLewinn: eurieceW
