[406.143] sssskaga: リュウは大ゴス擦れ
[573.663] 魔足: お、今日はバトロワ１の山本太郎のコスプレですか？
[781.081] 瀬戸弘司はんじょう: hanjouHan
[849.281] 瀬戸弘司はんじょう: トレーニングモード行けよw
[1030.573] ビー玉頭: まだキャラ少ないね
[1873.338] kyousinziya: こんばんは、ノイズひどいな
[1907.605] kyousinziya: 砂嵐みたいな音
[1912.753] kyousinziya: 消えた
[1939.376] kyousinziya: ランクやらないの？
[2037.724] kyousinziya: うま
[2299.407] kyousinziya: ゴールドいくの？
[2805.631] kyousinziya: よわ
[2900.425] DominicCalvertLewinn: お前、目結構ぱっちりしてんだな
[3152.746] kyousinziya: 何だこれw
[3343.337] kyousinziya: 首かゆいね関くん
[3476.762] kyousinziya: アホが
[3545.093] kyousinziya: we
[3779.304] kyousinziya: www
[4067.247] ナセド: シルバーで沼ってんの？
[4418.722] kyousinziya: 弱いなぁ
[4507.141] kyousinziya: こっちみんなw
[4594.284] kyousinziya: はいまけ
[4609.282] kyousinziya: 弱いなぁ
[4716.245] kyousinziya: まぁしょうがないよね
[5149.092] kyousinziya: そんなの意味あるの？ｗ
[5187.780] kyousinziya: 誰かが韓国人って言ってなかった？
[5533.761] kyousinziya: わかる
[5947.870] kyousinziya: よわ
[6143.128] kyousinziya: ええｗ
