[26.058] asyumi: ʚ♥ɞ
[26.246] kenchi0122: うっす
[26.888] 十捌芸乃二: わあ
[28.156] mochi963: ども
[28.556] にちゃゃん: やあほう
[29.539] y_y_1998: やあ
[29.555] abekobe_sk: やあ
[29.669] tosya160: やぁ
[29.683] 184____a: ラブリーちゃんきたよー
[30.469] ジークムント: にょっす
[30.602] karinto_h: おす
[30.965] ~MISSING_COMMENTER_INFO~: きんじょうきたああああああああああああああああああああ
[31.140] nenemuishi: ハイエナ
[31.209] (S)mitsuki2525816: こんばんちょ
[32.589] muji_na: こにゃちゃち
[32.606] (S)ギャ: うっす
[32.635] syokuyoku__: こんちわ
[32.795] yukimiomochi: やっほー
[32.848] (S)umttmm: ちゃっす
[32.868] npa_a: やあ
[32.991] mirin_001: こんばんは
[33.038] Hiyori__123: きたあああああああ
[33.251] (S)まなみ_____: こんばんは！！
[33.460] ocha72525: きたあ
[34.303] (S)okiyoo000: geroki1Yametene
[34.569] lulu0042: らぶりーちゃん
[34.828] zonoooooooo: ぴょおおおおおおおおおお
[35.490] (S)cochan417: こんちゃ
[35.648] mumindaniel: きたあああああああ
[36.484] tonsukemomo: こんにちは😊
[36.522] meimeimiko: こんばんは＼(^▽^)／！
[37.144] miuuu1220: geroki1Punch
[37.376] (S)suzubba: こんばんは
[37.396] (S)nyon_1026: こんばんは！
[37.403] y_y_1998: リアルタイムきたあああああ
[37.464] EUREKAgg5: やあ
[37.531] oto0317: オハヨ
[37.677] npa_a: こんばんはー
[38.007] (S)hayakenta: やあ
[38.654] (S)choco609: こんばんはー！
[38.725] IKURA_GUNKAN: やあ
[38.873] guriguri777: geroki1Punch
[38.985] (S)yayodesuyo: こんばんは
[39.061] hageyamasanagain: GERO!? GEROなの！？！？
[39.913] ujichankuyan: こんばんは😃
[40.252] ようですよ: やあ
[40.713] にちゃゃん: らぶりちゃん♡♡
[41.173] (S)torawoyukidaruma: こんばんはー 
[41.759] tokumeixvx: きたあああああああ
[42.356] チョコットランド非公式: 最近配信多いね 
[42.390] ~MISSING_COMMENTER_INFO~: ひろききたあああああああああああああああ
[42.551] Hiyori__123: こんばんはああ
[42.566] o751248: ぴろきーー
[42.591] Sig_rrrs8: やあ
[42.864] (S)minaku_o_o: やったー！
[43.038] (S)炊き出し: geroki1Au
[43.074] rumika_034: 金城さんこんばんは〜！
[43.143] jp_089: うおおおおおおおおおおおおお
[43.455] (S)risusiru: やぁ
[43.515] y_y_1998: きたよぉおおぉお
[43.715] suda7770: ぜう、こんばんにょ
[43.820] horozou: こんちゃー！！
[44.043] kyo_o119: 待ってましたー！
[44.078] (S)hayakenta: geroki1Yametene
[44.245] mihogero: こんにちは！
[44.698] (S)y_htomo10: こんばんはー！
[44.917] (S)saaaawa: やほー
[45.023] (S)umttmm: ちゃーーーーー
[46.340] nenemuishi: やあ
[46.349] hageyamasanagain: 8888888888888888888888
[46.507] (S)ギャ: こんばんちゃ
[46.839] near21342: だれやこいつ
[46.972] saku_gero: こんちゃっ！
[47.560] y_y_1998: こんちゃ〜〜
[48.090] にちゃゃん: らぶりちゃん久しぶりにみた♡♡
[48.334] (S)mitsuki2525816: geroki1Nekoirasuto
[48.543] tokumeixvx: DinoDance
[48.773] Hiyori__123: geroki1Kawaii
[48.943] EUREKAgg5: こんちゃ
[48.996] (S)yayodesuyo: geroki1Yametene
[49.006] ui0322: ちゃー！
[49.446] (S)risusiru: こんらぶー
[49.573] risutarodesu: ひろきーーーーーーーー
[49.605] (S)minaku_o_o: 新幹線で暇してたから嬉しい
[49.749] esr1032: 喧嘩しようぜ
[49.953] yuu_aaaaaaa: こんちゃ！
[49.970] mukami34: こんちはーー
[50.222] riff610: こんばんはー
[51.393] にちゃゃん: geroki1Yametene
[51.628] mumindaniel: こんちゃああああ 
[51.629] jun_5min: らぶりーちゃん
