[15.278] もぐ163: わーい
[18.837] ivy_007cc: 戻った
[18.979] (S)koma_6611: おかえり 
[19.064] sota105_: おかえり
[19.657] (S)zoba_57: 4んだのかと…
[19.886] ocha72525: きたあ
[19.933] kona_1435: あ、おけーりー
[20.407] (S)cocolin921118: geroki1Dance
[20.417] (S)torawoyukidaruma: もどった！
[20.696] keeeeeeeeei_13: おかえりー！
[21.072] (S)sora_pantsu: おかえり
[21.114] (S)y_htomo10: おかえり
[21.534] (S)迷子の社会人: よかったTT
[21.704] nabeo777: ないす
[21.801] karinto_h: おかえり 
[21.902] (S)nijivamp: geroki1Hakusyu
[22.049] (S)esorakinako: ああああああおかえりなさい
[22.386] (S)三色おだんご: おかえり
[22.607] (S)hirunaruna: ナイス！！
[23.356] (S)romshiyo: おめでとう
[23.905] nano_gr: 戻った！
[24.375] (S)choco609: おめでとー！
[25.183] (S)saaaawa: おおおめでとう
[25.225] tmochiba: おかえりー
[25.669] (S)ankoroll: おかえりやすー
[25.861] (S)ンパールーパー: おかえりー
[26.654] (S)tansann_0: geroki1GG
[29.149] shimotsuki_g: おかえりー
[29.636] kona_1435: ナイスゥー
[29.957] (S)zoba_57: は？
[30.817] (S)sarioru: よかった
[31.007] (S)choco609: ｗｗ
[31.548] (S)迷子の社会人: ｗｗｗおかえりなさい
[31.708] hityomi: おかえりおかえり！
[31.863] okashiya: やあやあ
[32.070] (S)hirunaruna: おかえりぃ
[32.792] (S)koma_6611: オケ
[32.807] nano_gr: 勝ってたの
[33.653] pitago_ra: 笑
[34.126] futasika3: geroki1Punch
[34.830] (S)swimkinpop: 金尿敬樹
[35.626] (S)y_htomo10: ないす
[35.721] (S)tyakaboooom: よかった！
[35.990] sota105_: 手洗ったか
[37.252] mameusa: おかえりなさい
[37.439] (S)zoba_57: 勝手に行くな！！！
[37.618] (S)ひいらぎしゅう: もどった！
[37.654] (S)makiwoooo: おけえり〜 
[37.979] (S)三色おだんご: いい子で待ってたよ
[38.530] (S)ギャ: おしっこ出て良かったね
[39.059] (S)megenai_suzume: ヤッターおかえり！
[39.161] mumindaniel: geroki1GG
[45.213] n_kyo14: やあ
[46.687] (S)ンパールーパー: いい子してたよ
[48.349] とうみきさん: おかえり(｡･Д･｡)ﾉ
[48.398] (S)nijivamp: お帰りなさい
[51.395] (S)hirunaruna: キャミィ！
[53.801] ujichankuyan: お帰り
[58.123] tonsukemomo: おかえりなさい🤗
[59.103] dba143: ランクリセットされたてだから魔境ですぜぇ
[59.959] shinkijp: ハイエナすぎる
[60.875] (S)zoba_57: トイレ許可とってね
[60.988] (S)hibari_1104: おかえり
[67.322] さいくつ: これハイエナ？
[69.268] (S)koma_6611: ちょっとヒヤヒヤしたで？
[69.362] (S)ankoroll: ほほー
[71.457] (S)saaaawa: 豪鬼強そうだった
[72.001] (S)VamosNeftali: お、戻ってる
[72.583] riz0022: おかえりなさいー
[73.741] (S)hirunaruna: 使ってるの見たい
[81.730] (S)meauchap: おかえり
[82.504] (S)hibari_1104: トイレ行ってたん？ｗ
[84.621] (S)チズケキ: おかえり
[86.907] (S)swimkinpop: 豪鬼であそぼう
[92.245] にちゃゃん: おかえりらぶたん
[93.668] (S)megenai_suzume: はやあ！
[93.740] (S)mizore_ame: 良かった、おかえりー＆ただいまー
[97.453] (S)wanwan_5: 戻った 
[100.107] n_kyo14: 一瞬千撃抜山蓋世鬼哭啾啾故豪鬼成
[105.474] (S)y_htomo10: やめてけろ〜
[105.583] (S)megenai_suzume: つっよ
[108.050] (S)ankoroll: (´∀`)
[110.770] nano_gr: いやーん(；；)
[127.708] (S)romshiyo: wwww
[129.480] (S)おぎゃわん: やぁ
[131.526] (S)pon8_k5: らぶりーちゃん
[134.098] 沈黙の金曜日: w
[134.207] (S)y_htomo10: wwww
[134.919] yoshimana712: 蛇足ボコらないか？
[135.009] usagiraran: 再開気付かんかったー
[136.281] (S)ankoroll: やり手だね👍
[136.725] (S)hirunaruna: （ ;  ; ）
[136.932] (S)saaaawa: すかっ
[138.554] (S)risusiru: やってたのか
[154.487] empirenow57: にょっす
[163.023] ~MISSING_COMMENTER_INFO~: クラシックでよう出せるな
[165.300] (S)ren_noze: 勝った？？
[167.797] (S)おぎゃわん: がんばれー！
[169.875] (S)romshiyo: 強い人かぁ
[169.940] (S)hirunaruna: 強いな
[170.037] (S)y_htomo10: 痛いよ〜；；
[172.638] (S)nijivamp: つっよ
[173.511] (S)choco609: つよ
[175.695] usagiraran: ぎゃあ
[175.763] 沈黙の金曜日: 相手かものはしだぞ
[177.669] (S)ren_noze: やばぁ
[178.075] reona0130: がんばぇー
[180.187] (S)y_htomo10: 強い
[183.219] (S)zoba_57: 魔境だなあ
[187.977] mukami34: FamilyMan
[189.029] (S)makiwoooo: ひろき頑張れ〜 
[195.570] (S)hirunaruna: がんばれー！！
[196.872] mukami34: いったれー！
[202.159] Oreo9_monster: すと6になってる!
[207.146] (S)romakkuq: いた！
[209.293] 柊木レン: やってるねぇ～
[218.723] (S)swimkinpop: でも昇竜は出る
[229.489] (S)romakkuq: Gero消えちゃったと思ってた
[230.037] (S)romshiyo: あらー
[231.267] gohantaro4: 次のアプデでルークめっちゃ弱体化されるらしいぞ
[232.052] (S)tyakaboooom: おしぃ
[232.136] (S)megenai_suzume: 惜しい
[233.917] (S)hirunaruna: うわおしい
[234.313] usagiraran: ああー
[234.449] (S)nijivamp: おしい
[235.872] (S)risusiru: おしかった
[236.287] (S)ankoroll: キー！
[237.641] (S)y_htomo10: ；；
[240.636] 雑兵: おかえり
[240.731] (S)zoba_57: うーん
[241.377] (S)ren_noze: えぎぃ
[243.491] (S)saaaawa: リセット後だからねえ
[250.975] (S)hirunaruna: またか
[257.437] gohantaro4: せやな
[260.215] nano_gr: せやなぁ
[260.908] (S)wanwan_5: ワンチャンプロとも当たるかも
[262.511] (S)pon8_k5: ひろきがんばれー！
[264.539] (S)saaaawa: いま魔境シーズン
[265.566] (S)choco609: 魔境かぁ
[268.672] (S)zoba_57: 団子状態
[272.540] こまつな__: 一つ確認したいんですがあなたもハイエナ食堂ですか？
[273.747] (S)ンパールーパー: アーニャきた
[276.306] (S)まなみ_____: ぴろきふぁいと
[281.715] (S)hirunaruna: それを魔境というんだね
[287.014] (S)tapitapi0114: cheerwhal1 cheerwhal1 cheerwhal1
[291.947] (S)ren_noze: mだから対空気をつけて
[301.913] (S)ンパールーパー: 🥐(𓁹‿𓁹ﾌｯ)🥐
[316.906] (S)romakkuq: うわあああああああ
[318.934] (S)ンパールーパー: 【モダン批判】
[321.306] 柊木レン: キャミィつええよなぁ
[321.420] nano_gr: つよい
[322.708] kiminisachiare: らぶりーちゃんこｎ
[322.965] (S)romakkuq: もだ、ん
[326.423] (S)hirunaruna: もだ、ん
[326.466] (S)umttmm: 戻ってきてた
[327.709] mumindaniel: Mの者
[347.418] (S)ンパールーパー: Ｃの者
[369.514] にちゃゃん: おおー
[370.997] (S)romakkuq: お
[373.220] (S)hirunaruna: ないす！！
[376.686] gomen_heito: まじでうまいな
[377.753] (S)ンパールーパー: どうにかなれー！！
[380.371] 10jqka: おｋ
[381.101] (S)nijivamp: おけ
[381.310] (S)romakkuq: よし！！
[381.455] にちゃゃん: ないすう
[381.940] ocha72525: ないす
[382.307] (S)risusiru: ないす
[382.990] (S)mizore_ame: おー
[385.011] (S)swimkinpop: ないす！
[385.071] mumindaniel: ないすうう
[385.256] (S)saaaawa: ないす
[386.811] (S)ンパールーパー: ないすー！
[386.992] usagiraran: よし！
[387.058] (S)hirunaruna: geroki1GG
[387.891] (S)tyakaboooom: まくったー
[387.901] soar1031: 上手いよ
[388.239] マハラジャじゃ: つないだ
[389.328] (S)risusiru: いいねー
[409.348] (S)romakkuq: おいしい
[412.916] (S)risusiru: いい感じ
[415.898] 10jqka: いいよみ
[416.686] (S)hirunaruna: うまい！
[420.380] (S)nijivamp: うまい
[424.584] (S)romshiyo: おおお
[424.819] (S)hirunaruna: よーーーし
[425.864] (S)romakkuq: いえええええええい
[425.892] (S)y_htomo10: ないすー！
[427.066] かっぱおばば: geroki1Punch
[427.436] (S)nijivamp: geroki1GG
[427.684] (S)risusiru: ないっすー
[427.889] (S)sarioru: ナイス！！
[428.130] 33yyy_: p!
[428.328] (S)swimkinpop: しゃきたああああ
[428.925] usagiraran: ないす
[429.025] tmochiba: geroki1GG
