[18.253] kiiroiinu88: O
[18.519] (S)zoba_57: やあ
[32.877] (S)yuu_harugami: やあ
[33.835] npa_a: やあ
[34.013] kenchi0122: きちゃー
[34.455] ようですよ: やぁ
[35.210] rxrx2525: こんばんは
[35.255] ~MISSING_COMMENTER_INFO~: あ
[35.405] flyingpizza104: 神やん
[35.452] jugon4343: やあ
[36.133] なちゃん25: こんばんはー
[36.182] yu_u0005: やあ
[36.310] npa_a: やあ！
[36.487] (S)ren_noze: こんばんはーー!!!
[36.692] umesuke1: や！
[37.074] ~MISSING_COMMENTER_INFO~: すぐ終わるやん
[37.149] nanohana20: こんばんはー
[37.166] (S)mitsuki2525816: おこんばんちゃ
[37.276] (S)nyon_1026: 待ってたよー！！！！！
[37.277] mochic4n: やあ
[37.291] marakasu12395755: やあ
[37.292] satomaru__: やあ
[37.501] renzmen: うおおおおおおおお
[37.509] (S)チズケキ: わーー
[37.811] ~MISSING_COMMENTER_INFO~: こんちゃ
[37.935] (S)ギャ: よっすー！！
[38.032] osarutaicho: きたあああああああああああああああああ
[38.095] (S)moriko_jp: geroki1Dance
[38.243] (S)おぎゃわん: あらーーーー！！
[38.271] maya___c: やぁ
[38.477] tonsukemomo: こんばんは！
[39.001] vivi_cclntn: わー
[39.112] Bellechaso: やあ
[39.280] ddd8933: やあ
[39.285] (S)omaenoushiroda_0: バニーガーデン！？！？！？
[39.487] tubura3: こんばんはー
[39.748] はんぺん太郎: やあ
[40.115] (S)poyo_jj: やぁ
[40.271] min_11150713: こんばんは
[40.336] nayunayu_nnn: やぁ
[40.349] (S)cochan417: こんちゃ
[40.513] まつおじ: やあ
[40.668] tubugai_oishi: やあ
[41.074] こう123: こんばんは！！
[41.150] renkonnonekko: こんばんはー
[41.274] (S)hirunaruna: やあ
[41.288] (S)まなみ_____: こんばんは！！！
[41.295] tenpaiobake: やあ
[41.303] aoto_him: unkochanYaa
[41.377] ocha72525: きたああああ
[41.592] s_yupi05: こんばんは！
[41.753] risass014: わお
[41.765] yuina00000: やあー！
[42.355] (S)おぎゃわん: geroki1Punch
[42.358] ぱか10: unkochanYaa
[42.423] Dosfango9: きたあああああ
[42.552] カルーア飲み夫: わこつ
[42.568] renzmen: どりゃあああああああああ
[42.572] azumaou1: やあ
[42.936] (S)VamosNeftali: やあ
[43.085] (S)hayakenta: やあ
[43.485] (S)かん69: わこらぶりーちゃん
[43.499] kuma0_0927: やあ
[43.540] kitazima_tyousuke: きたぁぁぁぁぁぁぁぁぁぁぁぁぁぁ
[43.698] 01102387: やぁ
[43.715] (S)makiwoooo: こんばんはー
[43.929] cheru0saaaaaaan: unkochanYaa
[44.139] umesuke1: やったーー！
[44.392] na06256: きたーーー
[44.900] kagaribi_0000: きたあああああああああ
[44.924] ujichankuyan: こんばんは
[45.082] (S)n4tsumik4n: ヤァ
[45.111] カイリューすき: geroki1Yametene
[45.144] npa_a: うわー！きたー！！
[45.276] mdmdmdmdmdw: こんばんは
[45.342] maruru397: 神やん
[45.470] か___: こんばんは！
[45.488] togep1__1: やあ
[45.953] mumindaniel: きたああああ
[46.016] さいくつ: 二秒で終わる
[46.158] たこやきの中身: やあ
[46.168] zekki_zekki_: バニーガーデンやるのかひろきwww
[46.366] kallone28: こんばんわ
[46.424] muzoudokozo: どすけべきんぜう
[46.442] yuina00000: こんばんちは
[46.565] (S)ギャ: こんちわー
[46.567] makaroni_17: geroki1Punch
[46.567] (S)yuu_harugami: きたぁぁぁぁぁ！！！！
[46.600] 霧雨振掛: 飲酒gero!?!?
[46.632] MachineGunBaby_00: まじか
[46.680] citrus244: unkochanYaa
[46.755] (S)コング_: らぶりーてゃ！
[46.803] (S)hayakenta: えっど
[46.935] (S)risusiru: risusiru subscribed at Tier 1. They've subscribed for 2 months! きたで
[47.203] ななみん0123: geroki1Punch
[47.208] (S)hibari_1104: こんばんは！！！！！
[47.598] moko_rainbow: えっど
[47.677] tyantu1: やああああああああああああ
[47.806] (S)yukinochan115: こんばんは！！！！！
[47.872] (S)poyo_jj: きちゃあああああ
[48.017] mochic4n: にやけたら？？？
[48.213] ayamainn: こんばんは
[48.227] simosidesu: もうニヤけてそう
[48.479] 弘美: こんばんは.°ʚ(*´˘`*)ɞ°.
[48.844] tubugai_oishi: もうニヤケてないか？
[48.849] ナナナちゃん: きたでーーー
[48.925] taruto39: きたああああああああ！！
[49.054] kintaroame358: えっど
[49.072] solasidolex2: 秒で終わる可能性
[49.085] hqrcaaaaa: こんばんはー！
[49.139] hachcah: 即終了しそうなタイトル…
[49.150] tyoa_gero: やあ
[49.186] (S)umttmm: こんにちは
[49.497] 睡眠不足_: こんばんは〜
[49.700] Bellechaso: unkochanYaa
[49.714] 75tan: これはやらかすwwww
[49.783] nano_gr: 来たあああああああ
[49.891] (S)mitsuki2525816: きちゃよ
[49.904] vector_1101: unkochanYaa￼ 
[49.922] meimeimiko: こんばんは＼(^▽^)／！
[50.090] ayaa_se2: wwwwwwww
[50.290] まみむめもみか: にやけたら即終了？！
