[25.061] gun_metal_desu: a
[26.227] tg_toky0: やあ
[29.289] inukacat: やあ
[29.391] ddd8933: やあ
[29.497] (S)おぎゃわん: やあ
[29.543] (S)まなみ_____: よ！
[29.760] なちゃん25: こんばんは！
[31.009] umou_chan: ひろきー！！！！！
[31.479] (S)hihihi_usa: やあ
[31.694] pelican666pp: よお
[32.225] aikatsu_haty: DinoDance
[32.346] lcvmi: わーーーい
[32.379] (S)でんがく_: こんばんわー
[32.383] syokuyoku__: やあ！
[32.431] なりほど: よ
[32.902] (S)ギャ: やあ
[33.430] aruha_0113: やっほ！！
[33.510] s_yupi05: こんばんは！
[33.606] melon_pan14: げろちゃーん！
[34.065] ocha72525: こんばんは
[34.224] npa_a: こんばんはーー
[34.289] Hiyori__123: きたー！
[34.336] ruru_rive: こんばん
[34.798] (S)か___: こんばんは！
[34.867] mukigentouketu4: やあ
[35.015] (S)hakudesu117: ちわ！
[35.028] (S)炊き出し: やあ
[35.539] yakumoracing: こんばんわぁ
[35.767] kikisk5103: きたあああああああああああ
[35.980] 睡眠不足_: こんばんは〜
[36.197] ocha72525: ぴろちゃん
[36.279] kamakura66: よ
[36.380] umou_chan: 🐇
[36.848] shinkoromo99: こんばんわ！
[36.883] miyumiyu1123: こんちゃー！！
[36.936] kyuujitutaichouwarui: あれ？終わってないんだ？
[36.977] npa_a: やあ！
[37.000] (S)piestmaru: やぁ
[37.139] nokonoko_ttv: きんぜう！？
[37.224] (S)abe_lya: こんばんは！
[37.673] (S)ひいらぎしゅう: こんばんはー
[37.769] あみのかるぴす: こんばんは！
[37.967] aru_mi14: こんばんびー！！
[38.225] ょです: やったー！！
[38.296] (S)yukinochan115: やあ！
[38.423] しろくま4号: きんぜうきたあああああ
[38.432] yue_p: らぶりーちゃんきた
[38.433] rxrx2525: こんばんは
[38.511] jun_5min: ひろきー！
[38.668] 25mk_: きたよ
[38.873] 2mozi_shamozi: やあ
[38.889] meimeimiko: ぴろきーーー
[39.545] tyantu1: きたあああああああああああああああ
[39.620] a_asami: こんばんは〜
[39.700] melon_pan14: らぶりーちゃーーーん！
[39.803] (S)umttmm: こんばんは
[40.005] (S)choco609: こんばんはー！
[40.218] aruha_0113: こんばんわー
[40.242] みやぢと申します: やあ
[40.310] ka__0905: やぁ
[40.780] kimiko_tsuda: MercyWing1
[40.844] fukuchacha12: こんばんはー
[40.994] mumindaniel: うおおおおおおおお
[41.000] (S)mitsuki2525816: きちゃ
[41.184] (S)かん69: こんらぶ
[41.579] (S)cochan417: こんちゃ
[41.687] (S)makiwoooo: こんばんはー！
[42.128] こう123: こんばんは！
[42.133] ぽぽたま: やぁ
[42.363] (S)wanko386810: 尼崎修羅ときいてー
[42.372] (S)まなみ_____: まなみ_____ subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[42.920] minaminmin01: geroちゃーん、きたよー
[43.144] yano_suke: らぶちゃんこんちゃ
[43.462] marakasu12395755: きえた
[43.674] nokonoko_ttv: あれ
[43.968] (S)ギャ: やっほーきんぜう
[44.044] saki_s1029: こんばんは！
[44.317] (S)ucoeax: ucoeax subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! ぴろきー！
[44.500] cooling_gel: ありゃ？
[44.588] (S)choco609: あれ？
[44.713] aruha_0113: ぴろきぃーー！
[44.771] (S)炊き出し: らぶりーちゃん！
[44.834] (S)damaa131: え？
[44.927] rxrx2525: あれ
[45.044] (S)でんがく_: ？？？？
[45.155] ハルカ1125: まさか続きやってくれるとは思わんかったぞ！
[45.909] mukigentouketu4: ひん
[45.926] ilovemiyu3: ？
[45.947] (S)hihihi_usa: ん？
[46.059] tororo10666: こんばんは
[46.166] (S)oran_deg: ひん
[46.172] (S)コング_: ？
[46.348] ぽぽたま: えっ
[46.502] (S)zoba_57: やあ
[46.576] nananenechan: あれ？
[46.703] umou_chan: あ
[46.722] なりほど: え！？
[47.417] kikisk5103: ！？
[47.437] gencha_n: geroki1Yametene
[47.473] bug_yuk: geroki1Punch
[47.505] misosoup5296: あれ
[48.066] はんぺん太郎: え？？？
[48.094] angrastop: これシコリスギ
[48.168] 2mozi_shamozi: きんぜうきたよ
[48.284] (S)炊き出し: ℒℴѵℯ
[48.537] (S)yukinochan115: きたよ！
[48.582] umou_chan: ひん
[48.666] normal_juice: ひん
[48.731] massahojo: あら
[48.734] (S)yoo_sa23: らぶりーちゃんこんばんは！！
[48.743] Sig_rrrs8: ラブリーちゃんきたああああ
[48.811] ガキの腰使いあらへんで: ひん
[48.911] melon_pan14: あれ？
[48.985] g_123a: こんばんは～
[49.288] volvick555: こんばんはー
[49.475] hyde_twi: rhyzHYPERBLANKIES
[49.677] 17hina5: あれ
[49.747] ペポーイ: らぶりーーーーーー
[49.886] mmpess: わ
[50.011] (S)ぽんちおさむ: こんばんは？
[50.112] aruha_0113: ぴろ？
[50.647] (S)wanko386810: きんぜうー！！！
[50.833] kimiko_tsuda: 聞こえてる
[50.962] nox__23: きたーーーー！！！！！待ってたよぴろき！！！
[51.082] (S)suzubba: ラブリーちゃんーーー
[51.226] (S)yuu_harugami: こんばんちゃー！
[51.331] みやぢと申します: やあひん
[51.441] tororo10666: え？
[51.783] じぇい君: こんきんじょーーー！
[51.920] (S)yukichitama: geroki1Dance2
[52.023] (S)alcyone_0w0: あれ
[52.234] (S)hihihi_usa: きんぜつ
[52.526] motomiyaaaa: ????????????
[52.859] nurusara: ばんちゃー
[53.029] (S)チズケキ: え
[53.216] いけちゃむ: らぶりーちゃーん！！！
[53.425] (S)mitsuki2525816: 真っ暗
[53.672] ガキの腰使いあらへんで: geroki1Yametene
[53.754] (S)おぎゃわん: マイク入ってるか？
[53.930] (S)かん69: 間違えてるの草
[54.028] (S)itsumiiiimario: itsumiiiimario subscribed at Tier 1. They've subscribed for 2 months, currently on a 1 month streak! ばんわー
[54.168] (S)cochan417: ツイキャス？
[54.261] サガットの卵: もうニヤけた？？
[54.340] minaminmin01: ひろき？
[54.394] こう123: え
[54.440] (S)まなみ_____: あれ？
[54.789] (S)yukinochan115: え？
[54.989] aruha_0113: やっほ！！
[54.999] rxrx2525: ツイキャス
[55.227] ぽぽたま: きんぜう！？！？！？！？！？！
[55.284] (S)zoba_57: ひん
[55.708] michiwwwwwwwww: あれ
[55.745] (S)yuu_harugami: え？なんだ？？
[55.989] (S)MYGRen_13: え
