[19.499] (S)こーたつ: いけます、ありがとうございます
[31.558] (S)るえん: gocchaKirakira
[32.304] なすび_55: 回線落ちらしい
[35.810] (S)dolphin_1_: もどった
[36.182] (S)ぷつん: おかえりー
[39.251] (S)よしぞえ: おかえりー
[41.227] なすび_55: きたー！
[43.551] AOi___12: おかえりー
[44.384] (S)hidarime003: おかえりなさい 
[44.627] 働くひよこ: おかえり
[47.592] (S)しゃくれ大先生: gocchaWakotu
[49.507] (S)あさ_0017_: オンラインになった！
[53.335] (S)tea_0on: 戻ったー
[54.222] (S)後ろ姿のあさり: おかえりなさい
[58.667] tm_171717: おかえりなさい
[60.520] (S)meiko_1327: おかえりなさい
[60.610] (S)xxxanxxx_: おかえり
[60.739] (S)ふにゅ: おかえりー
[60.763] kirito__8: おかえりなさい
[72.837] (S)biscuit_oliver10: おか
[77.495] 絶滅危惧種しろくま: おかー
[113.775] (S)るえん: gocchaGanbare
[124.568] ayano72o: gocchaGanbare
[136.090] (S)mi0_x: gocchaGanbare
[156.649] tm_171717: あ
[158.420] (S)ruuu_a: あ
[166.649] ひろゆき_深夜16分: えw
[167.940] (S)_ぴぴまる: あ
[168.187] (S)るえん: ネイルガンｗ
[169.040] (S)mi0_x: 😭
[174.154] AOi___12: どうしてw
[178.657] ランカさん: https://clips.twitch.tv/RealObedientSalsifyWTRuck-6qSjiCX6cIjriK8T
[198.300] (S)ruuu_a: www
[208.691] (S)るえん: ｗｗｗ
[210.139] (S)dolphin_1_: めっちゃなかいいｗｗｗ
[212.191] (S)あーさん__: 𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀
[214.262] (S)hidarime003: gocchaWww
[215.665] (S)_ぴぴまる: きつwww
[217.871] (S)りいちゃん8: ｗｗｗｗｗ
[226.171] (S)mi0_x: www
[236.066] (S)hidarime003: 飯ハードモードすぎる 
[251.373] ~MISSING_COMMENTER_INFO~: 朝から焼き鳥とかいう意味わからんことしてるのもおもろい
[293.878] (S)_ぴぴまる: ごっちゃんが焼き鳥家でやるしかないwww
[443.137] (S)atushi_227: 誰かに注射器頼むか！
[471.516] (S)まめ222: 全然減らね
[506.834] (S)hirata923: L96使ってみね？
[527.629] (S)るえん: ｗｗｗｗ
[603.638] (S)hidarime003: スコープサイト強すぎる
[682.987] (S)あーさん__: 𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀𝔀
[684.770] (S)hidarime003: gocchaWww
[688.935] (S)_ぴぴまる: wwwww
[789.673] (S)まめ222: もっとスコープ欲しいな
[870.186] ala2244: ⧹╲⎝⧹༼◕ ͜oﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞﱞ.◕ ༽⧸⎠╱
[897.771] (S)れいちゃん0053: がんばれ〜
[903.794] nezha_sao: 近づいて火力のごり押しのほうが効率いいかも
[909.510] (S)まめ222: ちょいたま落ちるね
[915.657] gayagaya: 別の射線はないんかな？
[988.687] (S)hirata923: ありけんの声がw
[1069.289] (S)るえん: gocchaGanbare
[1209.997] (S)るえん: ｗｗ
[1214.009] (S)ruuu_a: やばww
[1215.813] (S)meiko_1327: www
[1221.152] (S)浪漫プリン: 限界すぎるｗ
[1266.664] (S)kus0dang0: ん？
[1270.916] さかきん: あ
[1273.134] AOi___12: あれ
[1273.189] (S)りゅうとうだび: あ
[1275.969] (S)meiko_1327: あ
[1276.461] (S)ruuu_a: また
[1278.757] (S)seki_unn: 落ちた？
[1280.662] (S)Hiroki_gtr34: またかな
[1280.724] (S)xxxanxxx_: あ
[1285.365] (S)hirata923: また回線逝ったか
[1286.943] (S)あさ_0017_: また止まった
[1288.110] なすび_55: また回線落ちかな？
[1289.942] (S)るえん: あららら
[1291.075] (S)_れい__: GG
[1293.641] (S)れいちゃん0053: BibleThump
[1294.017] ka2umai: あ
[1302.031] (S)みすたぁ801: BibleThump
[1319.598] (S)yuzimorioka: 倒しきりたい
[1325.217] ~MISSING_COMMENTER_INFO~: あれ
[1331.047] (S)はづきちゃん: あらら
