[10.556] ほるす_: DinoDance
[11.891] (S)yuuuuka08: gocchaWakotu
[12.975] (S)ちぃ7777: gocchaWakotu
[12.981] (S)ありま001: gocchaWakotu
[13.619] (S)やこ_001: gocchaWakotu
[13.659] (S)まるゆう: gocchaWakotu
[14.283] (S)まちぬん: gocchaWakotu
[15.045] (S)かんてん12: gocchaWakotu
[15.274] (S)黒亜_: gocchaWakotu
[15.298] (S)けいこ0630: gocchaWakotu
[15.516] (S)りいちゃん8: gocchaWakotu
[15.768] (S)ﾐｸﾛ_: gocchaWakotu
[15.992] (S)みきちー: gocchaWakotu
[16.703] 水仙すいせん: わこつ！
[16.783] (S)檸檬ティー: gocchaWakotu
[17.617] (S)あくビ: gocchaWakotu
[17.657] (S)xxxanxxx_: gocchaWakotu
[17.767] (S)ゆな2028: gocchaWakotu
[18.971] (S)_ありゅ_: gocchaWakotu
[19.762] (S)にぽ: gocchaWakotu
[20.171] (S)たぁ_03: gocchaWakotu
[20.309] (S)颯椛: gocchaWakotu
[20.379] (S)わさび2525: gocchaWakotu
[21.250] (S)腹下すちゃん: gocchaWakotu
[21.468] (S)ゆず_131: gocchaWakotu
[21.507] (S)Caaarii_: gocchaWakotu
[21.534] (S)ゆるう: gocchaWakotu
[21.541] (S)mee_54: gocchaWakotu
[21.848] (S)あまがっぱ: gocchaWakotu
[22.119] (S)とも12: gocchaWakotu
[22.870] (S)50nana: gocchaWakotu
[23.168] (S)みすたぁ801: gocchaWakotu
[24.237] (S)ゆう_黒: gocchaWakotu
[24.451] (S)翔彩: gocchaWakotu
[24.474] (S)ゆきち178: gocchaWakotu
[24.529] イシュマウリ: gocchaWakotu
[25.463] (S)ずんずん322: gocchaWakotu
[26.127] (S)ちゃむのすけ: gocchaWakotu
[26.929] (S)まりんちゃま: gocchaWakotu
[26.992] (S)ゆきぃにゃん: gocchaWakotu
[27.097] (S)__ゆっちゃん__: gocchaWakotu
[29.019] (S)アイシュ: gocchaWakotu
[29.461] (S)さらやろう: gocchaWakotu
[30.098] rasu_18: gocchaWakotu
[31.956] (S)ふにゅ: gocchaWakotu
[32.237] (S)koto0710: gocchaWakotu
[33.400] (S)mofumofu_uchiko: gocchaWakotu
[33.564] (S)mi0_x: gocchaWakotu
[33.649] (S)かもめ0310: gocchaWakotu
[35.008] _ねねね_: gocchaWakotu
[35.091] (S)ドナ0: gocchaWakotu
[35.153] (S)のぞみ76824: gocchaWakotu
[35.693] (S)めるしぃ12: gocchaWakotu
[35.884] (S)にゃぴぴぴ: gocchaWakotu
[35.964] (S)社畜奴隷: gocchaWakotu
[36.232] (S)水都: gocchaWakotu
[36.794] (S)やまちゃん85: gocchaWakotu
[36.831] (S)らむらぶ238: gocchaWakotu
[36.856] 青井ナナ: こんばんは
[37.102] (S)るりゅ: gocchaWakotu
[37.337] (S)ひちゃそ: gocchaWakotu
[37.920] (S)ぽよりん: こんばんは 
[38.024] (S)てつこたつ: gocchaWakotu
[38.117] (S)とまだ: gocchaWakotu
[38.291] (S)ﾊﾑﾀﾛｻﾝ: gocchaWakotu
[38.569] (S)ねこにゃーー: gocchaWakotu
[39.388] (S)すてぃあむ: わこつです
[39.472] (S)ohagigi2: gocchaWakotu
[40.617] (S)ようこ1202: gocchaWakotu
[40.638] gorogoro_nyann: わこつ
[40.656] akiaki1109: gocchaWakotu
[42.197] (S)スカイボーイ: gocchaWakotu
[42.867] (S)すずの__: gocchaWakotu
[42.992] (S)神威ゆうな: gocchaWakotu
[44.064] (S)ユルカ: gocchaWakotu
[44.132] (S)y_u_m_i_77: gocchaWakotu
[44.990] (S)harumi0701: gocchaWakotu
[45.239] (S)無川來: gocchaWakotu
[45.429] (S)もみん: gocchaWakotu
[45.664] (S)もふ1110: gocchaWakotu
[45.858] (S)みっひー: gocchaWakotu
[46.348] (S)のぞみ76824: こんばんは！
[47.231] (S)うりのあ: gocchaWakotu
[47.342] (S)氷崎光輝_こうき_: gocchaWakotu
[47.492] (S)cheeese_3: gocchaWakotu
[47.667] (S)まるまるち: gocchaWakotu
[47.763] (S)今日はポカポカ: こんばんは
[48.308] やまく12: こんばんわ!!
[48.496] (S)シンノ: gocchaWakotu
[48.687] (S)ちゃこだよ: gocchaWakotu
[49.529] (S)はるはるあきあき: gocchaWakotu
[49.790] (S)sayumiffiy: gocchaWakotu
[50.023] (S)まりん_112: おはよー 
[50.294] (S)ishimiko22: gocchaWakotu
[50.333] (S)そるく: gocchaWakotu
[51.385] (S)いろは11: gocchaWakotu
[51.602] (S)tamagon216: gocchaWakotu
[52.661] (S)_そら_しろ_: gocchaWakotu
[53.328] (S)shimakox: gocchaWakotu
[53.699] (S)seri_alfort: gocchaWakotu
[54.005] (S)ke_rberos: おはよーーーー
[54.239] ひろゆき_深夜16分: ばんはーーー
[54.995] (S)らりれら: gocchaWakotu
[55.300] (S)ムムタソ: gocchaWakotu
[55.463] 年金200円: gocchaWakotu
[56.325] (S)アシメいぬ: gocchaWakotu
[58.489] (S)gardenia_1024: gocchaWakotu
[58.645] _ねねね_: こんばんは 
[58.723] (S)miketantan: gocchaWakotu
[58.892] (S)ラニノス: gocchaWakotu
[59.094] (S)さよ_0: gocchaWakotu
[59.952] (S)るえん: gocchaWakotu
[60.793] akiaki1109: おはよーございます 
[61.060] (S)ゲーデすぁん: gocchaWakotu
[61.275] (S)738yukapin: gocchaWakotu
[61.498] ekomaru_226: こんばんは！
[66.060] (S)_あずさ: gocchaWakotu
[66.538] (S)るえん: gocchaLove
[70.351] (S)chiaki0923: gocchaWakotu
[75.905] (S)nemuiyoru: gocchaWakotu
[77.574] _ねねね_: gocchaLove
[79.191] (S)きっこまん: gocchaWakotu
[81.035] (S)ruuu_a: gocchaWakotu
[81.759] みぃねこ: こんばんはぁ！配信感謝ですっ！
[85.804] (S)xxxpino: gocchaWakotu
[87.581] (S)なおみみ: gocchaWakotu
[98.872] akiaki1109: 今日も楽しんで 
[99.818] (S)kinakoooup: gocchaWakotu
[101.090] (S)まる08: gocchaWakotu
[104.370] (S)かりねこ: gocchaWakotu
[108.540] (S)miketantan: Cheer1000
[109.007] (S)ゆーにこ: gocchaWakotu
[111.778] (S)とびうお30匹: こんばんは
[114.506] (S)らむらぶ238: Cheer100 Cheer100 Cheer100 Cheer100 Cheer100
[114.549] (S)ぶぅです: gocchaWakotu
[120.271] (S)ちゅんんんん: gocchaWakotu
[122.042] (S)ゆきち178: ヤバいです
[122.153] (S)ぱぱらぱ00: そんなわきをみたいな…
[122.578] (S)ゆきぃにゃん: BibleThump
[122.954] (S)ろくきゅう: gocchaWakotu
[123.524] ダンボ_86: わこつ
[123.797] (S)るえん: gocchaZannnen
[123.845] akiaki1109: あらら 
[125.866] (S)みすたぁ801: わかる
[128.531] (S)氷崎光輝_こうき_: そうなんや
[131.973] (S)バナシ: gocchaWakotu
[132.190] (S)無川來: あと風もすごい〜
[134.231] (S)氷崎光輝_こうき_: 風はすごい
[134.732] (S)ゆきぃにゃん: 痛み止め飲んだ？ 
[134.938] (S)みゆ5252: gocchaWakotu
[137.637] うちのまめ: こんばんは
[139.519] (S)ももたらばがに: 黄砂で死にそう……
[139.765] (S)けいこ0630: 福岡は黄砂がやばい
[139.787] みぃねこ: 大変だぁ〜無理せず
[144.697] (S)ろこづ: gocchaWakotu
[145.713] ekomaru_226: お大事に
[148.062] (S)まりん_112: 低気圧つらいね 
[159.617] (S)える__2: gocchaWakotu
