[23.824] わらじは多い方がいい: 待ってた！！！！！！
[23.858] __たう__: gutituHi
[24.382] (S)さめざぁ: gutituHi
[24.408] (S)tirimen_41: gutituHigutituHi￼￼ 
[24.452] めしちゃ: gutituHi
[24.472] (S)おいるれもん: gutituHi
[24.472] zusanna298: gutituHi
[24.475] abokadoumauma: gutituHi
[24.478] mammal085: gutituHi
[24.721] yukasansan: gutituHi
[24.742] (S)karinnn_777: gutituHi
[24.776] riyo_san: gutituHi
[25.594] gomamame_03: gomamame_03 subscribed with Prime. They've subscribed for 24 months! 
[26.203] (S)concon0223: gutituHi
[26.239] akiyoshi_39: gutituHi
[26.429] milia001212: gutituHi
[26.432] kaminoyakan: gutituHi
[26.450] まよかた: gutituHi
[26.456] ゆずてぃー: gutituHi
[29.623] (S)いこまななち: gutituHi
[29.648] (S)yaya_09: gutituHi
[29.868] (S)malco_13: gutituHi
[29.929] (S)すうじー: gutituHi
[30.087] (S)anshin_onigiri: gutituHi
[30.101] fooler_7: gutituHi
[30.149] utsugi_sora: gutituHi
[30.153] kuroyasha0531: gutituHi
[30.154] (S)ゆいにゃん_: gutituHi
[30.585] (S)はなかん: gutituHi
[30.594] 濃香めろん: gutituHi
[30.623] (S)ちょこあーもんど: gutituHi
[30.686] 湊斗0230: gutituHi
[30.690] ama_07: gutituHi
[30.694] かげろう_: わーい
[30.696] (S)nonono7373: gutituHi
[30.696] みずはる: gutituHi
[30.700] ゆかりんりん: gutituHi
[30.791] o_ti_ba: gutituHi
[30.850] (S)tetora0727: gutituHi
[30.894] ささみ_0103: gutituHi
[30.938] rukakunm: gutituHi
[32.241] まりん마린: gutituHi
[32.303] hanana_122: gutituHi
[32.364] (S)ヤナです: gutituHi
[32.470] (S)いぬスキー: gutituHi
[32.505] (S)baronhaneko: gutituHi
[32.685] Late1120: gutituHi￼ 
[32.688] yukidaru__: gutituHi
[32.707] ほたてまーる: gutituHi
[32.718] rama029_: gutituHi
[32.900] シキトさん: gutituHi
[32.901] musipannn: gutituHi
[32.903] 冷や茶: わーい！RUSTだー！
[32.910] chin_ana: gutituHi
[33.146] (S)jiraco: gutituHi
[33.182] ヌン0318: gutituHi
[33.227] maran375: gutituHi
[33.234] (S)しらたまっちゃ: gutituHi
[33.422] ささみみさん: gutituHi
[33.457] うりちゃ: gutituHi
[33.459] ぱんだまる_: gutituHi
[33.471] (S)橘ひまり: gutituHi
[33.495] Blaze_25293: gutituHi
[33.777] 襟元: gutituHi
[33.778] ねこすけ25: gutituHi
[33.966] ラムキック: gutituHi
[33.967] はぎみつ: はーい！
[33.995] (S)hirou0p0: gutituHi
[34.047] ナリー19: gutituHi
[34.051] 赤佐田ナハマン: gutituHi
[34.079] かおどん: gutituHi
[34.149] shuriii0110: gutituHi
[34.236] kegkke: gutituHi
[34.427] (S)まこト: gutituHi
[34.592] __たう__: おはよう
[34.610] 梨一: おはよ
[34.632] けんん1203: gutituHi
[34.663] (S)しゃこくん: gutituHi
[34.708] taiga10006: gutituHi
[34.877] eiei_ooo: 待ってた
[34.894] (S)瑠雪: gutituHi
[35.294] (S)hishaku_o0: gutituHi
[35.400] うわぁぁぁぁぁぁ: gutituHi
[35.468] (S)ゆいにゃん_: gutituHi
[35.510] sc_kgrb: gutituHi
[35.534] (S)shishamo____: gutituHi
[35.586] 愚策: gutituHi
[35.601] komaru8825: やったぁーー 
[35.857] kamonohashihamigi: おはよう
