[3.011] (S)やまいぬどっぐ: きちゃーー
[13.965] (S)krg_qi: きたー！！！！！
[14.835] (S)火陸: hiirag17Boss
[15.952] (S)yanomatelia623: きたあああああああ
[19.535] (S)ふぁっふぁ: hiirag17Boss
[23.890] (S)satamaru1229: satamaru1229 subscribed with Prime. They've subscribed for 5 months, currently on a 5 month streak! まってたぞ
[26.587] (S)ruler_0906: きちゃ
[27.552] (S)_おかき_: こんー
[28.782] (S)na_na_na27: こんばんはー
[28.985] (S)reruru8: hiirag17Boss
[29.009] (S)odajyu: こん
[29.400] okura_18: PopNemo
[29.420] (S)konpota2051: hiirag17Boss
[29.630] (S)yuinfj: こんー
[29.779] (S)gilebish: きたあああああ
[29.993] (S)芋麦米: hiirag17Boss
[30.091] (S)コッテリア: にょっす
[30.095] (S)kuri0099: hiirag17Boss
[30.231] (S)naanana__2: きちゃ
[30.493] (S)servath98: きたー
[31.107] 元気いっぱい太郎: きたーーー！
[31.116] (S)エメラルドスプラッシュ: 早番うおおおおおおおおおおお
[31.320] hitu_non: こん！
[31.328] karina081010: どもー
[31.344] (S)kuri_47: hiirag17Boss
[31.360] (S)きんもくせいさん: こん
[31.499] (S)スイリ: hiirag17Boss
[31.549] banananokobun: こん
[32.325] (S)モルフィン: モルフィン subscribed with Prime. They've subscribed for 4 months! 
[32.439] (S)kin_122011: は、はやい
[32.457] (S)minttablet7: こんちゃーー！！！！
[32.466] (S)ううな: きたきたー！
[32.535] (S)sukomiso: きちゃあ
[32.662] (S)katsu_yu: こんちゃ！！！
[33.206] (S)おちぇんだよ: うぃー
[33.268] (S)歴戦のゴリラ: hiirag17Boss
[33.601] (S)purupote: hiirag17Boss
[33.738] (S)ruga02: きたああああ
[33.770] (S)gilebish: にょっす
[33.812] (S)todayone_: こん
[33.822] (S)na_na_na27: 配信嬉しい
[33.851] ryotakun0201: !ala
[33.914] ~MISSING_COMMENTER_INFO~: きちゃー
[33.926] (S)coral_leaff: hiirag17Boss
[33.939] (S)minminmint0: こん
[34.239] (S)Lua_o_o: hiirag17Boss
[34.370] (S)イェソジン: イェソジン subscribed with Prime. They've subscribed for 2 months! 
[34.537] hiragi2: PopNemo
[34.540] (S)みや5123: ありがとうなあ〜！！！！
[34.939] (S)omarukun_96: hiirag17Boss
[34.995] salt_nendo: !ara
[35.091] (M)Nightbot: 【あらすじ】ロケランを構えながら起床→葵井優に1億の車を購入してもらう→焦村家開店→華憐.華月.碇イチカの仕事に着いていく→店に戻り来店捌く→エスタークの被害者元難波を呼び話を聞く→ぜにーた来店.ヴァン爺チャレ失敗→ラルからカジノで稼いでる話を聞く→カイキ来店.ヴァン爺チャレ失敗→ラルに10億の車を購入してもらう→平井と雑談仕込み→大川に麻雀誘われ平井と向かう→一通り楽しんだ後カクから電話が来て昨日の飲食店会長の話をされる
[35.188] (S)aina040_: きちゃぁーーー！！
[35.236] (S)ぱりぴーす: hiirag17Boss
[35.256] (S)わいへいち: こんちゃ
[35.295] (S)ymk_346: きちゃーーー！！！
[35.391] (S)nekuran2: やぁ
[35.590] おこんなっつ: こんー
[35.609] (S)kou_0507: おいすー
[35.796] (S)yoko881: hiirag17Boss
[35.806] (S)~MISSING_COMMENTER_INFO~: やほーーーい！
[35.821] yui20091117: やたー！！
[36.396] (S)mybad_des: きたー！
[36.502] (S)na_na_na27: hiirag17Boss
[36.525] yuu3392: きたぁ！
[36.545] (S)nekone12345: こん
[36.644] (S)chan_nemu: まってた！！！
[36.711] (S)yu10km: yu10km subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[36.831] nya__x0: こん！
[36.935] (S)awaif: こん〜
[37.131] (S)じゃすみん88: hiirag17Boss
[37.234] (S)hikarinpochaaa: こん！！！
[37.352] (S)asagi_9999: hiirag17Boss
[37.409] (S)eleftheria1023: hiirag17Boss
[37.512] (S)とりめか: こん
[37.515] (S)saru3618: きちゃーー」
[37.581] (S)ToRiiiNKa_piiip: hiirag17Boss
[37.882] (S)ちゃっしゅう: やあ
[37.905] (S)01aiueo: 待ってました！！！
[38.080] (S)uciyam: 性獣おはよう
[38.098] suki_tang: おいす
[38.547] wtf_haruka: こんー
[38.615] (S)cucarka: hiirag17Boss
[38.641] (S)the_goku_sf: hiirag17Boss
[38.760] (S)dra5n: hiirag17Boss
[38.831] (S)馬刺しに藻: hiirag17Boss
[38.904] (S)詠唱王: にょぉぉぉぉぉ
[39.024] (S)usamis: VoHiYo
[39.074] (S)akashiyki: きちゃ〜！
[39.228] (S)nukirito283: hiirag17Boss
[39.232] (S)memo_036: ツルギ〜〜〜！！！
[39.341] (S)shi_zoo_: hiirag17Boss
[39.435] (S)トリアキ: hiirag17Boss
[39.733] (S)agovin: hiirag17Boss
[39.898] Kakunoshin: こんばんはー
[40.562] (S)yamasan0125: hiirag17Boss
[40.563] (S)taiyo0_7: taiyo0_7 subscribed at Tier 1. They've subscribed for 2 months! 
[40.706] (S)yuyu_s: こんー
[40.742] (S)retyuuingum: hiirag17Nice
[40.784] (S)tune_4327: にょっす
[40.980] (S)コラソン3: コラソン3 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[41.139] (S)ニャンニャンこ: hiirag17Boss
[41.616] yuu3392: あっつ
[42.276] (S)のーるん: hiirag17Boss
[42.284] (S)左久良深琴: きちゃ！(´｡✪ω✪｡ ` )
[42.329] akoghid: きった
[42.441] (S)ryokitarou: kon
[42.483] (S)kasi_newera: hiirag17Boss
[42.694] (S)イケテル: こんばんは!
[42.744] (S)ssssrl: GlitchCat
[42.755] (S)u_u37: こん 
[42.910] (S)moepipipi215: hiirag17Boss
[43.125] (S)虫食い: にょっすにょっす 
[43.446] (S)ycmh123456: き、きた
[43.542] (S)yu10km: hiirag17Boss
[43.735] (S)pyonchan_: hiirag17Boss
[43.768] daiko2226: fantas22Yamucha
[43.820] (S)rikohope: hiirag17Boss
[43.994] (S)ryo_8697: hiirag17Nice
[44.195] (S)miyabilx: やぁ
[44.498] (S)yu_ki081: hiirag17Boss
[44.669] (S)ううな: hiirag17Boss
[44.800] kawadako: にょす
[45.141] (S)コッテリア: hiirag17Bbb
[45.782] (S)anna__08_05: hiirag17Boss
[45.813] (S)ufxnfy: こんちゃー
[46.013] (S)taiyo0_7: hiirag17Boss
[46.424] (S)pariri622: わーーい！
[46.570] (S)kuri_47: やあ
[46.628] (S)coral_leaff: やぁ、久しいね
[46.630] (S)canny_0617: ちゃす
[47.334] ajzuki: にょにょ
[47.338] お松156: おはよー！
[47.420] (S)とりめか: hiirag17Boss
[47.551] natsuk126: うい
[47.618] (S)maro001030: hiirag17Boss
