[4.305] (S)やまいぬどっぐ: きたーー
[7.665] mahironian: DinoDance
[19.647] (S)トリアキ: hiirag17Boss
[27.542] (S)オッチャン55: hiirag17Boss
[27.604] (S)ruler_0906: きち「
[28.083] (S)あるぼい: きたあ
[28.186] (S)yoko881: hiirag17Boss
[29.207] (S)芋麦米: hiirag17Boss
[29.853] (S)tomouoo: うおおおおおい
[30.688] (S)torukinn: shakaWin
[30.884] (S)Haru_Hanami: こんばんは〜
[30.980] (S)11ssspm0: きた！
[31.014] (S)Muuu0u0: やほ
[31.428] (S)reruru8: hiirag17Boss
[31.434] くもちゃん1: こんばんは
[31.577] okura_18: BloodTrail
[31.711] るるかです: きたよー
[31.726] 真面目なあっくん: DinoDance
[32.159] (S)motiizu: きたああああ
[32.418] (S)yamadasanchi: hiirag17Boss
[32.516] banananokobun: こん
[32.632] (S)rybjag: hiirag17Boss
[32.673] (S)bite_m_: きたあああああ
[32.828] (S)sa_sya1: hiirag17Fight
[33.021] (S)aixxx35: こん〜！
[33.561] (S)konishi625: hiirag17Boss
[33.620] tenmankougi: きちゃー
[33.994] (S)krg_qi: きた！！こんー！！
[34.115] (S)ゅたこ: ゅたこ subscribed at Tier 1. They've subscribed for 2 months! 
[34.217] (S)naanana__2: hiirag17Boss
[34.355] ~MISSING_COMMENTER_INFO~: きちゃあああああ
[34.576] (S)manowa_1: こんばんわ！
[34.685] (S)misanga22: こん
[35.078] (S)くれないきつね: うおおおお！
[35.171] (S)ワタルさん: hiirag17Fight
[35.183] juju_ntg: うい
[35.329] (S)189go: こんちゃー！
[35.763] (S)ノビーティー: おっす
[35.914] (S)motiizu: がんばれー！
[35.947] (S)siretoko6688: hiirag17Boss
[35.957] (S)saesae321: こくー
[35.964] (S)08ryyyyy: hiirag17Boss
[36.149] (S)chokochip1: chokochip1 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! にょっす🐮🖐️
[36.235] (S)udonprin: きたあああああああああああぁぁぁ
[36.286] (S)トメィト: hiirag17Boss
[36.290] (S)hayatekawayu: にょっす
[36.299] (S)tack_chika: おはようございます
[36.762] (S)pariri622: きちゃ
[37.064] (S)Lua_o_o: スト６！！
[37.240] (S)ゆずレモン3: こん！
[37.269] (S)ニャンニャンこ: hiirag17Boss
