[18.594] mrch3cooh: わこつる
[26.190] (S)ruler_0906: ありがとーー
[27.980] (S)nongor0: こん！
[28.147] 咲良綾乃: こんばんはー！
[28.484] (S)me_me_____: わお
[28.714] (S)naanana__2: こんー！
[29.014] (S)189go: おおー！
[29.531] jajpakad: こん
[29.765] (S)katsu_yu: こんちゃ！
[30.024] (S)umami12: ういー
[30.263] (S)laststraw_ak: valoうおおおお
[30.586] (S)yamadasanchi: hiirag17Bbb
[30.881] flufmmr: こん
[31.124] ぱぴこごはん: やあ
[31.501] (S)つなうみ: hiirag17Www
[31.697] (S)roytarou: こんー！！！
[31.813] (S)tyura715: いえーい！
[32.174] (S)08ryyyyy: う 
[32.307] (S)nnnnannnn: こんばんは
[32.325] (S)sonae_guy: うひょー
[32.546] susunonichijo: こん
[32.742] wtf_haruka: こんつるーー
[32.756] (S)クキ91: いぇーーい！！
[32.814] (S)ナズナ_: こん
[32.966] (S)odekocyan: TwitchConHYPE
[33.232] (S)くれないきつね: まじか
[33.614] (S)yuyu_s: こん
[33.838] (S)mmaikool: やったー！！！
[34.036] (S)jyaromen: こん
[34.044] (S)u_u37: こん！
[34.093] (S)Haru_Hanami: こんばんは〜
[34.494] (S)purupote: こんばんは
[34.545] (S)magmagmaaag: こんー！
[34.708] (S)おすしうにちゃん: きちゃー！
[34.710] (S)mybad_des: きたー！！！
[34.722] (S)chokochip1: 配信神
[34.780] (S)はちみつ832: こん
[34.960] (S)minminmint0: 神かよ
[34.970] magyuoi: きた
[35.027] (S)canny_0617: こんばんはー！！
[35.146] ran_prisoner: きちゃあ
[35.217] (S)grampa029: hiirag17Bbb
[35.436] (S)zatogura: 来たー
[35.577] (S)omarukun_96: こん
[35.636] (S)うかちゃ: VALOー！！！！
[35.901] (S)mokumoku1215: きたぁぁぁあ！
[36.111] akarin__n: こんー！
[36.116] (S)milucope: こんつるー！
[36.234] (S)manowa_1: こんばんわ！！！！
[36.381] (S)yaginuma_kamo: やほー
[36.421] (S)me_me_____: 欲張りセット！？
[36.594] (S)hotatechang55: 最高かよ
[36.749] ひじき大好きマン: TwitchConHYPE
[37.191] (S)ニャンニャンこ: hiirag17Bbb
[37.435] (S)sazana_mi: こん
[37.690] (S)nnshrk: こんばんはー！
[37.741] (S)ri0tqn: にょっす
[38.237] lfkjz: こんー！！
[38.508] (S)ぽぽん10: ぽぽん10 subscribed with Prime. They've subscribed for 3 months, currently on a 3 month streak! 
[38.544] trap_nest00: こんばんは！！
[38.583] (S)イヌマツ: きちゃー！！
[38.828] (S)bubu_0830: ツルギいいいいいい
[39.127] (S)妙に足が速い鳥: こんばんは！🌛
[39.239] (S)usaharasyu: めずらし
[39.259] wtf_haruka: ういーーす
[39.281] (S)gilebish: 珍しいｗｗｗ
[39.396] ~MISSING_COMMENTER_INFO~: ヴァロきちゃー
[39.912] (S)fig_0106: ヴァロうれしい！！
[40.089] (S)murase32: hiirag17Bbb
[40.247] (S)yuikodak: hiirag17Nice
[40.951] (S)mybad_des: hiirag17Bbb
[41.114] maruuuuu926: おいす～
[41.705] (S)min__109: こんー
[42.397] siro7117: こんばんー！
[42.446] (S)nairon66: hiirag17Www
[42.641] (S)chinogorou: 今日あるんかーーーーい！！
[42.649] (S)minminmint0: きちゃあああああああ
[42.713] (S)gyunyuma: 月曜きた！！！
[42.816] Ai__pupurin: こん
[42.952] (S)mint_chipss: こんばんは
[43.020] (S)upajirou_yo: ちわーす
[43.088] (S)kin_122011: ちょうど切り抜き見始めた所
