[7.729] (S)つなうみ: hiirag17Www
[14.661] (S)llrurulo: hiirag17Bbb
[32.202] (S)Tuna_Ao_Null: お
[36.305] (S)yusamin777: hiirag17Bbb
[38.399] (S)shamoiumai: hiirag17Nice
[39.284] (S)pariri622: え
[39.904] fumi381: GoldPLZ
[42.663] (S)shamoiumai: hiirag17Fight
[43.389] (S)カフェランベルセ: あるんかーい！
[45.602] (S)nasp0n: リアルバニーガーデンはここですか？
[49.180] (S)えぴのすけ: わお
[51.292] (S)shamoiumai: 配信うれしい
[52.748] (S)maguroxunzi: お？
[57.242] (S)カニカマレタス: おおお
[58.820] (S)ぴっぴだよ: きたあああ
[62.086] (S)yuzuhana_: おおおおお
[71.879] (S)nongor0: おおお
[73.867] (S)riahxk: brooks25FloppaHeart
[78.797] (S)パンゾウ: hiirag17Bbb
[79.081] (S)geroreen: やったああああ
[81.096] (S)mer0_o8: HeyGuys
[81.620] fuu5353: おおお！！！
[86.583] (S)ri0tqn: hiirag17Nice
[91.347] (S)rururu2054: きちゃあああああああ
[101.658] maaaa1111: LuvBlondeR
[103.043] (S)hoppe__3: (˶ˊᵕˋ˵)うれし
[109.082] (S)mmaikool: わぁ
[111.996] (S)v1ster1a: gtaまじか！
[113.716] (S)aoishu_: hiirag17Bbb
[116.407] tsuyosugite_xiexie: やあ
[116.416] (S)mmaikool: あるんや！
[121.323] (S)tatunosinnda: hiirag17Nice
[122.213] (S)noin2277: hiirag17Bbb
[124.291] kaibune: おおおお！！！
[125.191] (S)v1ster1a: TwitchConHYPE
[128.883] (S)コウ505050: 2回行動かんしゃ！
[130.183] (S)96marusan: すと6きたーーーー
[135.604] (S)ryo_8697: hiirag17Nice
[148.650] (S)rururu2054: 走り込みはツルギが1番
[150.539] (S)96marusan: hiirag17Nice
[151.190] masayuki105410: HeyGuys
[155.284] (S)rrluti: きたあああああ
[156.982] (S)uesgi_san: やったあああ
[160.943] (S)manowa_1: hiirag17Bbb
[162.187] Yattin_z: つるちゃん！
[165.399] (S)sto57: FOOOOOOOOOO
[171.618] (S)はちみつ832: FOOOOOOOOOOOOOOOO
[172.531] (S)yaginuma_kamo: まじか
[172.731] (S)bite_m_: うおおおおおお！！！
[172.902] fuu5353: やったー！！！
[173.887] (S)ニャンニャンこ: hiirag17Bbb
[174.541] (S)189go: ！！！！
[176.684] (S)ポン酢1010: きたー！
[177.071] (S)aixxx35: やった〜！！！
[177.079] (S)りつそら: おおおお！！
[177.276] (S)むてきまる: hiirag17Bbb
[177.315] (S)mint_chipss: おお
[177.671] (S)krg_qi: まじか！！！！！
[177.741] (S)konishi625: やってくれるのか！
[179.093] (S)maytuchen: ありがとう‼︎
[179.304] yuuuu1557: ないかと思ってた！
[179.603] (S)gadro_: hiirag17Fight
[179.823] tairu167: あざますーーーー
[179.824] (S)minamiarupusu550: やったー！
[179.831] (S)クキ91: ありがてええーーー
[180.040] (S)usaharasyu: hiirag17Fight
[180.663] (S)oiccc: 珍しい二回行動だw
[181.276] (S)umami12: なーいす
[181.301] (S)わいへいち: こんちゃ
[182.008] (S)すいり1: hiirag17Nice
[183.441] (S)nnnnannnn: 2枠目きちゃー
[183.720] (S)memo_036: hiirag17Bbb
[183.866] (S)aixxx35: あると思ってなかったw
[184.637] (S)bite_m_: スト6きちゃ
[184.848] (S)_にいさん: やたーー！！
[185.080] (S)パックンチョム: あるんかい
[185.304] (S)nekuran2: まじか
[185.546] (S)6x_hpt: アツゥ
[185.777] (S)はくまい41: あるのー!
[186.009] (S)marui_ao: わーい
[186.657] (S)nogorou1011: hiirag17Bbb
[188.017] チェンー: おおおおおおおおおい！
[188.848] (S)samuclown1027: マジで嬉しい 
[188.916] (S)tsura_nimu: 嬉しすぎるぞ！！！！
[189.226] (S)sakisaki_na: まじか！！！ありがとう！！
[190.114] (S)honokagggg: 助かる
[191.161] (S)jin_gai: やったー！！
[191.272] (S)kingyo122: おー
[191.357] dadadasss568: や、やれんの？
[191.413] (S)hinasuke646: うれしい
[191.492] (S)mairudo74: 寝るのかと思ってた。
[191.693] (S)mybad_des: ま、まじかー
[192.200] (S)ポン酢1010: 絶対寝ると思ってた
[192.386] (S)taka1010: ありがとうーー
[193.101] (S)poyo02120: 2回行動！？？？！
[193.652] (S)tuuutakaa: あるんかい
[194.260] gjdet: マスター耐久
[195.356] (S)クキ91: いえーーーい
[195.612] (S)marui_ao: しゃあ
[196.651] (S)tetedayo_: きたー！
[196.739] (S)むてきまる: 久々の二回行動激熱
[196.994] (S)aixxx35: バニーガーデンより見たいぞ
[197.922] (S)kasu8o8: PopNemo
[197.934] (S)tune_4327: わかってたよツルギ俺はね
[198.548] (S)konishi625: ありがとう
[198.684] (S)oiccc: 寝ると思ってたm
[201.782] (S)laststraw_ak: まじ
[202.475] (S)mybad_des: さいこうないす
[203.110] (S)marui_ao: ありがとねー
[203.981] (S)かみんちゅう: っしゃー 
[204.884] (S)96marusan: だいや2はいくぞ！
[205.180] (S)ツルツルギ: きちゃあああ
[206.225] (S)popopo_niinoo: おー！！ありがとー！
[206.720] (S)妙に足が速い鳥: おー！スト6！
[212.523] (S)memo_036: ありがとうー！
[213.901] (S)zenith_ar: hiirag17Bbb
[215.274] 321oh: hiirag17Fight
[215.866] (S)fmcgj: おい最高や
[217.825] (S)yuyu_s: 感謝
[218.267] (S)aixxx35: 配信外でスト6でもして寝るのかと
[218.295] (S)きゅくま: うおおおおおおおおおおおおおお
[219.085] (S)marui_ao: いったれー
[219.093] (S)nongor0: いいねえ！
[220.288] (S)003boy: うおおおお
[220.415] (S)ポン酢1010: マスター！！？？いこう
[221.163] (S)cucumber_q3: 寝たかとおもた
[221.404] (S)usaharasyu: 今日もストグラは修行から？
[221.499] パンしゃん8: うおー
[224.715] retasu_jiro_: しゃーーーー
[224.895] (S)yukimaru0609: いこうぜー
[224.971] (S)gyunyuma: お
[227.347] (S)とっぷっぷ: つけっぱなしで別タブ開いてたからクソビビった
[227.436] (S)honokagggg: マスターいってくれ
[228.806] (S)gyunyuma: いけいけー
[228.913] (S)yu__key: たのしみー！
[229.005] luker_luki: ありがとう！
[229.571] (S)かみんちゅう: いこやいこや
[231.888] (S)awaif: おー！
[232.108] tairu167: いこやーぁ
[233.096] (S)bite_m_: やろや
[234.169] (S)みじんコ: やろや
[234.825] gjdet: 今日でマスター
[235.062] (S)marui_ao: hiirag17Fight
[236.180] (S)aixxx35: いけそう
[236.497] (S)08ryyyyy: ありがとねぇ！！！！！
[236.715] (S)samuclown1027: hiirag17Fight
[237.296] (S)クキ91: たのしみだ
[244.146] (S)gyunyuma: 配信ありがとう
[244.193] (S)むてきまる: マスター到達したらマジでマルギやん
[244.672] (S)samuclown1027: いけそう
[244.897] (S)ゆずレモン3: 2回行動まじか
[245.093] (S)08ryyyyy: 俺は嬉しいよ
[247.692] (S)tyura715: マスターツルギみたーい！
[248.247] (S)くまマリー: PokPikachu
[250.129] mebiusop: 喉結構戻って来たか？
[250.178] (S)96marusan: ガチでいけるぞ
[251.262] (S)aixxx35: えら
[251.537] fuu5353: おおお！
[251.847] (S)marui_ao: おー
[252.073] (S)nekuran2: いいね
[252.265] (S)クキ91: 座学ないす
[252.580] (S)tsura_nimu: いいねえ！！！
[254.413] (S)gyunyuma: お
[254.486] (S)ポン酢1010: hiirag17Nice
[254.830] (S)08ryyyyy: えら
[256.742] (S)cucumber_q3: いいね
[256.756] (S)siomm_: えら
[256.868] (S)usaharasyu: JPは？
[258.252] (S)applleeeeeem: 嬉しすぎる
[258.801] (S)みじんコ: いいね
[266.301] (S)marui_ao: いいやん
[267.365] (S)fig_0106: スト6あつ
[275.715] (S)pero0420: がんばれー
[280.745] (S)rrluti: コンボも覚える予定なし？
[284.963] (S)gyunyuma: スト6まじでありがたい
[291.547] (S)aixxx35: 一歩ずつね
[295.329] bottieee: いいねえ
[298.903] おこんなっつ: マジで配信ありがとう😭
[302.092] (S)pero0420: ツルギが勝ち越したらマクド買ってくる
[302.984] (S)ggnicefight117: げんきだね
[305.876] (S)usaharasyu: 緑道着やめたの？
[321.364] (S)nnn1007: やったー！
[323.142] shimon_ragan: こくは捨てべ
[325.757] (S)くれないきつね: おぉ！枠あった！
[340.890] (S)ranran013: にょっ
[347.784] (S)narumi2424: ダイヤ2いこうぜ
[350.618] bottieee: 練度上げてたいな
[356.464] (S)henyotto3: 配信ありがてぇ
[360.418] (S)針山ぽてこ: hiirag17Fight
[363.143] (S)はちみつ832: 弱おすだけだよい
[370.249] (S)ShuNsssNuhS: 弱でキャンセルできるぞ
[387.433] (S)ranran013: おおーー
[391.898] アルミナ_積みゲー消化: こくがよくやってるやつや
[393.771] (S)narumi2424: こ、こくがくるぞぉぉ
