[14.132] (S)mer0_o8: HeyGuys
[15.808] (S)sho637: こん
[17.667] (S)yutadddd: SeemsGood
[19.624] (S)芋麦米: hiirag17Bbb
[19.754] (S)DAyTrece: hiirag17Bbb
[22.963] (S)gyunyuma: こんちゃ
[23.316] (S)agakakanaina: hiirag17Bbb
[23.683] (S)きのころ: にょっす
[23.807] (S)丘乃: こん
[24.579] (S)うみゅねむ: ういー
[25.192] (S)fuu5353: こんばんはー！
[26.857] (S)ニャンニャンこ: ういい
[26.866] dadadasss568: やぁ
[26.971] (S)naanana__2: こんーー
[26.975] nongor0: こん！
[27.054] (S)u_u37: こん
[27.384] (S)nekone12345: きたー！
[27.384] (S)トメィト: hiirag17Bbb
[27.895] tairu167: きたーー
[27.915] (S)manowa_1: こんばんわ！！
[28.650] (S)b1______: hiirag17Nice
[28.757] (S)keitta0218: がんばあ
[29.753] annnnna61: きちゃ
[30.397] (S)maple_0217: hiirag17Bbb
[31.138] (S)hizazika: こん
[31.253] (S)purupote: こんばんは
[31.384] (S)canny_0617: こんばんはー！
[31.588] (S)mybad_des: まってましたー
[31.607] kein_morte: 頑張れ！
[31.895] (S)hiyoko217: こんー！
[32.553] (S)konishi625: きたー
[32.585] (S)kasteera: こんー
[32.823] (S)pabyun: きちゃー
[33.034] (S)umami12: ういー
[33.244] (S)nanadesuyo: こん
[33.945] (S)ぱぴこごはん: やほー！
[34.001] (S)しなこ072: hiirag17Nice
[34.156] (S)moteamotea: うぃー！、
[34.836] (S)ufxnfy: hiirag17Fight
[34.914] (S)mitametako: きちゃー
[35.365] (S)くれないきつね: お
[35.773] (S)suisui_pp: こんー！
[36.792] wtf_haruka: こんばんわ
[36.993] (S)z1gzagb: こんばんは
[37.182] (S)左久良深琴: ٩(ˊᗜˋ*)وうぇーい♬︎♡
[37.914] (S)sakisaki_na: まってたー！
[38.839] (S)redrumS21: おつー
[39.518] (S)anyotan: こん
[40.299] (S)semi_091_: こんばんはー！！！
[40.482] (S)sa_sya1: きたー
[40.503] (S)みゆ7: がんばれー
[40.660] (S)rrluti: ｗｗｗｗｗｗ
[40.762] (S)ai_xxx_: こんばんはー
[40.917] (S)natsuk126: hiirag17Fight
[42.052] (S)ishimiko22: こん〜 
[42.125] (S)odajyu: こん
[42.365] (S)ゆーちゃん88: こんーがんばれ
[42.494] (S)るぁ__: こんにちゃ！
[42.559] (S)awaif: こん〜
