[28.535] acis3983: ちゃす
[31.102] towasan228: こんばんはー
[54.355] (S)美濃屋善兵衛: お疲れ様です タイトル凄い事になってません？
[55.222] mahiqq: valorantで草
[58.166] レガシィ: valo…
[58.259] (S)ekiben_taro: cagdogBugi
[58.372] (S)keivitz0253: keivitz0253 subscribed at Tier 1. They've subscribed for 10 months! こんばんはーお疲れ様です！
[59.082] ちぇなたん: スト6なのかラストなのかヴァロなのか
[60.933] サケ缶: スト6かrustそしてタグはヴァロラント
[62.922] mr0924255: VALORANT！？
[83.700] (S)美濃屋善兵衛: ほんひまさんお気に入り
[84.828] (S)ekiben_taro: 明日もスト6イベントあるんすね
[85.264] (S)たいやきまみれ: たいやきまみれ subscribed with Prime. 
[99.687] shi_a__: こんばんはー
[105.973] いわたん_: はい、おはよ
[110.456] (S)鉄板: こんばんは
[117.462] ろくりす: ヴァロラント草
[182.830] (M)墾田永年私財砲: 4/20 18:00～『WCG CHALLENGE JAPAN』チームおにやの一員としてどぐらが出場します  https://x.com/WCG_Contents/status/1781218728677630121
[183.545] river_ange: アビゲイルってもしかしてMないのか
[194.587] (S)やぎう氏: どこいくねーん
[195.833] (S)青木は: こんばんは〜
[205.689] ささみ橋: ささみ橋 subscribed at Tier 1. They've subscribed for 22 months, currently on a 22 month streak! 
[227.266] acty657: どぐらさんの動画とかで学んだおかげでMR1800行きました！ありがとうございました！1800以上はキャラ対とか詰めるのが主になりますか？
[229.668] (S)amakusa_akaikitune: いないしでない
[232.804] river_ange: ハッ
[233.430] きゃすさん: いやいや、EVOJでアビゲイル発表ありますからｗ
[235.900] damuino_mark2: こんどぐ
[252.815] レガシィ: ディゲンヌ出たら使う？
[275.151] (S)美濃屋善兵衛: アビゲイル嬉しいか？
[275.381] acis012: アッビゲーイルwwww
[282.142] juno0220: アイムレディ…
[289.677] モリケイ: ディゲンヌ is 何？w
[298.228] ささみ橋: アレクの幻覚、アビゲイルの幻覚 様々な幻覚を見ている人がいる
[301.593] (S)やぎう氏: ほぐれてきたぜ
[306.681] (S)鉄板: ほぐれてきたぜ
[314.366] ささみ橋: cagdogDig
[362.162] (S)田中脊髄剣田中: cagdogDig
[370.514] (S)青木は: cagdogDig
[379.469] ろくりす: アレク発表したら盛り上がるやろなあ……
[381.262] juno0220: アレク来たらSF5魂キャラアレックス編やるか
[395.538] モリケイ: 誰が喜ぶねんw
[405.919] (S)やぎう氏: (一部界隈のみ)
[406.126] きょー_1213: 普通にこないで欲しい
[406.338] (S)ekiben_taro: うーん……
[407.198] kyabejin0901: ワーオ ワーオ
[409.210] (S)鉄板: 俺らは喜ぶんじゃない？
[418.132] river_ange: めちゃくちゃ来て欲しい
[418.351] しぼみ: こんちゃす
[418.354] レガシィ: アレクは主人公の一人やぞ！
[423.902] juno0220: ﾌﾙﾊﾟｩﾜ!ｳｩｰﾜ!!!
[425.547] acis012: コラボキャラ参戦
