[44.677] umehara_sinja: きたあああ
[47.742] juno0220: ウォーッチッチッチッチ
[61.259] (S)ぶれお: 個人配信でもやってくれるんか
[75.434] buryuringo: うおおおおおおお
[77.762] エスジーケーエスシュー: こんにちは
[88.130] yakisobadaisuki: 配信タイトルが前回配信のになってる気が？
[91.466] pandaman7326: たのしみ
[107.809] shi_a__: こんにちはー、こっちも枠開けるんだ
[128.629] margarita_217: どぐらさん結局どこまで勝ち上がったんだろう
[149.682] matusge: 何時からだろ
[200.271] yakisobadaisuki: エドはタチの17位が最高位だったんかな
[219.932] (M)墾田永年私財砲: 公式の方で変えてもらえるのかもしれないけどとりあえずタイトルそれっぽくしといた
[250.483] yakisobadaisuki: タイトル修正うおおお
[254.131] 三パチ: 予定では12時からやね。
[262.148] 三パチ: スト6は6時から
[283.305] yakisobadaisuki: どぐにゃん今日のゲーム全部ちゃんと解説できるから相当良いよね
[308.053] パンクラトプス: 生駒 ウォチパ デビル
[315.090] margarita_217: 3rdは昨日で終わったんだっけ？
[323.452] echidna2031: おはざす
[325.072] エスジーケーエスシュー: おもろいめんつやなあ
[325.506] nyancoromochi: よっしゃー
[331.038] shi_a__: おはざーす
[336.525] (S)たきこみ: なるちゃんevoスカジャンじゃん いいなー
[338.423] tobias0930: ゆるりと
[340.797] niwakanoppo187: お、なるおセクハラBAN頼むぞ
[342.235] (S)ぶれお: ゆるい
[346.869] (S)13Nemesis: あらー個人のほうもやってくれるのか
[358.159] tosihumi777: もっちーさん勝ったら嬉しいなー
[364.354] nyancoromochi: いいねー
[368.353] (S)13Nemesis: マターリ
[371.212] tobias0930: ディグラ
[375.738] shadowchiefzed: vaultroomのSFロゴ風のシャツかっこいい
[380.829] margarita_217: ディグラ
[383.358] shadowchiefzed: ﾊｧｲ
[384.567] 亞ゼファー亞: wwwww
[385.926] (S)tan_san_suki: ディグラ
[386.505] エスジーケーエスシュー: いけおじの会
[388.412] シンデレラブレイド: DIGURA
[396.401] あちゃの: こんどぐ
[404.037] noricola: 格ゲーマーには早すぎる
[417.338] 亞ゼファー亞: なるおさんのスタジャンかっこいいな
[441.938] vra_oji: あっ
[447.097] noricola: あ
[449.860] nyancoromochi: しらんがな
[457.420] 山もっちゃん: あーあ
[469.783] shadowchiefzed: きちゃああああああああ
[476.736] ranpub: きたー
[484.359] vra_oji: 梅田サイファー(本物)
[485.319] margarita_217: きたああああ！！
[495.584] エスジーケーエスシュー: ものほん
[502.285] (S)たきこみ: 梅田サイファー（曖昧さ回避）
[514.339] エスジーケーエスシュー: ウィキペディアかな？
[517.454] (S)美濃屋善兵衛: お？
[524.201] (M)墾田永年私財砲: ※こちらは本放送ウォッチパーティのミラー配信です。  EVOJapan04：https://www.twitch.tv/evojapan04
[530.706] shadowchiefzed: elbowcoughelbowcoughelbowcoughelbowcoughelbowcoughelbowcoughelbowcough
[536.864] bebebeeell: えぇな
[537.051] kitori_17: 見たかったー
[552.193] (S)美濃屋善兵衛: 見に行きたかったなぁ
[556.496] エスジーケーエスシュー: ひでえな
[557.169] 亞ゼファー亞: 現地勢いいねー
[566.934] (S)美濃屋善兵衛: 失礼な野崎
[568.240] nyancoromochi: GoatEmotey
[577.008] エスジーケーエスシュー: めっちゃ気持ちよさそう
[584.306] margarita_217: マジでハイ
[620.242] (S)ぶれお: ……
[621.173] vra_oji: うおおおおおおおおおお
[621.378] nyancoromochi: …
[626.054] tobias0930: よかったｗ
[626.507] nyancoromochi: w
[626.743] juno0220: ひねり出したww
[627.604] (S)ranpub: タメがあったw
[628.128] (S)ぶれお: 捻り出した
[629.499] (S)たきこみ: 溜めたなぁ
[636.503] (S)美濃屋善兵衛: 流石に？
[639.950] nyancoromochi: よかったです
[640.662] kitori_17: 出てきた
[643.195] njpw2017: なんで進んで事故に向かうねん
[655.058] (M)墾田永年私財砲:  梅田サイファー – CONTINUE [INSPIRATION from PlayStation®︎ー閃きのヒントー Ver.]  https://youtu.be/vDZ6PxvzRW0?si=6j1tekaI2YQfFGr7
[657.504] njpw2017: というかそんなうるさいのか
[674.101] (S)田中脊髄剣田中: こっちも来てた
[696.207] shadowchiefzed: 配信で音声乗っけてくれてほんま嬉しい
