[23.695] (M)(S)こまっている: 遠征おつかれさまです こんばんは
[29.850] 薬指: お疲れ様でした！
[31.640] p4seri: EVOJお疲れ様でした
[32.173] (M)(S)ぱぱすぬわ: おつつつ
[33.422] sashimisyouu: お疲れ様でした
[34.272] tikyugumi_ab: evojおつです！
[34.419] (S)ツバサ__: お疲れ様です。
[34.575] vanvan1up: おつ
[36.186] だっちょだよ: こんばんは
[36.472] yuyucyannn: お疲れ様でした
[36.904] kitori_17: おかえりなさい
[38.740] saru_buta: お疲れ様ですー
[40.991] mashikaair: お疲れ様でした〜
[42.109] (S)うちま_: evojお疲れ様でしたー
[43.087] (S)港区ザンギエフ: お疲れ様でした〜〜〜こんどぐ
[43.270] (S)ta3z_: おつかれさまでした
[44.210] さかじょん: お疲れ様でした
[47.820] SK8JAZZ: お疲れ様でした
[47.874] (S)acrofiora: おつでした
[53.740] だっちょだよ: した
[55.429] 楚々: こんにちは！！長時間お疲れ様でした〜〜
[56.828] (S)青木は: お疲れ様でした
[57.530] (S)ぶれお: お疲れ様です〜〜〜
[58.752] (S)港区ザンギエフ: 大会面白かったですねぇ
[59.744] (S)gns1018: お疲れ様でした
[59.809] tkgnotamago: evojお疲れ様でしたー！
[60.992] 田中山田鈴木: GGSTまさかの新キャラクムとは驚きましたね。
[64.707] yuyucyannn: 感想会ですか?今日は
[66.035] (S)やぎう氏: cagdogBugi
[68.938] p4seri: 現地かなり暑かったらしいですね
[70.695] シル_: お疲れ様でしたー
[71.317] YaSyu68: おつでした
[75.745] improvedkaine: 神イベおつ
[80.416] nitora0626: ツイッチ配信初見です！！いつもYouTubeの方の切り抜きだけ見てて配信来れて嬉しいです！！
[82.517] (M)(S)ぱぱすぬわ: どぐらさん、売れてましたね
[89.907] yuyucyannn: 豪鬼はまた今度ですかね?
[95.228] 吉田じんぎ: 喫煙所は一生むわっとしてた
[97.778] ベっく: EVOJお疲れ様でしたー
