[32.079] れいとろん: にちは〜
[32.763] towasan228: こんばんはー
[33.669] ころんころん: こんにちは
[33.973] lookchoco: こんどぐー
[34.756] sinya315: こんにちはー
[36.642] Lowrider777x: こんちは
[45.450] charcoal_jps: こんにちわ！
[46.060] (S)mukubado2: こんどぐですー
[47.405] tkgnotamago: こんにちはー
[47.460] annnounn: こんばんわ〜
[51.090] (S)ktkt0617: こんどぐ
[52.088] 再度落選の大統領マルモリ: 健康な配信開始時間ですね
[56.335] リゼットさん: 最終日ですね
[60.131] (S)saigawa_: こんどぐ
[62.963] annnounn: 今日はコーチングありますか❓
[68.208] サケ缶: 明日、会社行きたくないでごわす
[70.162] unimel1x: もくエドタイム
[75.339] (M)墾田永年私財砲: キレた！
[76.311] たちばなしゅのん: もくどぐ
[77.516] unimel1x: 怒ってるん？
[82.654] あはとぽけ: どぐにゃん、篝火みねぇか？今めちゃくちゃあちぃよ
[85.355] kuroame_yummy: こんにちは！
[88.289] annnounn: ひなーの昨日悪戦苦闘して心折れかけていたから😢
[89.295] tkgnotamago: どぐら、キレた！
[90.177] カンラク: 来たらさっそく壊れてた
[93.611] 再度落選の大統領マルモリ: 総師範はエド（モンド）納めらしいです
[99.624] shi_a__: こんにちはー
[103.050] モドキ: こんどぐです、GW中にマスター行く目標が厳しくなってきました(ダイヤ4)
[103.250] annnounn: よし👍
[103.614] charcoal_jps: うおおおおおおおお
[103.676] unimel1x: あこーらくん負けたん！？
[106.341] リゼットさん: お！
[106.955] mayotyon: ひなーのありえます！？
[107.859] tkgnotamago: あるんすか！
[108.061] annnounn: やったー👍
[110.059] (S)mukubado2: うおおおおおおおあお
[115.733] o_okth: やったーー
[116.083] 玉兎86: ひなーの楽しみ
[116.206] annnounn: やったあああああ‼️
[123.109] どらどら君: どちらかというとコメ欄と戦ってるひなーの
[123.897] tomuriru: hinanoPenlight
[128.920] annnounn: 待ってるで‼️
[134.674] kaeruseijin1008: おはようございます今日のごはんは海鮮丼です
[139.006] モドキ: ひなーの、コラボの 日なの？
[142.939] たちばなしゅのん: ひなーのの相手は文字
[147.663] annnounn: ひなーの心折れかかってた😢
[148.184] (S)mukubado2: つまりどすこいの時間ってこと
[157.957] (S)田中脊髄剣田中: こんどぐー、GW(ガンダムウィング)終わっちまうぅう
[160.137] unimel1x: 昨日ｳｩﾝしましたか？
[170.063] (S)takana_829: コメ欄はノイズ、ガチだった
[179.657] (S)mukubado2: ウゥンしてはりましたよー
[202.816] saru_buta: 視聴者は敵だからねしょうがないね
[216.672] unimel1x: どぐらの所の文字は治安がいい
[223.536] h1ran0p: 昨日romって見てたけど多分結構動画とか見て仕入れてきたんだろうなぁって動きあったから楽しみや
[228.160] (S)mukubado2: 奴ら人の心うしなっちまったんだ…
[238.488] tkgnotamago: 人が多いとどうしても、ね......
[243.890] (S)ktkt0617: 豪鬼楽しみすぎてケツ痛くなってきた
[245.332] (S)港区ザンギエフ: こんどぐ〜 ひなーの……
[262.329] Lowrider777x: エドも何かしら変更あると嬉しいけどどうなるかなー
[275.232] annnounn: 板ザンかと思ったら港ザンかw
[283.460] (S)mukubado2: どぐリスはそこそこのおっちゃん達やから…治安はもう町内会くらいええっすわ
[290.330] kaeruseijin1008: エドに追加して欲しいもんある？わからん
[291.446] h1ran0p: キルステの派生ボタンにしてええやん、ねぇカプコンさん？
[303.406] BrokenJP: 町内会かぁ
[305.053] unimel1x: PADで前ステスパークやるとマジで昇竜漏れるんだけどコツとかある？
[307.303] 再度落選の大統領マルモリ: ゴミ捨てきちんとしないと回覧板でさらされるほどの治安
[323.535] (S)ktkt0617: 町内会のおっちゃんうんこ食えとか言うかなぁ？
[327.792] (S)美濃屋善兵衛: 美濃屋善兵衛 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! お疲れ様です　GW休めました？
[331.621] unimel1x: なるほどヨガフレ...
[335.598] l3otechin04: どぐらさん、お告げを下さい...マイナーキャラが好きなのですが人気キャラとのキャラパワー差に苦しんでキャラをコロコロ変えてしまうのですが、何かいいキャラいませんか？
[338.468] ろくりす: 晒し上げは治安怪しいだろ
[353.307] (S)あおじし: あおじし subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! 
[362.234] 大阪の柱メンディー: お疲れですか
[362.309] (S)港区ザンギエフ: うんこ食わそうとする奴らの民度がいいわけがないんだ💩
[382.545] Ellukr: パリィつかうとぱに関投げ食らうことが多いんですが、どこで使った方がいいとか’あるんでしょうか
[395.333] (S)美濃屋善兵衛: だって自分から「うんこ食う」って言うし
[396.908] (M)墾田永年私財砲: 『SmashlogTV』スタジオ公開収録 抽選観覧のお知らせhttps://x.com/Smashlog_JP/status/1787370956354429119 ⚠️応募締切 5月12日 23:59迄
[397.570] (S)mukubado2: 端インパクトの張り付きコンボ安くなりがちなんですけど、どぐらさん何してます？
[408.127] h1ran0p: パリィにラッシュ仕込むの一緒慣れんわ
[411.651] unimel1x: うんこを食うという契約を履行させているに過ぎない
[422.629] 再度落選の大統領マルモリ: なぜそんな契約を・・・？
[428.254] (S)鉄板: こんばんは
[428.470] (S)港区ザンギエフ: どぐら始動うんこだからまぁ確かに
[433.048] 吉田じんぎ: タッチは？
[445.488] みなぷ080821_: わりといつ見ても疲れてる気がする
[459.792] 再度落選の大統領マルモリ: おっさんは割とすぐ疲れる
[462.970] unimel1x: 中大TCと大pの使い分けが雰囲気だからなぁ張り付きコン
[469.871] 吉田じんぎ: 売れてるからよぉ〜
[474.997] (S)mukubado2: これ、ホントね
[479.574] h1ran0p: もう若くないからさ
[484.536] (S)港区ザンギエフ: おっさんの疲労はすぐには抜けない
[493.908] kaeruseijin1008: 階段登るだけで疲れちゃう
[495.374] (S)美濃屋善兵衛: もう年齢なんだ 疲れが取れにくくなってるんだ 悔しいだろうが仕方がないんだ
[508.461] TroutFishing: おっさんは常にうっすら体調不良
[510.298] h1ran0p: 気づいたら唐揚げすらきつくなってくるぞ
[523.972] 再度落選の大統領マルモリ: 短くなってるからな体力ゲージ
[528.230] (S)港区ザンギエフ: 常にバーンアウト状態なんだ
