[28.429] huroran_: こんどぐ〜
[30.103] モドキ: こんどく〜
[33.959] (S)おーまっちゃ: こん〜
[35.468] toto3210119: うおおおおおおお！！
[36.533] (S)といろ_: こんどぐ～
[38.392] (S)あおじし: アヒル本番ですか
[38.600] (S)13Nemesis: アヒルの時間だあああああ
[38.825] まいねーむいずあぽろ: こんどぐ
[39.089] デバフウニ: こんどぐー
[42.413] (S)takafumi_tuji: こんどぐー
[43.061] hige_yarou: こんどぐー
[43.171] InouE_stream: チル〜
[44.945] (S)うちま_: こんばんはー
[46.156] (S)godog02: ぐっあふたぬーん
[49.101] (S)totukanyan: こんどぐ
[49.621] (S)ta3z_: おはようございます
[53.125] (S)13Nemesis: あひる 
[53.197] まいねーむいずあぽろ: CRカップ アヒル
[54.273] 小池ピアノ教室: 本番か～
[56.237] (S)鉄板: お疲れ様です
[63.009] metrocityclub: ゆうべはおたのしみでしたね
[65.869] tune0627: おつどぐー
[73.395] 壱護みるく: こんにちはー
[76.642] (S)yumaaan_21: 本番はおるんすね
[77.765] shi_a__: こんにちはー
[78.646] beergorila: チル響いてますか？
[80.613] (S)madaraomi: こんどぐ～スタジオで解説とかじゃないんや
[82.358] (S)gonzalez7724: cagdogBugi
[93.934] (S)yumaaan_21: yumaaan_21 subscribed with Prime. They've subscribed for 4 months! 
[102.833] mark80000robo: こんにちは！早いっすね
[103.940] kanya1227: こんどぐ～
[112.330] (S)鉄板: 鉄板 subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak! 
[112.434] r18_takemaru: こんどぐぁぁ
[121.236] mark80000robo: 本番いなかったらおかしいｗ
[121.715] (S)13Nemesis: cagdogDig
[123.089] tkgnotamago: ｱｲﾑﾚﾃﾞｨ
[126.399] goemoo: どぐらさん...あなたが昨日いてくれていれば...
[142.539] sebone456: ルークに
[144.927] いんぱらさん: エドがケンに聞こえる後遺症が治りません‥
[151.413] wsdsie: ひなーのルークに苦戦してたね
[156.147] r18_takemaru: 注目の一戦とかあります？
[156.952] risa_rice: ﾊﾟﾜﾎﾞｯ
[165.369] shi_a__: ルークに苦戦してたっぽい？
[175.465] Samari_kun9111: エドがケンに聞こえる後遺症w
[188.956] こすもどりっぷ: こんちわー
[194.124] (S)all_hd: こんばんは、お疲れさまです
[196.969] tune0627: 昨日のひなーのの試合見た？
[197.079] anzu0131: やあ
[202.667] unimel1x: こんどぐ
[211.985] モドキ: ケン！
[213.406] (S)godog02: 何度聞いてもケン
[213.510] unimel1x: エド（ケン）
[214.826] 蒼い人: けん
[215.201] tkgnotamago: ケ ン
[216.757] (M)墾田永年私財砲: ※ケンではない
[217.172] shi_a__: ケン！（ED）
[218.437] Ippo360: ケン
[223.170] (S)ハタオリ: こんどくです
[224.993] Samari_kun9111: ケンだわ
[230.180] risa_rice: ケン(エド)
[234.796] (S)roziumu: ケン！
[244.286] atoz428: ひなーのSA3のセリフちゃんと言ってましたよ笑
[247.897] wsdsie: 試合よりその後のかじゅのコーチングのスパー見た方がいいかもだいぶ変わってる
[259.165] shi_a__: 楽しいねぇ！
[260.181] tkgnotamago: 受け継がれたか
[260.547] r18_takemaru: 動いた確認ＳＡ1にタコられてた気がする
[264.085] にゃんたー_121: どおおおだぁぉぁぁ
[271.431] unimel1x: 詠唱は大事
[273.057] nameless510: 楽しそうに何回も言ってたねｗ
[288.669] risa_rice: ﾊﾞﾝﾊﾞﾝｼｭｼｭｷｭｷｭｷｭｷｭいくぞお！どおだああ！好き
[301.373] o_okth: ひなーの昨日かじゅインストールしたところから格段に上手くなってた
[308.832] (S)コムコムぽん: お疲れ様です
[343.111] unimel1x: 反転昇竜は端脱出されるからやっぱびみょいんかな
[350.663] (S)takafumi_tuji: アレクが実装されたらひなーのがディゲンヌ言ってくれる未来もある…なんていい事だ
[376.134] (S)鉄板: ひなーのがアレク使うかなぁ…
[377.126] risa_rice: ｱｲﾑﾚﾃﾞｨ…
[386.582] (S)takafumi_tuji: 使わなそう
[394.855] tkgnotamago: ﾊﾟﾜﾎﾞｯ
[402.699] unimel1x: アレク、痩せよう
[415.439] tkgnotamago: そんな未来あるか？
[421.598] tune0627: まず着替えろ
[426.241] (S)鉄板: エドくらい細マッチョになれば…
[427.219] r18_takemaru: 素肌サスペンダーなんかな
[429.221] Ippo360: アレク衣装次第な気が
[430.149] shi_a__: 細マッチョになれば...
[434.710] hige_yarou: むしろザンギ本田に続くかわいがりするキャラになりそう
[440.609] tkgnotamago: フェイスペイント外せば？
[448.253] (S)yumaaan_21: 上手い人のトレモ面白い一生見てられる
[452.127] (S)鉄板: 半裸サスペンダー使いたい女性おらんて
[460.375] puruo0715: アレクが細マッチョだとそれはエドじゃん
[468.349] risa_rice: Tホークでええやん……顔化粧
[469.824] ケンタロス0122: がんばろー！
[473.095] unimel1x: アレク泣いてまうやろ
[498.707] guile_2525: Cheer100 ほぐれてほしいねぇ
[512.083] Ippo360: アレクがスト６に居ないこと妻に話しました
[514.862] (S)13Nemesis: cagdogGa
[528.496] naryuhama: ぱわぼ
[529.357] (S)ドルマゲス錦織: こんにちは～
[531.102] r18_takemaru: 次出るキャラ結構楽しみなんよな
[534.050] (S)鉄板: ひなーの♡
[536.573] めめせー: 先生おる？
[536.623] tkgnotamago: おはよう！！！！！
[538.604] unimel1x: ひなーのおはよう
[541.046] shi_a__: はい！おはよ！
[541.155] (S)ego0002: はい、おはよ
[542.074] (S)13Nemesis: おはよ〜
[542.268] don5515: 超元気
[542.491] にゃんたー_121: ほあようごじゃいあす！
[545.075] r18_takemaru: おはーよなの
[546.449] unimel1x: お疲れ様でーす
[547.822] shi_a__: ｗｗｗ
[548.461] Ippo360: おつかれさまでした
[549.007] naryuhama: おつかれー
[551.619] mesa1004: おつー
[552.275] (S)iwap0n: おつおつ
[552.439] (S)アベ0206: お疲れっしたー
[552.877] (S)shrimp_square: ときんすの先生
[553.904] fukur0o0o: おつ
[555.405] (S)takafumi_tuji: これよこれ
[559.037] risa_rice: お疲れ様っしたー
[559.279] dekamega: ハイ、オハヨ！
[561.380] めめせー: かわいすぎる
[562.524] こすもどりっぷ: おはんよ
[564.311] (S)コムコムぽん: 来ちゃったよ本番
[569.088] (S)鉄板: ヤバイかぁ
[569.671] toto3210119: かわゆ～
[569.892] にゃんたー_121: ｳﾝ
