[28.269] gazio110: こんちゃ
[31.018] (S)鉄板: こんばんは
[32.599] モドキ: こんどぐばんわ
[36.553] (S)kuronoizayoi: こんばんは
[41.307] toto3210119: 本番の日だぁ
[42.859] (S)kuronoizayoi: kuronoizayoi subscribed with Prime. They've subscribed for 14 months! 
[43.237] (S)どらどら14だす: こんばんわ〜
[46.794] h2i2bo: スレイヤーで勝てそう？
[51.161] (S)鉄板: 今日のイベントオンライン参加なんすね
[61.399] jin_zangi: お疲れ様です
[64.876] dogma_glsisiter: どうも
[67.769] ariszkakf: どぐらさんギルティ復活の日！待ってました！
[69.337] (S)どらどら14だす: 本番楽しみっす！！
[80.837] 小粒納豆06: こんちゃす
[100.118] (S)チカモン21: どぐにゃんは果たしてやれるのか…
[100.139] (S)kuronoizayoi: ギルティもストリーマー巻き込んでのお祭りやってくれて嬉しい
[131.616] 小粒納豆06: 俺もアバでギルティはじめたよぉん
[132.621] toto3210119: 画面が…
[135.624] (S)チカモン21: ゲーム画面映してないのはわざと？
[141.194] kubotaros: あの、画面が
[143.905] yashikinsei: たた、み
[146.004] beko6648: こんばんはー昨日ギルティ買ったよ
[157.720] kei0229: やっぱスレイヤーの曲かっけ〜
[166.952] RSKEY2561: ありがとー 
[167.594] h2i2bo: もっちーさんに勝てそう？
[184.523] ariszkakf: ギルティプレイヤー増えてありがたいことです
[195.124] kota112211: ３ｖ３楽しみ
[216.853] (S)鉄板: パイル裏当て連携一日でかなり加発されてて開発速度すげぇなと思った
[218.058] kei0229: ギルティ初めて三日目だけどヒット確認むずくないですか？俺だけ？
[222.067] 小粒納豆06: それ裏回る中段？
[229.838] (M)墾田永年私財砲: GGSTはただいまPC/PS版大幅セール中！  https://x.com/ARCSY_Event/status/1795652325740347477  他タイトルも✔
[237.128] p4seri: 今回スレイヤーで戦う感じなんか
[239.460] きよぎがす: メルトンさんもくるのマジ！？？
[243.775] _霧切_: パイル裏当てこれ想定されてんのかな…
[247.920] (S)shi_a__: こんにちはー、イベント楽しんでください！
[265.951] 高級食材ふかひれ: こんにちどぐにゃん
[276.289] (S)高級食材ふかひれ: 高級食材ふかひれ subscribed at Tier 1. 
[280.684] (S)鉄板: 確認なんてせんでもええ。入れこめ入れこめ。やばそうだったらRCや
[288.522] showwhatman: ギルティのヒット確認が難しくなるなんて、青リロ時代からしたらとんでもねぇや
[296.311] モドキ: スレイヤーの「この技欲しかったなー」ってヤツありますか？
