[33.317] arare_1567: こんこんこん
[33.372] 上杉朝顔: お疲れ様です〜
[35.906] 大自然のお米なつれ: こんばんは
[36.014] kitori_17: 2画面配信だあああああ
[36.650] らむねぇ: こんどぐ
[36.756] ごや58: こんどぐ〜
[37.324] unimel1x: こんどぐー
[38.869] (S)yumaaan_21: どもー
[39.088] (S)godog02: こんどぐ
[40.045] (S)_しのぶ: こんばんわ！
[40.099] odenn_dao: こん〜
[41.699] (S)yukikaze083: こんばんはだよ～
[42.075] (S)ta3z_: おはようございます
[42.778] 9huntsman: 昼間デビルさんこんにちは
[45.285] margarita_217: こんどぐ〜
[46.474] nan4mi66: こん〜
[47.970] unimel1x: ももちさんのコンボ見ました？
[51.774] (S)でぃるじゃ: cagdogBugi
[53.665] lafeli__: こん～
[61.703] (S)田中脊髄剣田中: こんどぐー
[72.012] whiteface811: こんにちは
[75.813] 3q4ever_: 流行りの同時配信～
[81.308] (S)田中脊髄剣田中: お
[83.880] lafeli__: 先導者ももち
[87.647] (S)godog02: できてまっせー
[90.074] unimel1x: つべついっち同時ってやつっすか
[95.976] ng350000: こんどぐー
[98.058] margarita_217: YouTubeみってる〜？w
[100.201] kitori_17: 売れたー
[103.365] (M)(S)ぱぱすぬわ: 憤怒のまめすぱより
[106.406] (S)ta3z_: 一瞬、カメラが乱れた
[114.481] unimel1x: コメント欄はTwitch勢が支配している
[121.374] kitt_teriteri: どぐらベガ楽しみやなー
[122.340] frost_0275: 一瞬カメラがｶﾞｺﾎﾟｫﾝ言うたけど大丈夫やで
[126.770] (S)田中脊髄剣田中: cagdogBugi
[129.354] aiueo12121: ももちコンやるのか？！
[131.009] (S)zero_taisa: ももち教授
[139.526] atoz428: このスタイルってウメハラさんとかがやってるのか
[146.009] (S)shi_a__: こんにちはー
[157.366] 9huntsman: ベガ様参戦記念のベガ様落語いつかやってほしい
[163.417] minamotonooo: 悪口書いたらバレる
[167.824] unimel1x: ももちさんは昇竜からやってましたけど普通に地上パニカンからも出来たんでご安心を
[174.026] queuhcs: YouTubeのみんなこっちも楽しいよ
[174.790] kitori_17: つべ組もよろしくな！
[176.447] kaeruseijin1008: ばんわ～不知火舞、“お世話になった”から使うって人が多いらしいですがどぐらさんもお世話になりましたか？
[180.897] (S)青木は: こんどぐー
[183.607] africaoceania7: KSK式配信
[187.746] umatnki: ももちコンマジ？
[199.862] tsubuchoco: 中とか強なのでは
[205.913] unimel1x: やった感じほぼ全部微遅らせしてますね
[206.489] frost_0275: アレクBGM何気にいいよね
[207.145] (S)zero_taisa: 大ブリッツだったきが
[209.224] aiueo12121: 弱じゃないとか？
[211.156] unimel1x: 最初強ブリッツです
[212.742] hakkkkk___: こんなん絶対実践無理やろ
[212.994] nagato4510: 大ブリッツ
[222.222] umatnki: 大ブリッツ猶予2フレです
[224.871] unimel1x: いいえ弱SA2です
[228.330] レベルゼロ: 強だけど猶予2Fだぞ
[228.334] aozakura12: 弱弾ですね
[238.664] xyz1120: 今日鉄拳のパッチノート見る枠やりますか？
[244.910] toto3210119: oo
[247.087] (S)ta3z_: 4945
[247.212] (S)godog02: むずー
[248.811] aiueo12121: へーるw
[248.857] (S)zero_taisa: 革命よほんと
[251.810] (S)all_hd: こんばんは！
[255.978] (M)(S)ぱぱすぬわ: 新ももち式ですか？
[258.538] unimel1x: 実践投入できるのかなぁ
[262.012] mako_uu: こんばんは〜
[270.040] レベルゼロ: タイミング
[279.202] (S)mori_123: これ普通に大PODブリッツとかでも行けるっぽいです
[284.581] レベルゼロ: 視聴者からのタレコミ
[287.762] frost_0275: 確認したらボイスが「そらよ！」だったので弱らしいですねぇ
[287.775] (S)あきはん: ももちドリームシーズン2
[288.591] lafeli__: ももち式はなにが新しいんですか？
[293.519] oru_tea: どぐらさんこんばんは！どくらさんのエドを参考にしてエドマスター行けました！
[295.793] unimel1x: どうやって見つけてんやw
[295.844] nagato4510: 海外勢のTwitterをももち視聴者が拾ってきた
[296.109] (S)shi_a__: へぇ〜
[302.839] (S)shi_a__: マスターおめでと〜
[304.768] kaeruseijin1008: エドマスターおめでとー
[309.841] (S)ta3z_: マスターおめ
[311.442] 9huntsman: 忍び情報網優秀すぎる
[317.427] unimel1x: マスターおめでとー
[318.182] joxright: ももちさん凄すぎない？
[325.792] (S)美濃屋善兵衛: お疲れ様です ももちドリームコンボなんすか？あれ
[329.907] oru_tea: ありがとうございます〜！
[340.108] tsukuyomid: これがシノビの裏情報網ってわけ
[342.138] (S)田中脊髄剣田中: フォーリナーニンジャもいますよと
[347.204] unimel1x: ODブリッツ始動でSA1使ったら6200減るからなぁこれ
[358.461] (S)ぶれお: こんばんは〜どぐにゃんもドリーム症候群の仲間入りですか
[363.377] (S)うちま_: タイミング激難そう
[364.297] えすらぶ: あのPV見たらベガに思い入れが無くても使ってみたくなる
[382.455] (M)墾田永年私財砲: パチノきました
[390.532] iiwakehito_sion: これって定点みたいなのあるんですかね？完全に目押し？
[395.901] acis3983: 完全感覚Dreamer
[400.910] unimel1x: 多分完全目押しかなぁ...
[402.435] レベルゼロ: 目押し
[404.264] joxright: 完全2フレ目押しっす
[406.708] aiueo12121: 鉄拳のパッチノート長すぎて見る気しないww
[408.767] (S)美濃屋善兵衛: 目押しってかタイミングじゃね？
[412.800] あらいづき: ももちがやってたやつ？
