[30.309] 卯尾市場: DinoDance
[31.406] margarita_217: 誕生日おめでとー！！
[33.866] zooma5240: こんにちは
[34.811] モルフォース: お誕生日おめでとうございます！
[34.897] momokei1157: 🎉
[39.655] akasakiyuum: おめでとー！！
[40.515] あなほりしもん: 誕生日おめでとうございます🎉
[42.109] zooma5240: 誕生日おめでとうございます
[43.240] pen2g: おめでとうございます
[43.622] tikyugumi_ab: おたおめ！
[45.232] ありやんさん: 誕生日おめでとうございます
[45.705] forest__pixie: FamilyMan
[45.940] ヒースシザリン: お誕生日おめでとうございます！
[46.247] (S)kinokogidora: たんおめでとう
[48.359] love_enn: おたおめです！
[48.489] (S)チンヂャヲ: ハピバ！！
[48.715] lookchoco: おたおめ
[51.383] echizen2000: おめ！
[52.861] (S)まとり10: おめでとー！
[53.991] minimamukametaro: おめでとうございやす
[54.318] (S)kinokogidora: cagdogBugi
[55.902] umehara_sinja: 誕生日おめでとうございます
[58.441] (S)ヤズー9: お誕生日おめでとうございます
[60.770] (S)yukikaze083: こんばんはだよ～
[60.973] dillle623: おめでと～～
[62.052] io3810: おめでとうございます！
[63.314] (S)美濃屋善兵衛: お疲れ様です オジの深層へようこそ
[63.368] じゃすみんぼーい: おめでとう御座います！
[64.766] (S)shi_a__: こんにちは、誕生日おめでとうございます！
[64.778] (S)あはとぽけ: 野崎めでたい
[66.829] あひーじょ4696: 誕生日おめでとうございます！！
[67.760] おちゃぱ: たんおめです！！！！！！
[68.019] saddle_67: どくおめ。ベガの試遊みました？
[72.965] あなほりしもん: ベガの実機プレイ動画、公開されましたね
[73.527] (S)mori_123: Cheer100 おたおめ～ん
[73.850] (S)yukikaze083: お誕生日おめでとうございます！
[79.021] pandaman7326: お誕生日おめでとうございます
[79.380] (S)ポコ二ャン: おめでとうございます Cheer100
[82.913] (S)mukubado2: おめでとう御座いますん！
[85.881] masteriws: 誕生日おめでとうございます！
[87.692] karo_hawk: はぴば
[90.519] (S)チカモン21: お誕生日おめですわー
[93.746] hirokichi19980919: はじめまして！いつも切り抜き見てる者です。誕生日おめでとうございます🎉
[93.816] g_dms: はぴば Cheer100
[96.817] (S)lond6: 誕生日おめでとうございます
[100.168] (S)mukubado2: mukubado2 is gifting 1 Tier 1 Subs to 生駒どぐらデビル's community! They've gifted a total of 6 in the channel! 
[100.448] (S)mukubado2: mukubado2 gifted a Tier 1 sub to bon0227! 
[103.153] あいす108: お誕生日おめでとうございます！
[112.825] (S)美濃屋善兵衛: 昨晩に対戦ほったらかしてマゴさんと見てたよ！
[113.991] komadog3: おめでとー！
[115.876] zackz_fair: こんにちは〜お誕生日おめでとうございます！
[116.360] (S)やぎう氏: cagdogNama
[121.424] ニウ: ベガ軌道変化がやばすぎる！
[123.230] 上杉朝顔: Cheer1 少なすぎですがタバコ代の足しにしてください！これからも配信やイベント楽しみにしてます！おめでとうございます！
[128.500] yasujiro09: お誕生日おめでとうございます！
[135.000] (S)ranpub: はぴば Cheer100
[146.223] ありやんさん: 誕生日に政治！？
[146.411] psk8102: どぐにゃんおめでとー！
[149.326] jacsolgai: どくにゃん誕生日おめでとう
[150.689] (S)mukubado2: お口あんぐり
[152.654] minimamukametaro: ベガ強そうですねー
[152.970] (S)ポコ二ャン: サムネ用の顔もお願いします
[154.825] (M)(S)ぱぱすぬわ: mnaturi
[160.020] (S)麦の人: cagdogNama
[163.220] (M)(S)ぱぱすぬわ: どんな祭りかな
[165.365] hikaqon: 誕生日おめでとうございます。どぐらベガがリーグで活躍するのを楽しみにしています！
[168.388] (S)美濃屋善兵衛: なんでしゃが大？
[171.890] shalily0121: ベガってスト2の時は高機動だったんだっけ？
[174.235] ありやんさん: 政治家は誕生日も活動を怠らない
[175.956] 野良の玉ねぎ: おたおめです！！！野崎さん、３７も全力応援！ Cheer100 Cheer100 Cheer100
[177.117] forest__pixie: CRのお祝いツイートないんか
[183.695] (S)mukubado2: いやベガさ〜対空がさ〜
[189.454] (S)あはとぽけ: やばすぎた！
[191.407] ニウ: しゃがみ大より、サイコクラッシャーでの対空のほうが驚きじゃんねぇ
[198.037] trick0918: ベガ歩き遅いように見えないんだけど気の所為？
[218.651] 灰原_: ベガの歩きはやいらしいっす
[221.709] (S)shi_a__: 歩きはえーよ...
