[7.900] (S)shi_a__: おかえりー
[9.317] (M)墾田永年私財砲: 二回行動
[31.609] (S)yamaasira: レイド先から戻れって言われたの初めてだわ
[33.295] (S)ジッパー人唐揚げ: おかえり
[51.784] kamitakosuke: 初めてなのか
[56.377] judicialscrivener: こくにレイドした直後にこくとヴァロ配信ってどういうことw
[57.724] karupattyo666: あれどぐ寝たはずじゃ
[71.761] (S)master4569: 豪華メンツじゃん
[76.627] oyassan5963: 4時やぞ
[98.605] papurica23: こんばんは
[102.779] hekidama: おはようございます
[112.987] johnnyppas: かとじゅんの声がする
[116.594] (S)どんぐり_: なんだこのメンツw
[130.248] SanaeDotK: おはどぐ
[158.223] panasiman: 珍しいメンツや
[198.517] kenkenmas: どゅん！？
[206.565] yuk019: あれ…ここはさっきいた場所…？
[255.317] ゆきがら: まさかの深夜2回行動おつです～
[258.658] seven_bluewave: はにょ！？
[270.779] kanimiso2345: どぐら うんこちゃん はんじょう バトラ こく
[272.720] 鳥取り: unkochanYaa
[275.807] ramumi9: cagdogOssan_SG
[292.633] (S)shadowchiefzed: バトラ！？！？
[308.718] reborn___10: 豪華
[349.759] aqutan_sukikamo: 珍しいメンツやな
[370.450] レッツ剛田: すごいメンツだ
[394.116] kamitakosuke: はんじょう純でやっててこく誘ったけどシルバーだから一緒に出来ない→フルパの流れで集まった面子
[431.086] るふなっち: こくの自信はどこから来るんだw
[431.930] (M)墾田永年私財砲:  【DP投票開催中】1ラウンド目の終了時点で投票を締め切ります
[432.225] andorua: DinoDance
[432.511] kanimiso2345: さっきはんじょうに空爆やめてくださいって言われてた
[433.755] いないいないばー: tttcheHii
[440.193] いないいないばー: がんばってください！！！
[459.137] lemiko0919: どくにゃんうんこちゃんの絡み好き
[460.225] (M)墾田永年私財砲: cagdogEz
[516.115] doshikorikei12: うんこちゃんにスト6復帰させるんだ
[526.266] pekepeke912: またうんこちゃんと戦ってくれ
[527.746] judicialscrivener: ユリアンでうんこちゃん煽ってたのクソおもろかった
[530.587] kamitakosuke: 純居る時点でGは諦めようｗ
[534.944] manydai: 空爆してください
[544.499] lemiko0919: ｗｗｗｗｗｗｗｗｗ
[551.831] lemiko0919: 0か100なの笑う
[553.389] leaf1341: はんじょうはガチで誘ってくるぞ気をつけろ
[590.024] kanimiso2345: ９日あるな
[606.626] andorua: へー
[670.365] kanameape: プロが練習になる相手となると24H湧いてこないわな
[707.734] kanimiso2345: 太田ソーヴァ
[739.261] kamitakosuke: 結構被ってるのかｗ
[755.847] kanimiso2345: こく自信ありげだったぞ
[757.827] 半条と加油問題児二人: unkochanYaa
[793.418] hashitest2: やあ＾＾
[795.807] (M)墾田永年私財砲:  【DP投票開催中】1ラウンド目の終了時点で投票を締め切ります
[819.946] aybfj: unkochanYaa
[894.817] (M)墾田永年私財砲:  30秒後に予想〆切
[901.396] natoooo00: unkochanYaa
[907.109] (M)墾田永年私財砲: ｗｗｗｗｗ
[907.955] natoooo00: いいねw
[909.732] leaf1341: こくさぁｗ
[911.814] manydai: こき…?
[914.929] kanimiso2345: パワー
[919.736] natoooo00: 雰囲気いいねw
[927.057] ~MISSING_COMMENTER_INFO~: バトラさんもうまいんだよなあ
[976.656] manydai: ないすう
[1037.532] kanisandes: おい売れるチャンスや！
[1111.583] andorua: DinoDance
[1127.495] kanimiso2345: いつも１ラウンド２０字以内
[1131.391] hausumf: いつもは死んだ時の鳴き声だけ
[1251.708] lwjdzh: この界隈に絡むの新鮮だ
[1269.564] たろやん: 楽しいねぇ！
[1309.561] (S)shrimp_square: こくキャリー
[1319.529] andorua: もがもが
[1351.082] lemiko0919: ギスらないフルパヴァロ
[1452.050] DAI260810: どぐ！緊張するな！
[2055.192] モドキ: おはどぐ〜
[2289.083] pekepeke912: ｗｗｗｗ
[2291.378] ramumi9: cagdogOssan_SG
[2296.393] (M)墾田永年私財砲: ｗｗｗ
[2318.768] manydai: www
[2450.294] mayo_030: はんじょうの後輩力憧れるわー
[2549.184] pekepeke912: 救ってくれ
[2768.065] pekepeke912: おしい
[2769.007] (M)墾田永年私財砲: これは相手が正確だった
[2871.890] hausumf: これマップ隠さなくてもいいやつ？今更か
[2924.390] (M)墾田永年私財砲: cagdogGg
[2939.921] hausumf: GG
[2969.445] kanameape: 加藤純一が隠してないならここで隠しても誤差かという事になった
[2979.933] (M)墾田永年私財砲: サイレントこく
[2997.041] hausumf: なるほどじゃあ隠さんでええか！教えてくれてありがとう〜
[3004.606] (M)墾田永年私財砲:  【DP投票開催中】1ラウンド目の終了時点で投票を締め切ります
[3051.650] hausumf: 3人しか賭けてない 
[3122.184] kanameape: そういやバンピのボスか
[3129.572] アスカです: うんこちゃんの配信爆発しそうな音してて笑ったｗｗｗ
[3136.780] hausumf: うんこちゃんの配信やばいずっとポポポポって言ってるwww
[3139.570] pekepeke912: ポポポポポポポポ
[3143.220] kamitakosuke: どういう事ｗ
[3144.355] (M)墾田永年私財砲: やだこわい
[3153.796] leaf1341: ガチで爆発する寸前みたいな音しててワロタ
[3173.113] pekepeke912: あれはしかけられたね
[3235.272] sabre1682: うんこちゃん爆破された？
[3244.146] ゆどうふ0117: やあ
[3261.290] lemiko0919: https://clips.twitch.tv/BlightedBusyOryxKappaPride-6Hz3fKbGFvOD5Fhu 音こわ
[3278.286] leaf1341: とりあえず全部いいのを載せてる感じのPCだからスペックうんぬんの話じゃなさそう
[3279.287] reborn___10: 怪しいサイトの見過ぎか？
[3284.254] sabre1682: 本体にキャタピラついてるらしいよ
[3337.538] lemiko0919: 戦車！？
[3351.571] pekepeke912: お
[3468.773] reborn___10: じじいしかいないw
[3490.803] leaf1341: じじいのみがかかるウイルス
[3497.068] hausumf: ポポポポポポポポポポ
[3499.187] (M)墾田永年私財砲: ｗｗｗ
[3509.446] るふなっち: ビープ音やねｗ
[3517.782] sabre1682: クリップ結構怖い
[3518.437] hausumf: 真っ暗な画面でポポポポポポって音だけ流れてたのめっちゃおもろかった
[3547.082] hausumf: そりゃ何かすればええやろな
[3557.408] sabre1682: パソコン教室始まった
