[27.121] おーまっちゃ: こん〜
[32.073] (S)あおじし: こんどぐー
[42.742] umehara_sinja: こんちは
[49.616] iroha_168_: こんばんわ、！
[50.648] (S)美濃屋善兵衛: おかえりなさい
[52.067] のびじん: わーい鉄拳だよ！
[53.608] (S)mori_123: こんな時間から配信を？！
[80.897] かたまろ: こんばんは～
[81.128] 楚々: こんどぐ〜
[83.693] tutii4869: こんにちはーーー
[85.673] pakorepukins: ウメさんつよすぎました
[87.759] 永瀬さん: かじゅとカスタムやらない？
[88.968] africaoceania7: こんばんは。トパチャン初日から熱かったすね
[91.413] iroha_168_: 初見です🔰
[106.419] tutii4869: トパチャン
[117.104] tutii4869: アーカイブ見ないと‼︎
[129.914] (S)karuvora: その壁紙かっこいいですね
[137.975] 楚々: 個人的にかけちゃんりゅうきちがベストばいs
[147.941] 楚々: ベストバウトすぎる
[151.487] 上杉朝顔: かけちゃんのドット勝利は声出た
[160.714] watasiya_channel: てつまつり頑張って下さい！！！
[170.730] (S)のびじん: どうも一日でMRを200溶かした男です
[183.447] (M)墾田永年私財砲:  [本日の更新動画のコーナー] クラッシュ・ザ・ザンギエフ  https://t.co/TTBevbTaQa
[184.523] (M)墾田永年私財砲:  どぐらにボコられた乾伸一郎、キレイな台パンを決めてしまう https://t.co/xHh8kfCmlC
[199.995] 8gura_zz: 仁、カズヤ、デビルの胴抜きってそれぞれ性能違いますか？
[224.219] (S)のびじん: タイトル画面かっこいいな…
[230.252] 楚々: あと、咳した衝撃でうんこ漏らしました。30歳です。慰めてくだい。
[236.985] (S)keivitz0253: keivitz0253 subscribed at Tier 1. They've subscribed for 12 months! こんばんはーお疲れ様です
[237.175] まんさく: 苦手なキャラとかいますか
[268.502] (S)shi_a__: こんばんは、おかえり〜
[280.429] (M)墾田永年私財砲: サトシーニョTVさんの動画に出演させていただきました！『【ストV】オオヌキ＆どぐら参戦！格ゲー界のレジェンドと一緒に話題の激甘機種を打ってきた！』  https://t.co/OoLKtoLGSg
[285.352] (S)1000tenMANten: 1000tenMANten subscribed with Prime. 
