[8.897] (B)(S)伊織もえ: 伊織もえ is now live! Streaming Street Fighter 6: 仕事終わりにスト６練習 w/シュートさん
[27.207] 団子ーー: こんばんわー
[28.781] tent_37: やあ
[31.165] j__gamer__: もえー
[31.988] (S)古月謠: こんばんは～
[32.361] 歯間ブラシ: こんばんは 
[33.779] (S)yoyoyo_zex909: こんばんは〜
[34.038] カイいおりん大好き: 来たー
[34.249] trexfps14: こんばんは
[34.447] NmakeuDA: やあ
[36.813] guestguestr: Hihi
[37.246] (S)momonga1005: こんばんは＼(^▽^)／！
[38.064] sam5571161: enekooDancee
[38.148] (S)ジーサン: こんばんわ！
[38.267] カイいおりん大好き: 早いですね
[38.419] りなどら: お疲れ様です
[38.576] 柏拉娃: guanwe1Mao6
[38.884] longlong9989: ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
[41.089] rikugame0: こんばんわ
[41.792] yaaaaaaamay: PopNemo
[43.080] (S)keivitz0253: こんばんはーお疲れ様です
[45.254] azarashi_jp: シュートうらやましい！！！！！
[46.299] tent_37: JPはやめてね 
[46.513] kimNit0: yunomi1Gehegehe
[49.273] (S)bhath0cks: こんばんわ
[50.647] ちゃっぺ: ファイト
[51.968] (S)yumekui32: こんばんは
[53.790] morun6530: PopNemo
[58.193] boogiewk: こんばんは、早いですね
[58.609] daruma316: こんばんは
[59.321] zero_su_0105: 晚上好❤️❤️❤️
[60.905] (S)たにりょう: チャス！
[61.117] ちゃっぺ: 配信きた
[62.282] エイミー0001: spygeaAsparakun_HF
[64.544] めんたいこっ: RyuChamp
[71.890] (S)yoyoyo_zex909: スト6がんばれ
[75.943] 十公斤_: Hello 
[79.654] (S)たにりょう: たにりょう subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak! 
[80.615] カイいおりん大好き: ザンキの名前前聴いたので、ワンチャンザンキ？
[85.932] (S)momonga1005: スト6練習頑張って〜
[92.689] kazu_613: こんばんはー！！
[94.610] sss070701: きゃはーーーー
[95.416] DraKin_Twitch: こんばんは
[97.021] (S)hachiwake55: hachiwake55 subscribed with Prime. They've subscribed for 6 months! 
[97.793] りなどら: こんばんは
[98.438] ちゃっぺ: メガネ可愛い
[99.038] itumi321: もえ
[100.102] enakoenako: こんばんは
[102.321] ユウト7: カワユ～イ💚
[102.677] カイいおりん大好き: いおりんこんばんは
[103.057] ちゃっぺ: 声OKです
[103.293] もんもん923: こんばんは！
[104.208] (S)momonga1005: メガネ可愛い♥️
[105.097] (S)古月謠: ああ
[105.409] カイいおりん大好き: 音バッチリ
[107.679] (S)yoyoyo_zex909: 可愛い❤️今日もかわいすぎる♥️
[109.130] sevenn373: 痩せましたー？
[110.236] ミャーパパ: こんばんわ♪練習ガンバ！
[110.281] たるま: こんばんは
[110.639] ユウト7: ガンバレ～💚
[111.463] kasu1123: こんばんは～
[111.679] (S)古月謠: 声聞こえた！
[112.593] 20001217: こんばんは♪
[113.924] tacky012: こんばんはー
[114.675] ちゃっぺ: こんばんは声聞こえます
[114.730] (S)古月謠: こんばんは！
[115.442] (S)yoyoyo_zex909: おk
[115.971] (S)ねぐせ8: おー勉強やる気な服装ですねー
[116.499] kazu_613: めためた聞こえます
[116.800] azarashi_jp: 荒川イイ
[117.655] ~MISSING_COMMENTER_INFO~: メガネちゃんや
[119.039] カイいおりん大好き: バッチリだよ
[119.075] asika217: こんばんは🌛
