[23.066] トイメン: うぃーす
[27.648] 2scene: szchenHi
[27.801] tamano12321: おはようございます
[32.343] (S)kaito428k: どもー
[36.262] こうき51: naru04Ohayu
[36.733] (S)童貞卒業丸: naru04ATM
[37.637] taro_125: うす
[37.859] YuzukiHidaka: ｵﾊﾝﾖ
[39.028] norumon: うおおおおおお新シーズンキタァァ
[39.204] (S)オルコッ党員: おざす 昨日の動画まだ見てた
[39.335] さだ0: うーっす
[40.341] fujeylsub: おはようございます
[44.800] (S)mayuge_dimension: naru04Ohayu
[45.526] (S)nononono_uhoho: おはよう
[46.792] 1818184: おはざーす
[48.837] (S)muscle_ks: おはざす
[49.476] (S)あずきば: naru04Ohayu
[49.698] サーラ_スペースアヒージョ: おはようございます🌞
[51.405] (S)ちんとろ: あ、無職だ！
[52.283] ギガゾンビ: こんちゃ〜
[57.194] (S)lovepeace369: なんだー？眠り浅いかー？おはよ
[57.486] toast_xxx: 時は来た
[61.468] (S)見るぞ: 無職おはゆ〜〜
[62.170] (S)童貞卒業丸: やっと8から解放されるのか〜
[63.332] norumon: なるお、第2シーズン
[67.964] (S)lovepeace369: なるﾀｿー！
[68.036] tamano12321: ついにシルバーへ
[70.006] fujeylsub: 新シーズンスキンかっこいいの多いですよね
[70.233] amumurin_: 無職だけど職業認定戦はいつやるの？
[71.010] こうき51: 無職だよーw
[72.244] zeroG_1234: ゴールド行っちまうか
[73.246] (S)くらげ1030: おはざす、今シーズンのバトルパススキン神っす
[74.198] (S)mayuge_dimension: ブロンズの王卒業か
[85.727] ギガゾンビ: 無の職かい！？
[85.849] (S)オルコッ党員: そっちはまだだったかー
[95.990] (S)えぴっくさん: おはようございます
[96.191] ぱりっぱり: おはようございます
[108.036] (S)ノリリ: おはようー、ついにブロンズ卒業かあ
[108.757] norumon: んっ
[110.245] (S)カオカザリヒメフクロウ: おっす、早起きできて偉いね
[113.829] (S)オルコッ党員: 適性結局はブロンズなんでしょ・・？
[114.671] (S)おかかくん: おはゆ
[115.493] (S)toro721: おはーーーっす
[119.253] fujeylsub: ブロンズに似合わないbgm www
[121.803] (S)ﾄｪｪｪｪｲ: ﾄｪｪｪｪｲ subscribed at Tier 1. 
[122.130] toast_xxx: 誰！？
[123.546] (S)童貞卒業丸: でたわね
[123.659] (S)buriburiboo: naru04Ohayu
[129.791] norumon: ガチャ歯
[131.710] yuki_aion_aion: ぶっさ
[136.703] (S)オルコッ党員: 新キャラ？
[142.204] (S)lovepeace369: ポリコレポイント○
[142.345] (S)えぴっくさん: 問題ナイル川
[145.667] toast_xxx: ポリポリ
[148.815] (S)童貞卒業丸: おもろいって言ってる人結構見たな
[150.864] (S)qwop3456: 違うwあれはそういうマップw
[156.729] 虜ちゃん: FrankerZ100
[162.881] (S)ｸﾙﾐｯｯ: 今回衣装かっこいい
[169.719] norumon: 正義と悪が入れ替わった世界線
[182.864] (S)smantou: naru04Ohayu
[186.953] (S)ys_044: naru04Ohayu
[196.509] norumon: ウィドウのスキンかぁみ
[197.522] (S)童貞卒業丸: ウィドウかわよ
[201.005] (S)えぴっくさん: ウィドウ神スキン
[208.390] toast_xxx: いいじゃん！
[208.459] (S)くらげ1030: バトルパス神っす
[210.231] (S)TNTNBRN: naru04Ohayu
[215.713] (S)sigyuuka: うおおおおおおおおなるちゃんシーズン10だああああああああああ
[218.650] (S)lovepeace369: ウィドウ可愛くなったかー
[222.085] 趣味垢0817: おはよう！
[226.193] norumon: これ新ルール
[228.184] (S)sigyuuka: ハナオカ戻って来るの？？？？？？？？？？？？？？？？？？？
[229.025] chihaya0407: んっ、中身ハナムラ！
[231.514] (S)4tap_py: おはゆ
[232.842] jackpot_jp: おはゆ
[242.242] (S)オルコッ党員: １７日！？
[243.904] (S)くらげ1030: もともとあったマップのリワークですね
[255.610] フィン1115: おっす、さすがにシルバー戻るか？
[257.345] (S)qwop3456: owどんどん良くなってる感じするわ
[259.168] mary_sherry: おはよーなるちゃん！
[264.228] (S)MPR_mmm: naru04Ohayu
[266.615] kobayan86BRZ: ハナムラはくそMAPのイメージ
[267.304] (S)sigyuuka: 最初のハナオカってFPS史上最大の汚点だったマップだったけど流石にまともになるのか？
[268.848] toast_xxx: はい
[268.947] syouya13: なるお、おかえり
[271.940] fujeylsub: ハナムラがOW1にあってそれの改造版のはず
[276.481] のうきんちゃん: アナっぽいドゥーム
[276.601] (S)4tap_py: ハナムラってくっそむずいマップじゃなかったっけ
[283.008] (S)ｸﾙﾐｯｯ: w
[283.888] komay38: 健康なるちゃんウォッチありがと～
[284.016] catless: ｗ
[285.445] toast_xxx: やめな？
[286.518] (S)TNTNBRN: だっっさ
[288.638] tachiuo00: BibleThump
[291.554] (S)lovepeace369: 芋掘りスタイルやん
[292.226] (S)nattounever: おはようございやす
[301.285] (S)TNTNBRN: 善ソンブラかわゆ
[302.449] フィン1115: このソンええやん
[305.100] (S)オルコッ党員: バトルパス買おう
[308.981] のうきんちゃん: ハナムラ帰ってきたの！？
[309.794] (S)lovepeace369: 普通に可愛いじゃんね
[310.493] 水増し: 奥 ですか
[311.528] itigooooo: なるちゃんおはよー！！！
[323.113] syouya13: んっ！プレミアムバトルパス！
[323.273] (S)童貞卒業丸: 神スキンや
[325.299] densen_obl: えっちだねぇ
[327.135] のうきんちゃん: ただの人間やん
[327.625] てんしちゃん極: なるちゃん前ランクいくつ？
[328.886] (S)syake__salmon: syake__salmon subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! おはようー
[329.437] mary_sherry: オッドアイでええでぇ
[331.712] 趣味垢0817: 肌色って言うのがいいやな
[338.670] komay38: 魂キャラのスキンだし取っておきたいよな
[339.434] (S)qwop3456: 1000円やね
[340.579] (S)オルコッ党員: 月１０００とか？いくらなん？
[342.065] wakuwakusandayo: このゲームはちゃんと可愛いな
[343.141] np2np: 適正っす
[350.746] みや1021: ランクリセットされてる？
[354.018] (S)びんず: やっとなるおの時代きたってマジ？
[354.484] (S)童貞卒業丸: 買いやん
[355.324] (S)aosq77: aosq77 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[355.932] のうきんちゃん: ウィドウは変な肌の色だからいいんダルぉ！！！
[356.466] (S)オルコッ党員: ドン！ブロンズ
[359.595] (S)donpepper_0728: 最初が肝心
[361.035] norumon: 80までやるかな？
[362.439] (S)たべっ子水族館: バトルパスちゃんと最後まで回収したらお金返ってくるんじゃない？
[362.635] (S)TNTNBRN: リセットされてなかったわ
[362.694] (S)のばで: なるちゃんおはよ
[364.379] syouya13: 今シーズン珍しくランク引き継ぎみたいね
[373.746] (S)くらげ1030: しかも今シーズンから600オーバーウォッチコイン無料でもらえる
[374.435] (S)もじゃ変人: 引き継ぎなん！？
[376.529] (S)4tap_py: かわええなスキン
[377.866] (S)カオカザリヒメフクロウ: 引き継ぎ、あっ
[378.080] フィン1115: お金かかるの実質月1000円ならだいぶ安いね
[379.073] (S)オルコッ党員: 引継ぎｗｗｗ
[381.011] ナカムラデス: 雷神いいぞ
[388.588] toast_xxx: BibleThump
[388.817] (S)オルコッ党員: 解散！
[389.827] komay38: ブロンズおめでと～ｗ
[389.974] (S)たべっ子水族館: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[391.842] zeroG_1234: え
[392.031] (S)hiaaru: NotLikeThis
[393.137] (S)童貞卒業丸: え？
[393.368] (S)TNTNBRN: んっ！なるおはブロンズのまま！
[393.584] (S)lovepeace369: BibleThump
[395.673] (S)たべっ子水族館: やったあ！！！！！！！！！！
[395.707] みや1021: ブロンズの番人っす
[396.661] (S)びんず: BibleThump
[396.988] (S)のばで: 俺の認定はどうなるんや！！！！
[397.695] syouya13: まだまだ”ブロンズ”楽しめるぞ！
[397.907] (S)lovepeace369: 二度寝しよっか
[398.486] (S)tamachan_5: おはよお〜ん
[398.766] perushi8: ｗ
[398.777] のうきんちゃん: ブブブブロンズ
[399.674] (S)カオカザリヒメフクロウ: んっ！ブロンズ！
[399.990] jennifer2penguin: ブロンズから逃がさねえぞ！
[401.012] itigooooo: omg
[402.735] toast_xxx: よっ！番人！
[403.030] びーさん_: ブリザードなるおの事好きすぎるやん
[403.257] (S)donpepper_0728: ほよよー
[404.469] (S)オルコッ党員: 珍しいってそんなことある？ｗｗ
[405.153] (S)fumbi5566: また8％
[405.484] (S)童貞卒業丸: 一回やってみてくれ
[406.178] (S)がすいんニキ: おいーす！！
[406.353] hakobune_ghc: ブロンズ！
[406.466] (S)MPR_mmm: wwww
[407.172] (S)ys_044: ふふっ“適正”
[410.245] (S)4tap_py: ブロンズからニガさんッ！！
[410.842] (S)0001100111: ブロンズの番人！かっこいい！
[412.063] (S)くらげ1030: 連勝するぞ～
[412.541] (S)mayuge_dimension: ブロンズの王なるお、続投！
[412.664] オルちゃん: ブロンズにいろ！！
[414.349] (S)たべっ子水族館: ちゃんと見てみよう
[414.607] fujeylsub: リセットあったの全シーズンだけっす🥹
[415.219] wakuwakusandayo: ブロンズの門番
