[24.164] トイメン: うぃーす
[25.862] (S)日本語かな: おはよ
[26.068] moppu_gake: きたーーーー！！
[27.658] (S)Brokenface_Decoy: naru04Uooo
[28.751] tomiku444: ちわー
[29.143] (S)lovepeace369: きたあああああ
[29.352] (S)haun27: naru04Ohayu
[29.563] カオカザリヒメフクロウ: うーっす
[29.587] こうき51: naru04Ohayu
[29.795] Reborn7031: batoraSushi
[30.273] クライドフロッグ: おはゆっちょ
[31.019] 味噌ゴリラ: こんちわー
[31.090] (S)goroumaru_mk: オナル～ン
[31.324] (S)がすいんニキ: はいおはよー
[33.758] サーラ_スペースアヒージョ: こんにちわー
[34.130] (S)そあ1524: おざす
[35.146] (S)あやたかたか: naru04Ohayu
[36.740] (S)umakatsu_chan: こんちは
[36.948] (S)とみーる: naru04Ohayu
[38.006] milktea_love2434fun: こんちゃす
[38.639] (S)なるおに命捧げたい: こんにちはー！
[41.081] moppu_gake: 大人気ストリーマーのなるおさん！！？？
[43.456] (S)雑食: おはゆ
[43.661] ごたんだーぐ: あ、売れっ子だ
[44.598] (S)tec_0419: おはよー
[47.324] (S)yukapero_14: こんちわー
[49.024] 粉シタン: naru04Ohayu
[50.693] (S)Brokenface_Decoy: "待ってた"って訳
[50.887] カオカザリヒメフクロウ: 解説の仕事頑張ってな
[51.307] ima_son: naru04Ohayu
[52.959] Jekuxi109: ゆ
[55.293] (S)がすいんニキ: 解説枠おめ！
[55.898] tomiku444: naru04Ohayu
[57.428] (S)井上リ: 選手辞退すんのけ
[59.556] shapurasu: こんにちは
[59.976] (S)kame3_shun: あ、画像のど真ん中に配置してもらった人だ
[59.991] ノリリ: おはようー
[60.604] kantotto: はいこんにちは
[60.702] (S)えぴっくさん: 待ってましたー！！
[61.262] さだ0: うーっす。解説で出るんか
[62.198] jamxqc: ZETAなるお
[62.632] ムズハ: ちわー
[63.056] narumeron: すしくった？
[64.336] (S)emptyeyes666: 解説枠まーーーーじか
[65.806] (S)まあたい: naru04Ohayu
[68.432] (S)いーすとまん: こんにちは“解説”のなるおさん！
[69.103] (S)そあ1524: APEXみたいなシャツ似合ってたぞ！
[69.276] (S)とみーる: 大会は普通に出るの？
[75.116] (S)がすいんニキ: 念願じゃんねぇ！
[76.764] (S)オルコッ党員: 新しい宣材写真撮ろうぜ！
[80.959] (S)ｸﾙﾐｯｯ: おはようです
[84.637] (S)kaito428k: こんちは
[86.450] ブリリアントよしこ: naru04Ohayu
[88.262] カオカザリヒメフクロウ: w
[88.487] (S)lovepeace369: 解説がんばれー
[89.009] (S)あやたかたか: でも勝ち進んじゃうから席座れないねえ
[89.353] (S)emptyeyes666: 壇上上がったら解説できないじゃんねえ？w
[90.026] (S)雑食: ｗｗｗ
[90.650] (S)すぐるん: 横浜のデーモン閣下こと佐藤成さんですか！？
[90.774] (S)いーすとまん: Wwww
[90.977] (S)なるおに命捧げたい: wwww
[94.745] (S)yukapero_14: おおおw
[94.791] (S)オルコッ党員: www
[97.641] camage0117: XQのお腹どうでした?
[97.733] (S)井上リ: 空き時間でバイト！感覚の解説
[100.258] (S)雑食: 光の笑顔
[100.732] (S)とみーる: 直近すぎる
[100.967] クライドフロッグ: 閣下リスペクトで実況解説しない？
[102.855] (S)そあ1524: 一人だけ画質が 
[103.498] (S)459dmaito: naru04Light
[105.496] びーさん_: 不思議とかみちゃんの顔に似てたな
[106.835] (S)あやたかたか: Tシャツがまんま昨日のだったな
[106.855] (S)十景: 昨日はもっと対戦したかったね
[113.183] 冷血_: 解説のなるおさんちっす
[113.363] ポカおじ: なるおさん有明のホテル取れました？
[116.145] (S)kiryuu27: こんにちは 半年振りに仕事決まりました
[119.074] ハゲエギル: naru04Ohayu
[119.694] (S)いーすとまん: Twitterのなるおファンガがおお喜びしてたよ
[123.953] (S)nononono_uhoho: naru04Ohayu
[126.295] (S)オルコッ党員: ホカホカか
[127.328] (S)gazesd: 解説なんだ
[129.982] ライム_: 今更！？？
[130.290] (S)takasi4649: naru04Ohayu
[130.831] (S)_おろ: kyamijo subscribed with Prime. 
[133.110] (S)banzokuu: naru04Ohayu
[138.454] (S)みなぷ080821_: naru04Ohayu
[139.883] (S)井上リ: もう部屋ねーだろ
[140.212] (S)オルコッ党員: 取るんか？日帰りって言ってたのに
[144.235] チアリーダー: XQさんの乳の揉み心地どうだった？
[145.502] カオカザリヒメフクロウ: 宣材ぐらい用意しときなさいよ
[146.192] (S)オルコッ党員: 高いぞー
[155.888] (S)めしをくえ: こんちゃっす！
[159.948] moppu_gake: ゼータ広かった？
[162.946] サーラ_スペースアヒージョ: 次のアプデでスト6の解説になるおが入ってくれるんかな？
[163.148] mi_kd: あるのか？
[166.340] うーたんんんっ: こんなるー
[167.419] (S)そあ1524: 宣材欲しくなった？
[167.912] ポカおじ: もしかしたら安く融通できるかもなんでLINEしますわ
[168.118] Elaiza04: こんにちわ〜
[169.816] (S)けめこ___: こんにちは～
[169.842] (S)雑食: めちゃ広かったかｗ
[170.345] (S)emptyeyes666: 今見たけど無職感すごいなお前の写真
[171.094] (S)henya1210: naru04Ohayu
[177.395] 冷血_: 聞き取れなかったけどEVOjの宿の話？
[179.831] (S)tec_0419: ホテルまだ空いてるのかね
[180.024] (S)_おろ: じゃあzeta入っちゃうか～～
[180.863] (S)しんさく: おはよー
[182.684] (S)nanno114: ここ一年二年でホテル代ばか高くなってない？
[184.758] びーさん_: ポカおじ何者なんや…ｗ
[185.825] (S)オルコッ党員: あの部屋だけでも広かったね
[191.624] カオカザリヒメフクロウ: ひとりじゃできないもん！
[194.626] neppy02: EVOJなるちゃん選手は試合には出ないってことなんですか？
[195.965] Elaiza04: ZETA対戦会どうでした？
[198.422] (S)そあ1524: ホテおじ？
[208.443] (S)emptyeyes666: ホテおじありがとーーー
[209.302] (S)しんさく: なるのおの宣材写真まじで無職感あっておもろかった
[209.471] びーさん_: 去年のEVOと同じ人だよね？
[209.890] カオカザリヒメフクロウ: evoにも行ってた人？
[212.414] (S)henya1210: マージか
[212.936] (S)オルコッ党員: ホテル経営者か！？
[214.883] SANA10023: すげぇ
[214.895] neppy02: 楽しみにしてます
[215.694] ponponpawn: 解説枠だとスト6の勝敗関係なく3日ともいる感じになったんか？
[220.933] love_2nd: 昨日最後の方リュウで釈迦さんに負けてなかった？
[225.130] カオカザリヒメフクロウ: ポカおじいつもありがとう
[226.803] soil2_: naru04Ohayu
[226.897] (S)syake__salmon: こんにちは！
[229.335] (S)けめこ___: 見てて楽しかった、対戦会
[232.515] (S)yakamotsi: XQさんの乳揉んできたって聞いたぞ
[232.719] natsume1313: ついに公式から呼ばれるようになったのか！すごいな！
[234.556] うーたんんんっ: 朝行ってそのまま夜試合ってこと？
[235.026] (S)henya1210: 売れっ子やん
[237.009] bousui_jp: 売れてます
[237.111] sndkzfm1: 売れたやん
[243.335] (S)みなぷ080821_: これは売れっ子
[243.998] (S)_おろ: 無職なのに、、、
[246.587] (S)とみーる: オフでやるのすげー楽しそうでやってみたくなった
[247.725] (S)そあ1524: こくがめっちゃ負けてた 
[247.984] (S)モレオ: なるたそ～
[248.946] sndkzfm1: 無所属でも仕事あるってわけ
[249.250] ライム_: 無職のくせに生意気な
[249.508] チャミさん: こんちわです
[251.284] (S)オルコッ党員: フリーでのお仕事色々増えていいねえ
[251.768] 冷血_: 前に送った条件ならまだいけるけど
[253.505] ねねと: 無職の格ゲー界で1番売れてる
[254.181] サーラ_スペースアヒージョ: 売れてくれて嬉しい
[257.881] jackpot_jp: ohayuttyo
[258.836] (S)ctama999: ホテル前日しか取ってないからプール抜けたら、ホテル探しから始まる
[267.867] (S)otera_8989: XQQとめっちゃイチャついてたやんwww
[276.522] mishirannuko: naru04Ohayu
[283.828] 大失言: あの人若いんだっけ
[285.633] (S)TNTNBRN: naru04Ohayu
[287.569] (S)亞ゼファー亞: こんにちわ！
[287.911] ringfit_norimitsu: ビュッフェ持ち帰れた？
[288.767] moppu_gake: owの輪が広がったねー
[293.618] moririka755: 好き❤️
[294.238] (S)あやたかたか: もっと揉んだれや、胸
[298.810] (S)じめさぎまん: 高木と対戦した？
[300.422] hs19840706: こんにちは〜
[301.114] gumi69: なるたそこんちゃーオーバーウォッチ待機
[301.422] sndkzfm1: Punkが釈迦さんとツーショットしてたの草
[301.613] うーたんんんっ: あっちの好きでしょなるおは
[302.161] (S)モレオ: 昨日どのくらい楽しかったか教えてくれ
[302.715] XTVYVTX: ありけん初見だと縦のデカさにみんなビビるらしいね
[303.574] 冷血_: うい
[304.969] jennifer2penguin: チームにスカウトされたか？
[305.354] (S)yukapero_14: ほんといいメンバーだったよね
