[17.230] furukawaxd: ういいい～～～す
[30.458] (S)miyami022: naru04Ohayu
[31.786] ちゃんはら: がんばれー
[32.621] (S)あばない: うい
[33.572] ~MISSING_COMMENTER_INFO~: naru04Ohayu
[38.831] (S)くらげ1030: naru04ATM
[39.439] chikin_nakigasuru: おつっす
[42.573] べっくさん: がんばれー
[42.590] (S)0001100111: うい
[46.028] chikin_nakigasuru: がんばれ
[46.467] Fluoro32: おじゃす
[47.711] nia516: 頑張ってー
[48.206] (S)きたむら__: naru04JugWIN
[48.362] (S)たけのこ1234: BloodTrail
[48.653] kurohata300: おっす女に囲まれてるらしいな！頑張れ！！
[51.308] moriyama02: がんばれえええええ
[51.512] (S)ken_the_dawg: naru04GOGO
[53.808] osamuraisanz: 応援しとるでー
[57.064] (S)イタめし: naru04GOGO
[57.262] cowpander: なんでこんな縦長画面
[57.329] tunguska97: naru04Ohayu
[57.596] すれこみ: うーーーすがんばれー！
[58.916] (S)0001100111: 後ろになかやんおるで
[61.871] (S)あばない: 飯とか食えるとこあんの？
[67.339] yochibi2525: 画角でかくできないのか
[69.111] いつほし: naru04Ohayu
[69.977] kaworuko19: おかえり
[80.793] こてがわわ: がんばってくれーー
[81.379] あめちとせ: 今から試合？
[85.465] (S)459dmaito: 応援するぞーなるちゃん！
[91.392] Fluoro32: おぼさんとこから来ました。こっちは安定してますね
[92.184] いつほし: 後ろになかやん居るぞ
[92.431] (S)haun27: naru04Ohayu
[92.575] (S)カモメンダコ: 縦画面w
[93.915] pepegaaim3: 縦限定？
[94.864] tinas_twitch: がんばれ～～～！！！
[95.550] (S)_かぴ: なるちゃんこれから？がんばって～！
[95.790] (S)mizzle7993: 後ろにあーしもいますっと
[103.713] (S)いーすとまん: きたか！
[104.129] fumbi5566: ついにきたか
[104.319] (S)ひとツブ: がんばれー
[105.156] (S)yaminoiiii: なるなるー
[107.900] pnpn__515: ゼロストがw抜けしたらしいな ストリーマーもバチバチや
[109.041] bitou0: あーしみてるよ
[109.338] ギガゾンビ: おすおす
[110.490] oniku315: がんばれーー
[110.578] (S)gokan_sanpo: naru04Ohayu
[112.047] kaworuko19: 長かったなー
[112.861] (S)いーすとまん: 頼むからよこにしてくれ！
[113.865] (S)きーた叔父: がんばれー！！
[116.471] (S)ジャスパ単騎待ち: FJJおっすおっす
[120.260] cowpander: 解説お疲れ様です
[120.472] (S)ぴっぴ_014: がんばー！
[120.549] SuperMaguro: がんばれー
[121.970] X_March_X: がんば」
[122.668] yamy_r: しゃかさんと時間被ったかー
[124.215] いつほし: 横向きで持てない？
[126.576] あかなめ: 縦画面じわる
[126.896] (S)くらげ1030: 眠気やばそうや
[127.996] itigooooo: なるちゃんがんばー！！！！
[130.523] hs19840706: こんばんは〜
[132.531] (S)カモメンダコ: カモメが飛び子 subscribed at Tier 1. They've subscribed for 8 months! 
[133.382] 7qojisan: ファンサおつかれさん
[134.688] 琥珀糖: naru04Ohayu
[135.438] X_March_X: 解説もしてたしね
[135.481] ﾁﾙ: うい
[136.372] (S)ジャスパ単騎待ち: モニターの真ん中陣取れよ！
[136.657] (S)mizzle7993: めっちゃ声かけられてたじゃんねえ
[137.160] (S)Mr_Qsuke: １日なげーな
[137.519] 山もっちゃん: ３分の２黒画面や
[139.953] kabiyuki: なるちゃんあと何戦？
[141.008] (S)simetu_no_maeba: がんばれー
[142.422] (S)banzokuu: naru04Ohayu
[143.234] (S)ヒュウ: 仕事おわった、間に合った！？
[143.931] pnpn__515: なかやんに塩対応やめてね 
[145.577] X_March_X: なって
[146.098] cowpander: なったああ
[146.264] rumble0824: お
[146.332] いつほし: おおおおお
[146.367] こてがわわ: いけてる
[146.503] ちゃんはら: お
[146.550] (S)いーすとまん: それー！！！www
[146.552] (S)ゆずまんじゅう_: こんばんは～がんばれ！！！
[147.176] (S)あばない: なった
[147.279] tunguska97: naru04Kei
[147.403] (S)mogai555: 対戦とろうか？
[147.422] sashimi031: お
[147.493] 山もっちゃん: きたああ
[147.620] あめちとせ: きた！
[147.834] hool2423: おけ
[147.838] (S)れいんぴ: なった！
[147.845] yyydaryyy: 解説よかったです！！
[148.139] amumurin_: いいよー
[148.291] hizhuwa: 神
[148.428] itigooooo: 横なった！
[149.115] (S)Mr_Qsuke: よいよい
[149.456] すれこみ: うおおおおおお
[149.941] いつほし: なってるー！
[150.123] (S)yaminoiiii: なった！
[150.130] れんぞね: 横なった
[150.882] hs19840706: 良いっす
[151.132] あかなめ: ありがとう
[151.160] katanantoka: OK
[151.420] (S)くらげ1030: 横になった
[151.680] kurohata300: なった！！
[151.990] (S)いーすとまん: みやすーーーーー
[153.361] camel0141: いいやん
[153.937] cowpander: おっけーおっけー
[154.706] Fluoro32: あざす
[155.528] (S)アブーラ: ありがとう
[156.292] (S)ジャスパ単騎待ち: あざす
[157.011] khaaaki: sasaOja
[157.351] kaworuko19: 一人でできるもん！
[157.814] hasahemo: shakaLg
[158.068] (S)0001100111: なるきゅんの顔ドアップたのむ！
[158.076] (S)gokan_sanpo: 出来んじゃんねぇ
[158.712] ライム_: どーもー
[160.421] (S)TNTNBRN: 横ですか応援します
[161.522] あめちとせ: めっちゃ見やすい
[166.549] (S)いーすとまん: よかった
[168.407] あきがクラ: おおおお～～～きちゃ～
