[3.047] (S)モヤ_ハレワタール: わろた
[3.238] kannonsama: なるおの彼ピッピいたか
[3.405] (S)やくりのやっさん: こーれかれぴっぴBANです、と
[3.760] ナゴリユキ: かれぴっぴBANww
[4.427] noelel_l: え？
[6.502] X_March_X: 彼ピッピ
[6.975] ponponpawn: 塩が足んねぇよ
[7.757] (S)マラリンティウス: なるちゃんお疲れー
[11.603] 亞ゼファー亞: wwww
[11.617] razorwind: jp bros please help lol
[11.973] (S)teitei0343: 彼ピッピって、なるおの！？
[12.083] ライム_: 戻ったか
[13.491] camel0141: お気持ちDM
[15.370] (S)じーのっぽ: かれぴっぴの能力により配信終了
[15.390] nakamurahima: 無職から大切なお知らせ
[15.907] roziurara: さすがに？
[15.916] (S)とみーる: 配信戻ったらなるちゃんは消えてんだろうな
[16.406] みちのこ: いやくさ
[16.825] taitei_ok: ｗｗｗｗ
[16.995] VELLLLLLLLLLLL: 彼ピッピＮＧかー
[20.368] (S)もふもふ食パン: ('w')!?
[21.702] kuronicl: @heavenscloud07 https://www.start.gg/tournament/evo-japan-2024-presented-by-rohto/event/evo-japan-2024-street-fighter-6-2/brackets/1636334/2442766
[22.478] (S)いーすとまん: なかやん対策がはやい、さすがだね
[24.747] ddsato316: おじさんの彼ぴっぴは許されない
[29.597] (S)きそば: 彼ぴっぴBANから
[30.270] (S)ｸﾙﾐｯｯ: 通信破壊つよ
[30.481] ookotoa: 戻った
[35.116] (S)lovepeace369: んだよ…なるお、ゲイならゲイって最初から言ってくれよなぁ！？
[35.147] masa_7_7: あー、なるほどw
[36.157] ライム_: すーぐ肩組む
[36.603] ramune_since1973: おわげき
[36.905] (S)いーすとまん: Ksk?
[38.088] (S)hiroumi_sea: あー、なかやんか
[38.814] ishiwata1234: 終劇かれぴっぴ一閃！
[39.280] (S)けめこ___: よかった
[41.644] taitei_ok: まーた抱く
[44.443] (S)nononono_uhoho: 神対応
[45.359] (S)オルコッ党員: 更新で戻った
[45.573] ナゴリユキ: なんか肩組んでる
[46.464] (S)gandalh: naru04Owa
[47.362] _もずく_: なかやんポロリでもした？
[50.346] 亀の甲より柴咲コウ: このヤリモク！
[50.602] (S)雑食: naru04Owa
[55.917] IMULTA: 復活した
[57.441] mahoro_ch: たどり着けない
[57.919] (S)やくりのやっさん: はよいけやｗｗ
[57.981] (S)もじゃ変人: 戻ったわ
[59.045] noelel_l: 音ズレは治らんか
[59.207] ライム_: ガールもいます
[61.508] (S)hiroumi_sea: なるガーーーール
[62.936] (S)teitei0343: 進めないw
[63.347] (S)nononono_uhoho: 大人気無職
[64.360] saibabasan: もどった
[65.051] (S)いーすとまん: 彼ピッピ？？
[66.908] ゴルバチョフポリ公: なるガール
[67.079] bebebeeell: なるちゃんの番はまだ先よ、今ルーザーズ1回戦だし
[69.005] (S)ボブ牧原: さっきの塩が嘘みたいな神対応
[72.540] (S)simetu_no_maeba: ファンサでDQか？
[74.093] namba03: なるガールでも肩組んでくれる？！
[74.115] (S)canaan_99: ロードで戻るよ
[78.114] 生のイモ: おんな？！
[78.347] porutan114: 神ファンサDQ
[79.586] (S)オルコッ党員: なるがーる
[81.803] ゴルバチョフポリ公: すまん、なるおに嫉妬しても良いか？
[81.979] choco_mint6: 戻った
[83.595] (S)gokan_sanpo: まーたガール
[84.850] IMULTA: トナメ見るかー
[85.790] (S)gandalh: ロードしたら戻った
[86.316] (S)やくりのやっさん: ファンサDQしたら笑う
[88.525] tukune51: なるガールはお触りNGです…
[89.454] 亞ゼファー亞: なかやんとは別対応w
[89.590] 藤堂21: なるおファンサすげー
[90.122] toro0524: なるおの努力
[92.283] 亀の甲より柴咲コウ: さっきのザンキ使い強かったなー
[92.533] (S)MasudaTheMenace: モテるねえ
[93.011] IMULTA: トナメ表
[95.391] okclover_: マゴ配信行くか
[97.214] (S)neonkzsyou: 時間大丈夫か？
[98.105] kuronicl: @heavenscloud07 なるお => naruo
[100.449] おかあさんいつも: なるお監視されてんのきついな
[103.530] nakamurahima: こんなかわいいこがなるガール
[104.194] choco_mint6: モテモテだねぇ
[107.905] masa_7_7: こんな可愛い娘と…
[107.982] IMULTA: いかつい野郎さん凄かったねー
[113.693] ~MISSING_COMMENTER_INFO~: しゅーとふぁんが
[113.926] bebebeeell: 時間後10分は大丈夫
[114.346] X_March_X: DQの匂いが
[115.783] (S)どすこい3: こーれDQです
[117.313] 生のイモ: なるお売れちまったな
[119.802] アバシリ_カンゴク: ももちさん本田にどすこいされたってマ！？
[120.181] (S)teitei0343: なるおま〜た「いや〜イベント女の子多くてさ〜昔なら考えられないよね〜」とか言い出すんだろ〜？
[120.910] mitsuo157: 可愛い子には手厚い対応ですか
