[5.904] stoner3322: Twitch反社認定
[7.031] aiueo03: 完
[7.551] noel_underson: バンバン丸
[12.683] 月緋ふうら: w
[12.822] えいす7: かえってきた
[12.914] (S)やくりのやっさん: 顔パンパンやな
[14.473] shunin77: うまいかなるお
[14.783] ramune_since1973: 戻ったよ
[16.413] X_March_X: 反社が消えたｗ
[16.926] (S)Bron61: 見れた
[17.493] (S)hiroyagi_: なおった
[19.075] Fuxia__7: んまそ
[19.412] ミーキー: ほんとに反社みたいでおわったw
[20.528] bondobonb: 何事もなく帰ってきた
[21.422] あろえってぃ: おかえり
[21.627] (S)0001100111: お手手クリームパン
[23.317] (S)teitei0343: 天気良いな〜
[24.766] spellbound0401: 植田さんもっとみたかった
[27.727] (S)miyami022: びっくりした
[28.406] (S)~MISSING_COMMENTER_INFO~: 鉄人は危険
[40.547] X_March_X: 食リポたのむわ
[42.082] (S)homezon: なるおさんまだ残ってる？
[51.868] (S)teitei0343: なるちゃん敗退っす
[52.131] (S)ジョニー中本: PCでもガックガクなのそっちやーばいね
[52.392] (S)henya1210: 負けたっす
[59.510] さだ0: なりおはナウに負けた
[63.539] (S)かるぱちた: なるおはおわです
[77.676] テンカワ: なるおとブンさんって接点あったっけ？
[78.432] (S)hiroumi_sea: 電波あやしいなー
[80.759] jangfuran: 外の方が電波弱いのかな
[81.930] X_March_X: とまるとまる
[84.203] (S)teitei0343: 草原も重たそう
[84.419] (S)ｸﾙﾐｯｯ: んー、とぎれる
[89.429] おかあさんいつも: ロートしても負けちゃいます
[97.068] Wak24: すーごいぶつぶつ
[100.404] (S)nononono_uhoho: おつかれした
[100.510] (S)やくりのやっさん: 配信がっくがくっす
[102.806] えいす7: ナイスファイトだった
[103.485] (S)オルコッ党員: ちょいちょい止まるね
[103.884] (S)homezon: 負けちゃったかおつかれっす
[105.475] (S)ジョニー中本: あ途切れないように4:6にしてたのね！
[106.337] (S)えむしーぽんぽん: がくがくっす
[107.722] (S)10jqka: けっこうやばそう
[107.968] X_March_X: もうちょい奥行ったほうがよさげ？
[111.685] (S)めしをくえ: 昭和の配信見たくなっつるｗ
[114.567] (S)可愛い嘘のカワウソ: PopNemo
[115.825] おかあさんいつも: 電波だめやな
[120.163] misherururu: がくがく。
[120.164] nakamurahima: さっきのガチで植田佳奈？
[120.847] saibabasan: 奥は電波はいるから奥いったほうがいい
[122.252] nurararasub: 配信めっちゃ止まる
[126.557] (S)mojamoja314: 勝ったナウマンは今ゲマビとやってる
[128.416] maneuver33: 外電波悪め
[129.878] nameko0042: あ
[130.222] hogelabo: うまいか？
[130.485] あかなめ: www
[131.279] senritsu_mayo: おつかれさまでした
[132.181] (S)ｸﾙﾐｯｯ: 食レポ頼む
[132.727] (S)teitei0343: 泣いてる？
[133.029] X_March_X: うまい
[135.248] puyo2007: おわった
[135.863] (S)~MISSING_COMMENTER_INFO~: あ
[136.014] (S)えむしーぽんぽん: ニコニコか！？
[136.549] (S)13eeb: NotLikeThis
[137.940] (S)ジョニー中本: おわったｗｗｗｗ
[140.521] 四足歩行の民: 泣いてるw
[141.279] おかあさんいつも: あ
[141.964] ksn0127: あ
