[27.728] tunguska97: 実家帰ってきた
[29.331] (S)10jqka: マゴさんいまやってる
[34.804] amumurin_: ヤニタイムか
[35.691] aiueo03: 安定してる
[35.886] (S)間宮_: naru04Ohayu
[38.029] ramune_since1973: 誰かいそう
[38.137] X_March_X: ちょうど戦ってる
[41.051] (S)teitei0343: お〜戻った
[41.893] takebanban: マゴさんずっとミュート
[42.037] (S)ジョニー中本: ヤニっけい！！
[44.867] (M)(S)Nightbot: 配信で盛り上がったポイント、切り抜いて欲しいポイントのクリップご協力下さい！「タイトルを付けて」作成して頂けると探しやすくて助かります！
[45.434] (S)nononono_uhoho: 切れないね
[45.935] ほねこっぷ: マゴさんか
[47.417] (S)オルコッ党員: 安定戻ってきた
[50.119] X_March_X: 負けちゃった
[50.881] (S)apacheconf: マゴさん負けた
[52.867] crooow1: マゴ負け
[53.764] (S)たべっ子水族館: まごさんまけた
[56.619] (S)teitei0343: この空間白いな〜
[58.690] (S)オルコッ党員: 負けたかー
[58.956] number29yona: マゴさんホットドッグエドに負け
[62.402] (S)ｸﾙﾐｯｯ: もくもくブース
[62.589] vasano000: オアシス
[62.654] えいす7: しっろい
[63.143] (S)Bron61: ヤニ溜まりえぐ
[63.952] (S)teitei0343: けっむ
[65.139] (S)MasudaTheMenace: えむい
[65.202] ほねこっぷ: 負けたかあ
[66.245] lilihope: ヤニ部屋ええなｗ
[68.362] (S)えむしーぽんぽん: 喫煙所盛ってる
[68.367] 破天荒田中: ﾓﾜﾓﾜ
[68.440] あすか002: ヤニカスのつどい
[69.232] nakamurahima: おなじみヤニ部屋
[69.872] (S)nononono_uhoho: 画面越しでくさい
[69.978] (S)10jqka: けっむ
[72.336] (S)めしをくえ: またたばこかｗ
[73.303] (S)らぷ_: 喫煙所空気悪すぎんだろｗ
[73.521] X_March_X: 昭和のけむっぽさ
[74.185] lilihope: どんよ～り
[74.411] (S)オルコッ党員: 画面白いよ！（物理）
[74.489] (S)ジョニー中本: かーべまっ黄色！ｗ
[75.252] (S)~MISSING_COMMENTER_INFO~: 激臭
[75.406] れいんちゃ: ヤニヤニしてきた
[75.673] (S)けめこ___: 室内の色がすごい
[76.028] (S)nakayubi15: 濃霧
[77.264] akisaury: 毒ガス室
[77.706] tanakatarou110: ガス室
[78.405] デスマーチ: もくもく
[84.082] Deaxxaed: マゴはも。。。
[84.355] alumasu: なんだこの空気の差はw
[85.244] dechi04: sakoさん終わった
[86.934] amumurin_: 毒ガス室wwwww
[87.202] X_March_X: ｗｗｗ
[88.495] (S)teitei0343: え、この壁の色ヤニw
[88.752] (S)どすこい3: 空調過労死
[88.932] (S)MasudaTheMenace: サコさんお疲れっす
[90.444] (S)sin3_777: ヤニ部屋すっごい臭い
[90.683] (S)ジョニー中本: sakoさんおわっちゃったんかぁ
[93.262] (S)めしをくえ: めしバードとサコさん
[94.193] たかゆきくんさん: ITKさん鶏めしさんか
[99.668] (S)nakayubi15: ダルシム勢も
[101.058] (S)オルコッ党員: あら おつかれさまー
[101.246] guest324438: 鶏めしさんやん
[101.254] ほねこっぷ: sakoさんお疲れ
[101.831] (S)teitei0343: ライスバードもいる
[102.949] (S)nononono_uhoho: とりばーど
[103.703] camel0141: マゴさんルーザーズ
[106.427] 仙波さくら: 非喫煙者がここに入れられたらマジでキツそう
[106.692] (S)TNTNBRN: キチパもいたぁ
[107.983] lilihope: 皆負けとるなぁ
[112.464] kogekogel: マゴさんルーザーズです
[113.731] ninnin: すげー部屋だな
[117.758] azuto_k_: ジョジョ太郎君負け
[119.838] (S)teitei0343: sakoさんも吸うんや
[120.056] (S)ハイドレンジア: ここだけ昭和のゲーセン並みにモクモクしとる
[122.170] あすか002: マゴさんもルーザーズだっけ
[123.058] sumo_102: 副流煙地獄
[130.724] (S)simetu_no_maeba: まぁ…6人しか残らないもんなぁ
[135.806] masjgfs: おまーご今さっき負けた
[144.208] イイタマゴ: 今残ってるの誰だろ
[144.525] ほねこっぷ: 6人はきつい
[145.815] (S)毒見ユッケ: タバコない人は副流煙乞食しる感じだ？
[148.672] (S)奈良の大仏大炎上: サウジ無名の人が招待される可能性あるだろうな
[152.364] kaworuko19: 記憶力いいよななるお
[153.803] X_March_X: がんばって
[154.057] (S)みなぷ080821_: マゴさん今HOTDOGに負けてルーザーズだね
[154.263] (S)ジョニー中本: 喫煙所でも大人気
[157.690] (S)ハイドレンジア: マゴさん遠泳開始か
[158.212] (S)teitei0343: よう覚えてる
[160.884] namba03: なるちゃんおつかれ！
[162.409] spellbound0401: 誰が残ってるんだろう
