[20.852] (S)tec_0419: おはよ～
[29.305] ramune_since1973: こんぱんは
[31.614] arare_1567: こんばんわー
[31.985] (S)banzokuu: naru04Ohayu
[32.174] (S)kamisorilemon: ウィっす！
[32.223] (S)もじゃ変人: おいす
[33.881] 健康な野菜: うーす
[33.918] (S)ナイト894: naru04Ohayu
[34.773] winqod: おじゃ
[35.622] 亀の甲より柴咲コウ: おす
[35.680] (S)つかだ: naru04Ohayu
[36.057] マジでお前誰: おじゃ
[37.597] (S)そあ1524: おざす！
[37.871] mitsuo_3: こんばんは！！
[38.045] (S)なをくん: おばんです
[38.200] (S)えじお0623: おっす
[39.206] (S)Lambda_Delta_: naru04Ohayu
[40.193] (S)もじゃ変人: シュートブランカなのか？
[41.712] (S)Build_kuma3: naru04Ohayu
[41.779] (S)hiroumi_sea: 大将おつかれー
[42.472] (S)ごや58: naru04Ohayu
[43.030] いつほし: naru04Ohayu
[43.629] ima_son: naru04Ohayu
[43.765] (S)serah_4351: naru04Ohayu
[44.591] 7qojisan: ようデブ
[48.064] arare_1567: naru04Ohayu
[48.290] (S)ジャスパ単騎待ち: おっす
[50.066] ramune_since1973: 今日はワイプなしですか
[50.667] Foy_21: naru04Ohayu
[52.508] (S)そこない: naru04Ohayu
[53.919] (S)StrongToshimichi: うっす総大将
[54.063] (S)ynoyeu: 調子はどうよ
[54.323] (S)けめこ___: こんばんはー
[55.720] ginger0012: naru04Ohayu
[55.734] (S)xxxkannoxxx: naru04Ohayu
[57.686] 27歳男性: おっす
[58.864] (S)なるおに命捧げたい: なるおに命捧げたい subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[59.055] (S)ごまたまご: うっす
[59.348] (S)takumaru23: naru04Ohayu
[59.565] (S)k_h_ipppp: naru04Ohayu
[61.731] (S)オルコッ党員: おざっす 結局でかけた？
[63.693] (S)チャミさん: naru04Ohayu
[65.118] (S)後藤ふたり: naru04Ohayu
[65.922] noripe99: naru04Ohayu
[67.974] 久遠はぶいちゅーばー: なるちゃんおいっす！
[69.709] hoemin247: naru04Ohayu
[71.064] (S)そあ1524: 22時まで何するの
[72.763] いつほし: 今日は風呂入らなかったのか…
[73.345] LooseDash: あ
[80.122] 超ゲジゲジ: なんで
[87.081] (S)なるおに命捧げたい: naru04Ohayu
[90.493] (S)オルコッ党員: 無職なのに働きすぎだぞ
[91.061] ざんまい: どもー
[91.932] fuyuki6660: naru04Ohayu
[96.491] (S)ｸﾙﾐｯｯ: こんばんはです
[96.696] (S)えぴっくさん: こんばんは！
[99.009] (S)ごまたまご: 年齢のせい？
[102.094] (S)sakuyama303: ケーシィかよ
[102.849] (S)27歳男性: 27歳男性 subscribed with Prime. They've subscribed for 3 months! やべ、切れてた。無理すんなよ
[106.225] shi_e_n: 連日お疲れ様です
[109.544] (S)みなぷ080821_: みなぷ080821_ subscribed at Tier 1. They've subscribed for 3 months! 墓地からヤバいの持ち帰ってない？
[110.031] (S)いーすとまん: こんばんわ
[111.177] natsume1313: 銭湯でもいけば？
[112.353] TROI_Just: よー あれ？今日は面談じゃなかったの？
[116.261] red_bird_oo: naru04Ohayu
[120.157] naowex: naru04Ohayu
[130.319] (S)haun27: naru04Ohayu
[138.500] (S)amakara2525: naru04Ohayu
[140.661] いつほし: おおお
[141.838] TheYamaZaki12: Z
[143.771] hoemin247: おー
[143.825] red_bird_oo: よかったね
[147.092] (S)459dmaito: Z
[151.594] NoE_vivre: ひろみきありがとーー
[152.902] hoemin247: めちゃ頼もしいね
[154.039] 亀の甲より柴咲コウ: 適任やね
[157.977] schroeder3232: 板Z
[164.508] LooseDash: ひろみきね
[165.363] hoemin247: ww
[165.585] fuyuki6660: おー
[167.196] (S)kamisorilemon: 今考えたらなるちゃんがCRCUPに出て大将やるって誰が想像した？？凄いことよね。
[169.517] TROI_Just: そういやなるおのチームのあかりんって人がヴァロ48時間したってコメントあったけど、まじ？
[169.647] (S)ごまたまご: naru04ATM
[172.411] (S)いーすとまん: これ以上ない適任者
[174.757] (S)baruo25258: naru04Ohayu
[176.492] マジでお前誰: ブランカ嫌やね
[176.533] 琥珀糖: naru04Ohayu
[178.325] i_876_12: naru04Ohayu
[179.876] Tapnin: スクリムマリーザで本番ブランカのがやばい
[184.742] (S)みなぷ080821_: いきなりの
[200.083] nyannyannyan11: ヴァロ廃人だね
[200.897] いつほし: ブランカ一朝一夕じゃ対策むずそうだよなあ
[202.063] NoE_vivre: スト6もとんでもない時間やっとる
[202.862] (S)ごまたまご: 全部当たっつる
[203.649] (S)hiroumi_sea: あかさんスト６も異常なほどやってる
[204.011] LooseDash: ルークと混ざってそう
[204.988] (S)459dmaito: シュート君はどっちも出しそうかつ強いのが凄いよね
[206.065] fuyuki6660: あかりん、めちゃ練習してた
[207.437] くまたく: あかりん３日で600戦やってるらしいぞ
[214.410] hoemin247: 昨日から朝10時くらいまでやってたよw
[217.090] (S)みなぷ080821_: ﾊｨﾝ
[217.435] higashi040911: うーっす
[220.952] ギガゾンビ: 600ｗｗ
[223.919] (S)いーすとまん: 600戦ww
[224.272] anchanbo: スクリムと本番でキャラ変できたっけ？
[224.391] ramune_since1973: ﾊﾆ
[226.347] (S)459dmaito: 先方頑張ってほしいなぁ
[227.135] ごたんだーぐ: 600戦！？
[227.147] schroeder3232: やり込むねぇ
[228.201] (S)もぶ氏: 600はやばいｗ
[231.944] hoemin247: ﾊｲﾝ
[232.438] rouken_ch: 昨日15時間やってたぞ・・・
[235.115] TROI_Just: 昨日もスクリムまでって配信してて、15時間って配信時間だったわ
[237.200] むっこ65: 一点集中型すごいな
[237.707] なっつ: あかりんすげ
[237.792] いつほし: すーーーごい
[237.795] (S)banzokuu: ヒェ...
[238.726] 亀の甲より柴咲コウ: えぐw
[238.739] qwert_asdfg_: やべえ
[238.750] (S)そあ1524: 600！？
[241.760] red_bird_oo: え？
[242.641] (S)olka_kakuge: 大丈夫か？
[243.588] (S)いーすとまん: もう才能の塊じゃん
[243.908] (S)0001100111: こんばんはー
[245.323] TheYamaZaki12: スタミナやべえな
[245.999] hoemin247: やり込みの鬼
[246.682] qus56: 戦闘民族
[249.629] otiaiaito: あかりんさんは12時間以上の配信めちゃくちゃやる
[249.852] みや1021: やる気満々なのありがたいね
[251.406] satou1117nv: 3日で600ってもう俺の今actの対戦数越されてるんだが
[254.283] くまたく: 高木が引いてた
[254.480] anchanbo: ふ、とん
[254.984] (S)hiroumi_sea: 今朝は一生ジュリやってた
[257.796] (S)miurahmen: めちゃくちゃがんばってた
[260.917] hoemin247: 高木ww
[261.444] いつほし: よう体力と集中力続くわ
[266.582] schroeder3232: やる気ある子は応援したくなる
[267.017] (S)いーすとまん: ドン引きだよ
[267.970] マジでお前誰: 半年に1回48時間ヴァロするイメージ
[269.283] doitunokotoda: なるちゃんが好きなとにかくやるの権化じゃん
[270.767] (S)kajiwarasan: そんなにやったら指もげちゃうよ
[274.743] kuina1603: 600とか俺の体重と変わらんわ
[285.190] (S)459dmaito: スクリムで奮ってないから当日応援やね
[288.267] TROI_Just: なるおの全盛でやってた時って何時間続けてゲームしてた？
[290.518] (S)いーすとまん: もともと配信に命かけてるタイプだもん）
[291.685] いつほし: あかりんさんってPadなのかな
[296.869] (S)ごまたまご: ねじ込む！！
[297.479] jackpot_jp: おはゆ
[306.654] kt_0910: こんばんは 
[308.153] TROI_Just: それでも24時間もあるんだ
[313.103] marcelgogo: ただ同じやられかた繰り返したりでしんどそう
[313.261] (S)yuuu0322: 夜中にちょっとマゴさんもコーチングしてあげてた
[315.917] (S)ynoyeu: 24時間は身体へのダメージえぐそう
[321.630] (S)アブーラ: こんばんは
[321.915] (S)毒見ユッケ: ようなるお
[322.873] (S)いーすとまん: まだ若いからね
[325.865] みや1021: 気絶するでしょ48は
[328.168] (S)そあ1524: 何のゲームのとき？
[328.944] いつほし: 2日で1年分老けそう
[329.900] (S)らぷ_: こんばんは
[330.096] ごりらたけのこ: CRなるおさんこんにちは
[330.101] hoemin247: 寿命減ってそう
[332.720] nano0616: なるお飯食ったか？
[335.464] ライム_: 1ペコス
[339.959] TROI_Just: てかちょっと鼻声じゃない？ きのせい？
[344.175] (S)olka_kakuge: あかりんムッキムキになってたらびびるな
[344.441] mame16901: こんばんは！
[350.920] (S)チャミさん: 眠くならないってか勝手に寝ないのが凄いわ
[354.413] ぺりかん082: そんだけおもろいゲームってことや
[354.500] (S)ynoyeu: 風邪流行ってるっぽいね
[363.457] higashi040911: １ペコス＝？
