[21.824] (S)tento3: こんにちは！
[29.073] ギガゾンビ: 大物 大物
[30.179] こうき51: naru04Ohayu
[31.332] kenryu62: こんにちは
[31.343] かけけるん: おは
[32.260] Checked_Stock: RyuChamp
[32.898] がすいんニキ: あいー
[32.926] (S)つかだ: naru04Ohayu
[34.150] totorn_: naru04Ohayu
[34.380] いつほし: naru04Ohayu
[36.076] toast_xxx: おはよ
[36.106] (S)banzokuu: naru04Ohayu
[37.467] クリストファー3: おはよ
[37.735] (S)みりにゃん: naru04Ohayu
[38.553] さだ0: うーっす
[38.564] (S)童貞卒業丸: naru04Ohayu
[38.775] こうき51: www
[38.779] (S)れな0301: PRで寝坊まじ？
[39.194] camel0141: 14時とは
[39.304] (S)ナカノ_: 無職特有の寝坊
[39.967] kohdai01: おはよ
[40.449] マジでお前誰: おじゃ
[42.128] (S)banzokuu: 寝坊？
[42.516] (S)shapurasu: naru04Ohayu
[43.764] lp369ki: お前さぁ
[44.427] クライドフロッグ: おはゆっちょ
[44.529] HYRO_RED: naru04Ohayu
[45.299] (S)カニが好きだと叫びたい: タバコの案件と聞いて見に来たぞ！！
[45.345] (S)はるかね: 14時？
[45.541] (S)すぅぷ: naru04Ohayu
[45.773] こうき51: すま寝w
[45.986] めるふぇると: 未成年でも飛べるやつですか？
[46.553] otiaiaito: wwwwwwww
[46.998] さけのあじ: やっほ
[47.118] いつほし: 待っても配信来なくて察したぞ！
[47.284] mayuge_dimension: naru04Ohayu
[47.748] SANA10023: おじゃ
[47.976] waedrd: おかえりパパ
[48.483] toast_xxx: 草
[48.617] gettyozi: PR
[49.227] さしみのやま: 案件で寝坊！？
[50.127] ギガゾンビ: ぐっすり寝れそうな布団があるじゃん！
[51.006] トイメン: うぃーす
[51.782] 藤岡: naru04Nltu
[51.982] sibuhide: あ、どうも
[52.034] lp369ki: あのさぁ
[52.437] ~MISSING_COMMENTER_INFO~: おい
[52.605] シャゲキング: これが例の“案件”です、か
[53.596] (S)char_tyama_: char_tyama_ subscribed with Prime. They've subscribed for 6 months! 
[54.031] ssksskss: 案件遅刻ってまーーーーーじか
[54.088] miyami022: naru04Ohayu
[54.977] がすいんニキ: 大馬鹿野郎！
[55.149] (S)くろめ62: 寝坊か？
[55.672] red_bird_oo: naru04Ohayu
[57.926] LanfanV5: なーにが14時じゃ！
[58.714] マジでお前誰: ｗｗｗｗｗ
[58.918] ノリリ: やっぱり寝坊かw
[59.034] fieuw: PR感謝
[59.694] (S)カニが好きだと叫びたい: スヤァ
[60.132] (S)玉子王子です: 気持ちよく寝れたか？
[60.628] (S)れな0301: もう来ませんこれ
[60.699] (S)tensin22: 案件ってターレスたったのか
[61.082] ハゲエギル: なにかあったのかと思って心配したわ 逆にいつものでよかった
[62.275] (S)yakka9669: おすおす
[63.163] miyami022: 待機してたが？
[63.901] 騙すカス鋼: sekiRun
[63.905] こうき51: 今何時？w
[64.070] Undori: ばっかもーん！
[64.283] gettyozi: PRで寝坊するとかある？
[64.482] (S)ぐらしあ: パパおかえり
[64.513] クリストファー3: 宣伝？
[65.904] (S)_おろ: 無職を自慢するな
[66.793] (S)みなぷ080821_: naru04Ohayu
[67.128] ちんとろ: 授業参観お疲れ
[67.326] ギガゾンビ: 枕の案件くるでしょこれ
[67.401] チキバン: 案件で遅刻です、か
[67.824] トイメン: 案件なくなったのかと思ったわ
[68.671] (S)moppu_gake: 案件なのに？
[68.898] いつほし: 案件遅刻 
[69.866] ~MISSING_COMMENTER_INFO~: 俺をそっちに連れ去らないでくれよ
[70.097] tookuyaa6: どんまい
[71.186] (S)bassi_teeth: naru04Ohayu
[71.962] (S)童貞卒業丸: いつもの部屋と反対？
[73.007] (S)Foy_21: naru04Ohayu
[73.062] 388g: くたばれ！
[74.010] 騙すカス鋼: まごいくわ
[77.403] (S)haun27: naru04Ohayu
[77.977] (S)むっこ65: naru04Ohayu
[79.772] SUZURANation: おはよう！気持ちのいい朝だね
[79.815] さけのあじ: 案件寝坊は笑う
[80.848] toast_xxx: 誰も心配してなくて草なんだ
[81.195] (S)けめこ___: naru04Ohayu
[82.518] ~MISSING_COMMENTER_INFO~: おす オーストラリアは今14時か
[83.819] NoE_vivre: わたくし…人生初の失態を…
[83.952] m1s4m0: 案件遅刻くん 
[84.021] (S)ponyakko: naru04Anata
[84.166] (S)玉子王子です: 無職が板についてきたな
[87.263] swag__champ: is naruo always sleeping in lol
[87.315] himajin1: NotLikeThis
[88.094] (S)kau2151: naru04Nltu
[89.055] こうき51: すま寝w
[89.902] さだ0: 何笑ってんだよw
[90.182] がすいんニキ: 社会人てのはなぁ！！
[90.728] (S)ありがたかし: 今って14時？
[91.854] (S)moppu_gake: 終わってるw
[92.524] ギガゾンビ: いいよいいよ！気持ちよくタバコ吸えるってもんよ！
[93.722] your_file_host: 案件すま寝ってマジ？
[94.204] (S)bassi_teeth: 俺も今日寝坊したよ仲間だね
[94.356] いつほし: 案件投げてくれた企業さんに言いな〜？？
[95.719] シャゲキング: 謝る相手は我々で合っているのでしょうか
[97.658] LanfanV5: まあ案件のゲーム売るよりはマシか
[98.322] (S)童貞卒業丸: それでこそ無職や！
