[40.842] (S)MagggggXD: わこらｓだ
[41.047] (S)warota_8356: わこらだあーー！！
[42.278] (S)rekuron379: わこらだ
[42.793] (S)ボルバキア: わこらだ
[43.128] (S)ario0324: うぽらだ
[43.959] (S)雑魚陛下: うぽらだ
[44.094] (S)なの__: わこらだ
[45.064] (S)doku___: わこらだ
[45.221] (S)ichigaya_suzuna: わこらだ
[45.301] (S)kabosuq15: わこらだ 
[45.473] (S)KAKKO_7120: わこらだー
[45.629] (S)s_shy_boy: わこらだ
[46.530] (S)shi_o: わこらだ
[47.067] (S)lein2: わこらだ
[47.120] (S)ナ行: わこらだ
[47.490] (S)ゆき_りな: わこらだ
[47.650] (S)maruteaa: わこらだ
[47.786] (S)海苔820: わこらだ
[48.810] (S)いのりさん: prayer_inori subscribed at Tier 1. They've subscribed for 8 months! わこらだ
[49.111] (S)m0g018: radaokunWakotu
[49.287] (S)o_vento: わこらだ
[49.315] (S)Laichi56: わこらだ
[50.058] (S)鳥餅あわほ: わこらだー
[50.344] (S)0harusumi: わこらだ
[50.367] (S)んだ: わこらだ
[51.102] (S)むねみつ: わこらだ
[51.104] (S)midorimorika: わこらだ
[51.348] (S)かっちゃん_いさら: わこらだ 
[51.456] (S)黒音: わこらだ
[51.487] (S)紗弥0926: わこらだ！
[51.665] (S)yuzu_617: わこらだ
[51.689] (S)みまさか: わこらだ
[52.309] (S)sigure_0612: わこらだ
[52.316] (S)ずきゅきゅんた: わこらだ
[52.716] (S)somentuyu: わこらだ
[52.914] (S)こに014: わこらだ
[53.026] (S)puru_n: わこらだ
[54.123] (S)すりごま_: わこらだ
[54.875] (S)EBI_CHIRIiii: わこらだ
[54.966] (S)さゃ: さゃ subscribed at Tier 3. They've subscribed for 8 months! 
[55.162] (S)あめのさま: わこらだ
[56.011] (S)nnaakkii2: わこらだーー
[56.056] (S)五色椿: わこらだー
[56.099] (S)tibisuki0236: わこらだ
[56.637] (S)m0g018: わこらだ
[56.971] (S)つきあかり: わこらだ
[56.978] (S)ario0324: コソ練の成果笑
[57.504] (S)11tenn: わこらだ！
[58.148] (S)sakura14922: わこらだ
[58.973] (S)たぴすけ: わこらだ
[59.815] (S)gobliiiiiin: わこらだ
[60.082] (S)うまい米を食え: わこらだ
[61.561] (S)whalbu2: わこらだ
[62.180] (S)H1yoyo: わこらだー
[62.386] (S)bakura1244: わこらだ
[62.624] sabakan317: こんばんは
[63.432] (S)すのっぺ: わこらだ
[63.848] (S)namuru_96: わこらだ
[63.868] (S)あましお: はる_ subscribed with Twitch Prime. They've subscribed for 2 months, currently on a 2 month streak! わこらだ
[64.131] (S)saa_o331: わこらだ
[64.935] kaname17ksb: radaokunWakotu
[65.095] poteito: わこらだ
[65.135] (S)tubakuro2019: わこらだ
[66.389] (S)ﾓﾓｽｴ: わこらだ
[67.071] (S)こた03: わこらだ
[67.190] (S)2knekoo: わこらだ
[67.367] (S)ra1_72: わこらだ
[67.740] (S)コウノ: わこらだ
[68.715] (S)つー1012: わこらだスタンプはよわこらだ
[68.857] (S)12akina16: わこらだ
