[9.055] (M)しまやん: よ
[14.448] (M)(S)クヲーター: わこうｔ
[27.332] (M)(S)あずまっくす: radaokunWakotu
[38.316] futen1201: futen1201 subscribed at Tier 1. 
[45.427] (S)nero_iz: わこらだ
[48.796] (S)枝マメ: わこらだ
[58.720] (S)kitune052: わこらだ
[60.136] (S)za_5375: わこらだ
[64.074] (S)ｱｲｽ: わこらだ
[65.062] (S)shinon_1221: わこらだ
[65.312] (S)べべべのべ: わこらだ
[65.584] (S)もじゅべ: わこらだ
[65.797] (S)sonopiti: わこらだ
[66.043] (S)sinann365: わこらだ
[66.521] (S)momo_chaso: わこらだ！
[66.556] (S)すばるみん: わこらだ
[67.166] (S)まき627: わこらだ
[67.396] (S)maruteaa: わこらだ
[67.571] (S)rakotann: わこらだ！
[67.597] (S)midorimorika: わこらだ
[67.599] (S)kuromame0749: わこらだ
[67.788] (S)roa0815: わこらだ
[67.860] (S)chiuchiupet: わこらだ
[68.733] (S)yakkora: わこらだ
[68.929] (S)ario0324: わこらだ
[68.958] (S)shoyu_binbin: わこらだ
[69.179] (S)tubakuro2019: わこらだ
[69.409] (S)rwowk: わこらだ
[69.427] (S)都さむらい: わこらだ
[69.733] (S)saa_o331: わこらだ
[69.896] (S)ケビンカルロス: わこらだ
[70.328] (S)gobliiiiiin: わこらだ
[70.416] (S)_くの_: わこらだ
[70.439] (S)hakumai_5: わこらだ
[70.649] (S)kitamuuuuu: わこらだ
[70.933] (S)ありんこーん: わこらだ
[71.512] (S)ushushio: わこらだ
[71.731] (M)Nightbot: らっだぁ が配信を始めてから 1 minute 20 seconds 経過しています。
[71.733] (S)miracle1203: わこらだ
[72.175] (S)Miriotta: わこらだ
[72.178] (S)ichigaya_suzuna: わこらだ
[72.189] (S)luck_ritu: わこらだー！！、
[72.380] (S)aka__neko: わこらだ
[72.455] (S)akaiyatu0629: わこらだー
[72.533] (S)あめたあめ: わこらだ
[72.615] (S)yukiyuki2514: わこらだ
[73.292] (S)kuugetsu: わこらだ
[73.971] (S)そまる: わこらだ
[74.046] (S)aremakl: わこらだ
[74.700] (S)kairyu_rada: わこらだ！
[74.852] (S)ringo2910: わこらだ
[74.937] (S)naachi0923: わこらだー
[75.090] (S)れつれつ: わこらだーー
[75.701] (S)chocolate_zmd: わこらだ
[75.767] (S)kono_5no: わこらだ
[76.182] (S)すりごま_: わこらだ
[76.507] (S)海苔820: わこらだ
[76.662] (S)yakkora: 謎解きハマった？
[77.198] (S)uruborofu: わこらだー！
[77.369] (S)ゆいがらい: わこらだ
[77.617] (S)kyrieeeeee_: わこー
[78.103] (S)chika0129: わこらだ
[78.483] (S)ayunosioyaki0223: わこらだ
[78.702] (S)mirorimi: わこらだ
[79.328] (S)コウノ: わこらだ
[80.442] (S)momo_chaso: さすらだ
[81.047] (S)nasuokunnn: わこらだ〜
[81.444] (S)あやめない: わこらだ
[81.645] (S)khaki_3810: わこらだ
[82.573] (S)ameri_1945: わこらだー
[82.584] (S)ｱｲｽ: radaokunWakotu
[82.634] (S)umbrella_3373: わこらだ
[82.800] (S)hakumai_5: 謎解きいいねぇ
[82.811] (S)そら22: わこらだ
[82.854] (S)hidari_27: わこらだ
[83.056] (S)watchan_arm: わこらだ
[83.279] (S)oruka_maru: わこらだ
[83.320] (S)じゃむぱん: わこらだ
[83.390] (S)yuuuto_555: わこらだ
[84.727] poteito: わこらだ
[85.097] (S)miracle1203: 謎解き待ってた
[86.631] (S)はむおくん: わこらだー
[87.379] (S)saba_basa_: わこらだ
[87.602] (S)れつれつ: 脱出マップだーーー
[87.772] (S)シマリス: わこらだ
[88.280] (S)ameri_1945: わこらだ
[88.661] (S)menatobe: わこらだ
[89.764] (S)rm__chan: わこらだー
[90.205] (S)ケビンカルロス: radaokunWakotu
[90.325] (S)mikan_san: わこらだ
[90.448] (S)みぞいく: わこらだ 
[91.045] (S)nun_2354: わこらだ
[91.269] (S)ゴンヌ: わこらだ
[92.224] (S)donasepi: わこらだ
[92.286] (S)aine1917: らだおの動画見てたら通知来たわこらだ
[92.542] (S)kaomodi22: わこらだー
[92.643] (S)リベリアル: わこらだ
[93.520] (S)ひととよリ: わこらだ
[93.646] (S)kyrieeeeee_: やっちまった？？？
[93.814] くるぶしおじさん: しょけんです
[94.436] (S)しおつ: わこらだ
[95.263] (S)halley0701: わこらだ
[95.287] (S)こはねてゃん: わこらだ
[96.182] (S)nero_iz: きちゃーー
[96.330] (S)しらすっぴ: わこらだ
[96.837] (S)watchan_arm: 待ってたよ
[96.845] (S)なの__: わこらだ
[97.098] (S)mido_0510: わこらだ
[97.899] (S)kokeshima_kana: わこらだーん 
[97.957] (S)ramune_pen: わこらだ
[98.083] (S)nu_besu: 秘め事から逃げるな
[98.205] (S)なきにしもあらかわ: わこらだ
[98.732] (S)mirumiru_h: わこらだ
[98.991] (S)pipu_bare: わこらだ
[99.967] (S)kono_5no: もっと謎解きしてけ
[99.981] (S)papikon103: わこらだ
[100.065] (S)narunaru0322: わこらだ
[100.077] (S)はむおくん: わこらだ メインでツイートしたね
[100.320] (S)Mimimuuu_819: わこらだ
[100.887] (S)いのりさん: わこらだ
[103.154] (S)アカール: わこらだ
[104.010] (S)kirarin92: わこらだ
[104.268] (S)kurumineko963: わこらだ
[104.751] (S)whalbu2: わこらだ
[104.808] (S)きゅーー: わこらだ
[105.106] (S)unayanagi: わこらだ
[105.229] (S)ｺｺｱ: わこらだ
[106.227] (S)11tenn: わこらだ！
