[23.081] (M)しまやん: う？
[43.178] まむ_: わこらだ！
[46.972] yoru164: わこらだ
[48.512] (S)あむちゅ: わこらだ
[48.815] (S)hayu012: わこらだ
[49.301] (S)roa0815: わこらだ
[49.911] (S)7むし: わこらだ
[49.961] (S)しおつ: わこらだ
[50.036] (S)あげだしどうふ: わこらだー
[50.175] mikan_san: わこらだ
[51.495] (S)枝マメ: わこらだ
[51.581] uni_hamar: わこらだ
[51.735] gongchaaan: わこらだ
[51.965] (S)都さむらい: わこらだ
[52.627] (S)yukinakomochi: わこらだ
[53.078] (S)hinata112639: わこらだ
[53.459] snowman_10jd: わこらだ
[53.522] (S)ゆいがらい: わこらだ
[56.086] (M)おいしいりんご: わこらだ
[57.388] (S)紗弥0926: わこらだ
[58.691] yusagi1: わこらだ
[59.778] (S)suto0096: わこらだ
[60.047] (S)sasanoha_101: わこらだ
[60.259] (S)lein2: わこらだ
[60.872] (S)kinusaya38: わこらだ
[62.569] (S)べべべのべ: わこらだ
[63.484] potetuti2: わこらだ
[63.974] ぱんさく: わこらだ
[64.219] yumehime_: わこらだ
[64.457] mikan_san: 昼からアペは強者
[64.683] (S)なきにしもあらかわ: わこらだ
[64.965] (S)yukinakomochi: 昼配信うれしー
[66.258] mikakimori: わこらだ
[66.742] (S)yuunee__: わこらだ
[67.374] (S)_みさ_: わこらだ
[67.432] スプラザコ: わこらだ
[68.239] aya3tori: わこらだ
[68.450] (S)なの__: わこらだ
[69.582] kakaru2525: わこらだ
[69.644] ponntin: わこらだ！
[70.010] (S)mochiiita: わこらだー
[70.209] まつリ: わこらだ
[70.242] (S)rioapr03: わこらだ
[70.271] (S)umbrella_3373: わこらだ！
[70.333] kaimei0927: わこらだ
[71.027] (S)bakura1244: わこらだ
[71.052] (S)rwowk: わこらだ
[71.076] (S)foxy1003: わこらだ
[71.109] dadadadadesu: やこらだ
[71.832] (S)aremakl: わこらだ
[71.974] (S)kiiro06: わこらだ
[71.991] (S)shiroito3194: shiroito3194 subscribed at Tier 1. They've subscribed for 7 months! わこらだ
[72.319] jasmugi: わこらだ
[72.832] (S)shi_o: わこらだ
[72.902] (S)ｱｲｽ: わこらだ
[72.985] (S)atuono: わこらだ
[73.089] (S)消しピン: わこらだ
[73.106] (S)ありんこーん: わこらだ
[73.228] (S)うさぎ耳のめんだこ: わこらだ
[74.051] (S)tako___ame: わこらだ
[74.131] dadadadadesu: わこらだ
[74.318] yuna_aaaaaaaaa: わこらだ
[75.221] kagura_kiba: わこらだ
[75.286] (S)なきにしもあらかわ: 昼配信嬉しい〜
[75.921] やみけちゃ: わこらだ
[75.990] (S)maruteaa: わこらだ
[76.366] ふぁるしゅ: わこらだ
[76.607] (S)kirarin92: わこらだ
[76.792] (S)Marmalade3_3: わこらだ
[76.825] (S)siondaifuku: わこらだ
[76.845] (S)ふるふるー: わこらだ
[77.110] (S)ｱｲｽ: radaokunWakotu
[77.143] ryo0123: わこらだ
[77.668] (S)ときいろ: わこらだです
[78.968] (S)rarusyi_: わこらだ
[79.101] (S)aisumeru: わこらだ
[79.423] (S)こしつぶ: わこらだみど
[80.119] (S)とととろろ: わこらだ
[80.127] (S)すいぺりあ: わこらだ
[80.308] (S)あろええ: あろええ subscribed at Tier 1. They've subscribed for 6 months! いつもお世話になってます
[81.324] (S)音夢: わこらだ
[81.963] (S)minokuro1710: わこらだ
[82.128] (S)入野: わこらだ
[82.199] (S)satela_A: わこらだ
[83.093] (S)ryou121296: わこらだ！
[83.151] haihaichan: わこらだ
[83.179] (S)大学いも: わこらだ
[84.544] dadadadadesu: 昼嬉しい
[84.558] (S)rwowk: radaokunWakotu
[85.913] poteito: わこらだ
[86.008] komyu_nike_syon_syou: わこらだ
[86.639] (S)gobliiiiiin: わこらだ
