[18.099] miniusu_: こんちくわ
[26.298] (S)enpt___qmq: enpt___qmq subscribed at Tier 1. They've subscribed for 6 months! 
[29.380] (S)soi04: わこらだ
[37.822] むつき7777: わこらだ
[38.549] (S)たこーーー: わこらだ
[38.639] non_non_0607: わこらだ
[39.486] Azukikun0v0: わこらだ
[40.176] yui_sumomaru: わこらだ
[40.367] (S)入野: わこらだ
[40.705] 村長の孫の嫁: わこらだ
[41.338] (S)necohina: わこらだ
[41.342] (S)yohira06: わこらだ
[41.356] あずきいろ: わこらだ
[41.463] (S)あじさ: わこらだ
[41.543] kamido__: わこらだ
[41.549] (S)enpt___qmq: わこらだ
[42.012] (S)atuono: わこらだ
[42.075] opyaaanu3: わこらだ
[42.158] 夢現: わこらだ
[42.173] (S)ジロジロ次郎: わこらだ
[42.177] (S)こにゃち: わこらだ
[42.722] (S)ryuryu_ryu: わこらだ
[43.329] ギンナン: わこらだ
[43.486] momokiha: わこらだ
[43.687] nonsugar017: わこらだ
[43.829] (S)チェル雪: わこらだ
[44.014] (S)aremakl: わこらだ
[44.709] (S)ひかじろ: わこらだ
[45.042] sjindoa: わこらだ
[45.064] どくつる: わこらだ
[45.197] yu_urarua_oO: わこらだ
[45.234] (S)jyuna0312: わこらだ
[45.768] しゃくかも: わこらだ
[45.989] (S)あいりす_426: わこらだー
[46.206] (S)アルミ缶みかん: わこらだ
[46.263] はむおくん: わこらだ
[46.376] unauna713: わこらだ
[46.408] shina_no: わこらだ
[46.410] misotoooo: わこ
[46.429] (S)じょぶたみ: わこらだ
[46.521] (S)tyontyon: わこらだ
[46.523] かなめる_: わこらだ
[47.070] 46_kulo: わこらだ
[47.076] (S)ama_mya: わこらだ
[47.218] mfsiba: わこらだ
[47.228] (S)sora0429: わこらだ
[47.276] (S)哀れな人の子: わこらだ 
[47.456] (S)mikan_san: わこらだ
[47.707] マロピカ: わこらだ
[47.958] 高野胡麻豆腐: わこらだ
[48.132] かなるる: わこらだ
[48.701] king_rainy_: わこらだ
[49.049] takotarou48: 神
[49.098] 海苔820: わこらだ
[50.174] むとちゃん: わこです
[50.405] (S)soboroboso: わこらだ
[50.499] kaname17ksb: radaoWakotu
[51.020] (S)きすみさん: わこらだ
[51.220] (S)まみやﾁｬﾝ: わこらだ
[52.782] (S)魔神モマン: 3連休配信多くて好き
[53.318] (S)7sasuke: わこらだ
[54.153] nao_koba: わこらだ
[54.713] puru_n: わこらだ
[55.017] 夏肆句: わこらだ
[55.826] yuuna76: わこらだ
[56.649] (S)con_torru_z: わこらだ
[56.683] JoeriNotFound: うっさ
[56.868] (S)魔神モマン: わこらだ
[57.856] (S)カノ1218: わこらだ
[58.163] にじねこ: わこらだ
[58.854] (S)7sasuke: きちゃー
[59.894] (S)べクター: わこらだ
[60.956] ありんこーん: わこらだ
[61.054] sjindoa: !uptime
[61.380] (M)Nightbot: らっだぁ が配信を始めてから 1 minute 11 seconds 経過しています。
[61.406] loupe_5385: 音量やばww
[62.170] (S)きすみさん: 神きちゃ
[62.636] (S)nasuokunnn: わこらたま
[62.953] misotoooo: Twitch見てたらちょうど始まった
[63.725] AstRisk2071: わこらだ、これ聴きながら寝るから叫べよ？
[63.822] (S)Noel_0213: radaoWakotu
[63.924] 例のアイツ: わこらだ
[63.970] kero_ppi1: わこらだ
[64.899] (S)楓さん: うぽらだ
[65.001] yui_sumomaru: wwwww
[65.017] naraba_12: わこらだ
[65.153] 村長の孫の嫁: うるさwwww
[65.179] (S)kinokonoko_39: わこらだ
[65.428] (S)さらしゃ: わこらだ
[65.543] 限界フリーター女: わこらだ
[66.027] (S)meru_1jp: わこらだ
[66.087] (S)ねるの: わこらだ
[66.255] nizi_saki: わこらだ
[66.454] aomacha0: わこらだ
[67.018] nonsugar017: サイレン
[67.032] (S)iurka_nostalgia: わこらだ
[67.058] (S)aonohito0901: わこらだ
[67.195] ゆゆぁぃぅぇぉ: radaoWaterserver
[67.250] pepeyan: わこらだ！！
[67.675] あられちゃ: わこらだ
[67.729] (S)saa_o331: わこらだ
[67.768] neyuki135: わこらだ
[67.839] かなるる: うっさw
[68.316] 紗弥0926: 紗弥0926 subscribed at Tier 3. They've subscribed for 15 months, currently on a 15 month streak! わこらだ
[68.440] rm__chan: わこらだ
[68.487] (S)えぬチャン: わこらだ
[68.513] ayunosioyaki0223: わこらだ
[68.660] (S)hina_____4: わこらぁ
[68.681] (S)マスクさん: わこらだ
[68.859] (S)karasu57: わこらだ
[69.058] (S)マオチャン: わこらだ
[69.113] _まぐ_: わこらふぁ
[69.254] oyayubi__: わこらだ
[69.257] (S)哀れな人の子: うるさw
[69.472] (S)tyontyon: うるさいww
[69.846] (S)ジロジロ次郎: wwww
[70.057] ろっぷ: わこらだ
[70.880] あかべに: わこらだ
[70.958] からたべ: わこらだ
[70.992] saba_basa_: わこらだ
[71.429] pooohchan: わこらだ〜
[71.576] momone_i: わこらだ
[71.643] aichaaaa__: わこらだ
[71.664] (S)numbeer0926: わこらだ
[71.687] pepeyan: やったあ！
[71.782] hatutpki: わこらだ
[71.820] (S)oyame888: わこらだ
[71.973] まなえ: わこらだ
[71.992] kiri_nae: わこらだです
[72.082] sinann365: わこらだ
[72.208] よわはと: わこらだ
[72.213] (S)ばんぺいゆ: わこらだ
[72.296] (S)hotallu_42: わこらだ
[72.424] うちこ_: わこらだうっさ
[72.427] pino_1107: わこらだ
[72.465] (S)エイぽん: わこらだ
[72.591] (S)おとたやん: わこらだ
[72.717] ものかの: わこらだ
[72.797] (S)~MISSING_COMMENTER_INFO~: わこらだ
[72.827] えぬあい: わこ
[73.043] (S)いかろん: わこらだ
[73.240] akatuki329: わこらだ
[73.503] (S)hina_____4: わこらだ
[73.579] えぱああ: わこらだ
[73.697] hekisyok: わこらだ
[73.745] 46_kulo: wwwwwwwwww
[73.913] ena_28: わこらだ
[74.097] (S)きすみさん: 悟空www
[74.214] milia001212: わこらだ
[74.294] (S)カノ1218: うるさwww
[74.304] はるまき_: わこらだ
[74.440] りょんすけ: わこらだ
[74.447] kero_ppi1: うっさ
[74.491] (S)simpi_0911: わこらだ
[74.496] (S)vdm24455: わこ
[74.658] winnie_1214: わこらだ
[75.811] (S)kinokonoko_39: うっさ
[76.025] よわはと: うるさ
[76.139] ryokosaaan: ryokosaaan subscribed with Prime. They've subscribed for 27 months! 
[76.238] narunaru0322: わこらだ
[76.898] opyaaanu3: 死神くんうっさw
[76.899] kimty__12: わこらだ
[77.096] (S)ねるの: うっさ
[77.109] (S)NASU2001: わこらだ
[77.116] toppo_11_12_en: わこらだ
[77.713] sankakuko: やば、www
[77.722] むつき7777: サイレンですかww
[78.552] (S)ちるー: わこらだ
[78.807] (S)mikan_san: 今日人多いねー
[78.933] アキレスけん: 来て早々鼓膜が…
[79.459] (S)7sasuke: www
[79.542] えぬあい: やばすぎ
[79.751] (S)rakotann: わこらだ！
[79.783] (S)zyaga_b: わこらだ
[79.848] (S)たばち: わこらだ
[79.990] (S)夜伽らぁ: わこらだ
[80.529] 0itimaru: わこらだ
[80.604] yui_sumomaru: 鯖落ちしたwwwwww
[81.084] (S)みなみあ: わこらだ
[81.235] (S)大宮瑞樹: わこらだ
[81.526] kanikani0505: わこらだ
[81.697] novaaaaa22: わこらだです！
[81.796] (S)もってぃ__: わこらだ
[81.814] kohak_utou: わこらだ
[82.660] kero_ppi1: 初手うっさ
[82.862] anko_mochi0319: わこらだ
[83.324] karasu_neko: わこらだ
[83.552] (S)そぴ: わこらだ
[83.784] 猫村むつき: わこらだ
[83.786] わたちゃ: わたちゃ subscribed with Prime. They've subscribed for 14 months, currently on a 12 month streak! 突然だねぇ
[83.990] siropen_: わこらだ
[84.664] (S)umu_tuki: わこらだ
[84.796] yuchan_future: わこらだ
[84.936] まふふうぃんぐ: わこらだ
[85.134] (S)あおは_: わこらだ
[85.472] (S)hiromi131: わこらだ
[86.029] saba_basa_: 開幕うっさ
[86.285] yonagatsuki: うっさわこらだ
[86.515] rin_nasu: わこらだ
[86.731] (S)楓さん: うっせ
[86.970] sankakuko: 来てそうそうやばすぎ
[87.046] mpru: わこらだ
[87.179] レガンガ: わこらだ
[87.293] (S)こに014: radaoWakotu
[87.407] 燐だよ: わこらだ
[88.558] totoroosukatsu: わこらだ
[88.734] あおきち_: わこらだ
[89.833] (S)ruka_tan: わこらだ
[90.058] 村長の孫の嫁: キャパオバwwwwww
[90.072] lemomon0731: わこらだ
[90.081] ばらんすぼーる: わこらだ
[90.190] umenezu: わこらだ
[90.577] aaalpacaaa_: わこらだ
[90.694] みるきぃ014: わこらだ
[90.994] (S)たぴすけ: たぴぴ subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! わこらだ
[91.433] (S)マスクさん: だいじょうぶだ
[91.951] phoneee_555: わこらだ
[92.384] warabimoti0120: わこらだ
[92.797] yuzuka71: わこらだ
[93.087] らいすくりーむ: わこらだ
[93.275] Ashley_AI: わこらだ
[93.297] いのりょ: わこらだ
[93.820] nirabokuro: わこらだ
[94.293] (S)ナシノ: わこらだ
[94.600] うったて: わこらだ
[94.675] (S)mikan_san: いたねw
[94.710] (S)すず天: わこらだ
[94.773] 高野胡麻豆腐: 配信初めて早々賑やかだね
[95.922] (S)rai2109: わこらだ
[96.523] ponharu: わこらだ、
[97.083] noname_nyanpaia: わこらだ
