[18.565] ゆかりんりん: わこらだ！！！
[21.621] (S)縮緬雑魚: わこらだ
[26.283] じにゃー: わこらだ！
[29.223] 燕つばめ: わこらだ
[42.784] (M)あずまっくす: radaoWakotu
[47.645] yuna012707: わこらだ
[47.900] miyu_090_: こんばんは
[48.656] もねねん: わこらだ
[49.223] りっとるくん: わこらだ
[49.346] prpr_friedrice2: わこらだ
[49.447] あめだま_: わこらだ
[49.486] スパーズ: わらこだ
[49.487] nato22: わこらだ
[50.050] OmOtc: わこらだ
[50.251] あだちたろう: わこらだ
[50.677] shiba_retasu73: わこらだ
[50.766] yuria____: わこらだ
[50.868] kanadadao: わこらだ
[50.907] 11ket: 寝ようとしたんだが？
[50.970] ツキカゲ05: わこらだ
[50.996] かなめる_: わこらだ
[51.071] aro070: わこらだ
[51.095] pu_tyan: わこらだ
[51.206] gobooodooo_510: わこらだ
[51.291] (S)nekorate_22: わこらだ
[51.291] h_xx__sh: わこらだ
[51.435] pasu0764: わこらた
[51.677] snikku12: わこらだ
[51.830] (S)jima922: わこらだ
[51.897] ぽんぺい: わこらだ
[52.046] 鷹と狼: わこらだ
[52.153] 音滝そうじ: わこらだ
[52.268] (S)unsan_0904: わこらだ
[52.310] i_km0818: わこらだ
[52.317] mutou_satou: わこらだ
[52.323] nodoka111: わこらだ
[52.334] sirowo_17: わこらだ
[52.338] tarimechan: わこらだ
[52.360] h2bobtqmne2zn4s: わこらだ
[52.371] ぱるぱふ: わこらだ
[52.492] hi_oyu: わこらだ
[52.532] (S)ゆんちゃん〇: わこらだ
[52.669] (S)Setiara: わこらだ
[52.713] (S)なーぽん: わこらだ〜！！
[53.202] 江田です: バロやれや
[53.234] スパーズ: わこらだ
[53.281] Kotawww: わこらだ
[53.439] Mary_817: わこらだｧ
[53.444] nobume0v0: わこらだ
[53.448] miuta_aruru: わこらだ
[53.549] bigdream0321: わこらだ
[53.583] (S)てちてぽた: わこらだ
[53.608] アストモ: わこらだ
[53.660] dai_ito: わらこだ
[53.663] solto1007: わこらだ
[53.701] feazy_0907: わこらだ
[53.854] misa_sea: わこらだ
[53.923] banno_kun: わこらだ
[54.016] ohagi_ri: わこらだーん
[54.062] 落魄: わこらだ
[54.089] rei5566: わこらだ
[54.150] えびぃん: なにそれ
[54.231] 0to___: わこらだ
[54.267] (S)mattyarate113: わこらだ
[54.293] (S)ねねねい: わこくろ！！
[54.294] pompom_a: わこらだ
[54.306] さかなのひと: わこらだ
[54.332] リライトパンダ: わこらだ
[54.401] 6choco2: わこらだ
[54.519] (S)さめちーず: わこらだ
[54.711] inugamitann: わこらだ！！
[54.759] mukai__yade: わこらだ
[54.797] dogeeeeeen: わこらだ
[54.810] (S)まここま: わこらだ
[55.174] (S)たこーーー: わこらだ
[55.350] _イオ_: わこらだ
[55.381] hakomira: わこらだー
[55.415] (S)そるとはしお: わこらだ
[55.420] usotuki_nkin: そこはVALORANTだろ
[55.423] (S)ameringoame: わこらだ
[55.424] サメの子: わこらだ
[55.425] 05mtfuji: 夜おそいねー
[55.480] teriyaki_kotete: わこらだ
[55.577] aisathank: わこらだ
[55.618] wata_0918: わこらだー
[55.719] shimeno_n: わこらだ
[55.782] ameame25: わこらだ
[55.804] noe_215: わこらだ
[55.814] ポメ太: わこらだ
[55.827] (S)hateeee1997: わこらだ
[58.707] syaka_as: わこらだ
[58.715] j_hockey630: わこらだー
[58.793] ochazukeeeeeeee: わこらだ
[58.798] らいぶる: わこらだ
[58.803] みそしるおいしい: わこらだ
[58.814] mochiiita: わこらだ
[58.854] はなぁ: わこらだ
[58.861] yozora_0923: わこらだ
[58.882] mikannoheta: わらこだ
[58.898] ayano_79: わこらだ
[58.934] r0_0Ru_ruru: わこらだ！
[58.948] saki_036: 初めてコメントできる
[60.079] mono_0114: わこらだ
[60.084] tkmof: わこらだ
[60.242] amacyann1: わこらだ
[60.282] つなあみ: わこらだ
[60.310] enu_xo: わこらだ！！
[60.337] gekkabizin0420: わこらだ
[60.350] (S)marimoko6231: わこらだー
[60.354] mina_0607: わこらだ
[60.357] mephisto_pom: わこらだ
[60.467] こにゃち: わこらだ 
[60.475] Azukikun0v0: わこらだ
[60.483] (S)mizuhashi_2323: わこらだー
[60.599] ナス忍者: わこらだ
[60.671] lara_3o: わこらだ 
[60.682] (S)夏人: わこらだ
[60.700] hazu1117: わこらだ
[60.703] (S)つきみー: わこらだ
[60.831] (S)りなちｬ: わこらだ
[60.915] んさく: わこらだ
[60.966] からびん: わこらだ
[61.047] shiho_1109: わこらだ
[61.140] (S)nato_nato22: わこらだ
[61.182] manachofu: わこらだ
[61.200] きのここ: わこらだ
[61.386] sakurada_04: わこらだ
[61.391] (S)tomomo252: わこらだ 
[61.407] すいぺりあ: わこらだめずらし
[61.477] manatsuyu0719: わこらだ
[61.617] (S)yona_0724: わこらだ
[61.695] Berta_r: わこらだ
[61.833] ryuryu_ryu: わこらだ
[61.838] ryokiki: わこらだ
[61.839] Kos0418: わこらだおやすみ
[61.841] maaaoly_: わこらだ
[61.897] ﾓﾃﾝ: わこらだ
[61.901] uta5213os: わこらだ
[63.012] アヴー: わこらだ
[63.071] みかづっきー: わこらだ
[63.170] まなえ: わこらだ
[63.180] 鮎の水煮缶: わこらだ
[63.215] かじつ: わこらだ
[63.229] (S)ruchi_13: わこらだ
[63.249] nashu_noike: わこらだ
[63.261] takenokoooo__: わこらだ
[63.299] mingo__sk: わこらだ
[63.315] runa0511: わこらだ
[63.318] pepeyan: わこらだ！
[63.542] やし_: わこらだ
[63.596] Nonba_: わこらだ
[66.227] (S)哀れな人の子: めずらしい時間からわこらだ
[66.269] tyontyon: わこらだ
[66.285] あム: わこらだ
[66.294] rosuto7: わこらだ
[66.297] ririneko6133: ririneko6133 subscribed at Tier 1. They've subscribed for 22 months! 
[66.449] (S)自由奔放: わこらだ
[66.487] がりお: わこらだ
[66.507] (S)_ちむ_: わこらだ
[66.527] shi__yu_: わこらだ
[66.536] (S)remittanman: わこらだ
[66.548] mirumiru_h: mirumiru_h subscribed at Tier 1. They've subscribed for 13 months, currently on a 12 month streak! わこらだ
[66.570] RYE_Greyrat: わこらだ
[66.589] (S)みきゃん大福: ruka_618 subscribed at Tier 1. They've subscribed for 8 months! 
[66.667] rm__chan: わこらだー
[66.684] 0li2o_: 和子らだ
[66.737] ジンコ: わこらだ
[66.748] sakudoro1827: わこらだ
[66.754] oto_hu_mental: わこらだ
[66.791] ks203509: わこらだ
[66.902] (S)さめちーず: あえてAPEXやる男
[66.902] syumawok: わこらだ
[66.924] hosinoso: わこらだ
[67.130] (S)nasino_123: わこらだー
[67.157] ぴーやぽう: とるはー subscribed at Tier 1. They've subscribed for 20 months! わこらだ
[67.160] tarai100m: わこらだ
[67.277] (S)しけ_: わこらだ
[67.308] fukaki_1301: fukaki_1301 subscribed at Tier 1. They've subscribed for 14 months! わこらだ
[67.318] (S)poigzunn: わこらだ
[67.391] (S)みそギン: わこらだ
[67.606] keyaki0921: わこらだ 
[67.866] afebifurai: もうすぐ12時、、、
[67.940] (S)yossy25252: 今からは草
[67.950] たか野: radaoWakotu
[68.054] gyunyushugaa: わこらだ
[68.104] (S)えこのやつ: わこらだ
[68.105] (S)まここま: ヴァロみててアペなん？
[68.106] 66はなぶさ: わこらだ
[68.158] konmeno: わこらだ
[68.161] (S)panndaman1: わこらだ
[68.283] shuuuunya: わこらだ
[68.332] salt_w12: わこらだ
[68.338] mokupachi88: わこらだ
[68.519] (S)アヴー: あぺかーい！！
[68.534] よわはと: わこらだ
[68.557] (S)89u_u: わこらだ 
[68.747] ciel8585: わこらだ
[68.750] (S)コモてや: わこらだ
[68.754] kinokonokonoko814: わこらだ
[68.766] (S)こめヌか: わこらだ
[68.773] mintos3: わこらだ
[68.836] _イオ_: ヴァロじゃないんかい
[68.846] onisuzumea: わこらだ
[68.876] く一ろ: わこらだ！
[68.906] (S)ずみこ: わこらだ
[68.944] utayori: すごかった
[70.027] (S)紅狼ゆう: わこらだ
[70.048] YodoRa: わこらだ
[70.052] en07nn: わこらだ
[70.067] donasepi: わこらだ
[70.068] (S)ギャンブルはやめましょう: 感動したけどプレイはしないと
[70.099] Akojonny: めずらしくこの時間帯
[70.166] mochiiita: 何ちゅー時間に
[70.302] (S)nanami_nati1008: 元気?
[70.345] barion_ysi: そこはバロじゃないの？w
[70.424] (S)rykon3007: わこらだ
[70.450] mikan_san: ヴァロ良かったねー
[70.505] (S)mochimochiku: わこらだ
[70.548] miuta_aruru: 感想戦Apexだね
[70.570] KinakoMochi_06: わこらだ
[70.722] (S)bloom_petit: わこらだ 
[70.857] (S)ぱんだぁぁぁ: わこらだ
[70.945] なぎさん39: わこらだー
[70.952] めびい: 初めてのわこらだ
[70.986] terurin: わこらだ
[70.990] left_2_10: あぺかよ
[71.235] nijinora6089: わこらだ！
[71.250] luck_ritu: わこらだ
[71.285] konon0221: わこらだ
[71.298] (S)ごま塩プリン: わこらだ
[71.314] moyura37: 今からやるの珍しくないっすか？！
[71.443] pochi_po: わこらだ
[71.445] toki047: わこらだ
[71.450] ramnf: わらこだ
[71.624] 雪華0830: わこらだー
[71.719] sakurada_04: 試合熱かったな！！！！
[71.778] ririneko6133: わこらだ
[71.858] うえぴょん: 因果関係が成り立ってませんね
[73.149] (S)charosenpai: radaoWakotu
[73.178] enu_xo: わこらだ！
[73.199] kmlipi: #ヒロントWIN！
[73.207] mamo_tarou: わこらだバロちゃうんかい
[73.277] kagemoegi81: わこらだ
[73.407] arasin2157: わこらだ
[73.407] おしゃけしゃけ: わこらだ
[73.410] oo1016: ヴァロ見て感化されてやるのがAPEXかい
[73.415] (S)Roy_Muskiller: わこらだ
[73.593] nameko415: ラッディも泣いていいぞ
[73.607] kmso8: わこらだ
[73.665] kirajanno8: わこらだ
[73.724] sallyvery: わこらだ
[73.748] chamsx7170: こんばんはー
[73.823] じにゃー: 今日みんなあぺじゃん？
[73.840] スパーズ: おはよ
[73.882] ポテチの子: シンデレラは？
[73.981] y_ushiki: ヴァロじゃないんかい
[73.983] かんぱちさん: なんやてわこらだ
[74.085] hirasane: わこらだ
[74.213] yuna012707: 眠たいよー
[74.258] kyouka_ky: わこらだ
[74.301] aya3tori: なんでアペなん？
[74.303] kas_haru: やばかったね
[74.449] (S)なーぽん: ふぁあ
[74.481] 黒音: わこらだ
[74.601] イワペン: radaoWakotu
[74.722] (S)ヤマギク: わこらだ
