[14.698] ちくお: っわこらだ
[22.196] (S)~MISSING_COMMENTER_INFO~: わこらだ
[23.146] おもしろ太郎0: わこらだ
[25.382] (S)r1n_t: わこらだ
[35.963] rigore_napoli: わこらだ
[36.376] あらんえむかーびぃ: わこらだ
[40.180] (S)~MISSING_COMMENTER_INFO~: 配信待ってた
[43.462] (S)daizu___mame: わこらだ
[44.250] (S)ryon_ryon__: わこらだ
[44.394] くまべりー: わこらだ
[44.858] 萩野ノイナ: わこらだ
[45.073] えにー: わこらだ
[45.405] loupe_5385: わこらだ
[45.634] (S)tanaka1200: わこらだ
[45.639] kuromame0749: わこらだ
[46.498] もじゅべ: わこらだ
[46.545] mikan_san: わこらだ
[46.696] ふれーく: わこらだ
[46.808] (S)まここま: わこらだ
[47.071] (S)goodfriends02: わこらだ
[47.467] kusozako_ningen: kusozako_ningen subscribed at Tier 1. They've subscribed for 16 months! わこらだ
[47.580] 燐だよ: わこらだ
[48.226] (S)いんてるいんてる: わこらだ
[48.387] まりもころころ: わこらだ
[48.420] sinann365: わこらだ
[48.439] (S)ふぁる_: わこらだ
[48.594] えびとまと: わこらだ
[48.623] yudetamagonohi: わこらだ
[48.644] monokuro_ro: わこらだ
[49.115] 雪1374_: わこらだ
[49.298] toumyou_2525: わこらだ
[49.318] yumehime_: わこらだ
[49.346] ふーら: わこらだ
[49.484] rikutaronron: わこらだ
[49.550] jyuna0312: わこらだ
[49.758] enpt___qmq: わこらだ
[50.133] ばらんすぼーる: わこらだ
[50.655] まかろん_: わこらだ
[50.755] chiroru70: わこらだ
[50.880] am4kumo: わこらだ
[50.998] (S)osatousan0310: わこらだおめー
[51.099] ピピラム: わこらだ
[51.260] mi0409: わこらだ
[51.285] 燐だよ: おめ
[51.457] monsta_niji: わこらだ
[51.568] (S)fuucyann: わこらだ
[51.785] osato9654: わこらだ
[51.996] (S)rinnne_1220: わこらだ
[52.013] えぱああ: わこらだ
[52.017] enu_xo: わこらだ
[52.205] maimai1011: maimai1011 subscribed at Tier 1. They've subscribed for 20 months! わこらだ
[52.211] ryuryu_ryu: わこらだ
[52.232] wolf1130: わこらたま
[52.355] riin_2020: わこらだー
[52.555] ありんこーん: わこらだ
[52.562] 19sheeps: わこらだ
[52.564] さらしゃ: わこらだおめ 
[52.657] runa_xx1023: わこらだ
[53.037] zomukyo_i: わこらだ！
[53.199] mimitabu_92: わこらだ
[53.232] (S)moimo_moi: わこらだ
[53.399] kainn_1114: わこらだ
[53.429] (S)ここねり: わこらだ
[53.439] ミナオ: わこらだ
[53.442] (S)hime_coro: わこらだ
[53.502] megakonsento: わこらだ
[53.610] yura__f: わこらだ
[53.967] mitora2916: わこらだ
[54.018] bamubamu_baamu: わこらだ
[54.023] 柴桜: わこらだ
[54.065] muiii_61: わこらだ
[54.069] すいぺりあ: わこらだおめでと
[54.085] ayunosioyaki0223: わこらだおめでとう
[54.089] みおお: わこらだ
[54.179] sinann365: おめ 
[54.311] rai2109: わこらだ
[54.353] (S)じあい: わこらだ
[54.441] むちょ: わこらだ
[54.470] 音滝そうじ: わこらだ
[54.576] ゆきみゃ: わこらだ
[54.643] (S)うゅ_: わこらだ
[54.667] (S)_ていく_: わこらだ
[54.785] (S)buuuuusuka: わこらだ
[54.792] wolf1130: おめ
[54.853] にちゃん: わこらだ
[54.884] (S)sumeshi0213: わこらだ
[55.265] きのお: わこらだ
[55.403] aachan_s: わこらだー
[55.453] aonohito0901: わこらだ
[55.489] (S)もじゃるま: radaoWakotu
[55.500] かーりんご: わこらだ
[55.621] hi_oyu: わこらだ
[55.869] pooohchan: わこらだ〜
[56.349] picari_: わこらだ
[56.452] omio0410: わこらだ
[56.494] (S)無期: radaoWakotu
[56.553] きすみさん: わこらだ
[56.737] nekosweet0202: わこらだ
[56.762] らびラビらびっと: わこらだおめらだ
[56.850] Oyu3255: わこらだ
[57.103] karaage_oc: わこらだ
[57.246] みずいろか: わこらだ
[57.434] yumehime_: 20万人おめ！
[57.450] iq3desukedonanika: わこらだ
[57.460] けし_: わこらだおめー
[57.635] siwanasi: わこらだ
[57.652] kuirid: わこらだー
[57.675] (S)天然水の水: わこらだー
[57.824] Soratandao: わこらだ
[57.839] mitarasi_0w0j: わこらだ
[57.863] enpt___qmq: おめでとー
[57.894] (S)atuono: わこらだ
[57.896] kino_0812: わこらだおま
[57.906] エルローライト0302: わこらだおめ！
[57.910] (S)えびぽや: わこらだ
[58.114] (S)そおお: わこらだ
[58.246] (S)mope716: わこらだ
[58.321] syokomero: わこらだ
[58.551] えぱああ: おめ
[58.596] mikan_san: 20万人行ったんだ？
[58.743] zomukyo_i: おめでとー！！！
[58.776] chiwa_0227: わこらだ
[58.812] (S)mily0208: わこらだ
[59.074] 柴桜: おめ！
[59.206] chai_latte3: わこらだ
[59.616] rai2109: おめでとう 
[59.699] naraba_12: わこらだ
[59.741] sakumyon_: わこらだ
[59.761] KAKKO_7120: わこらだ〜
[59.923] pu_tyan: わこらだ
[60.104] shiroa1019: わこらだ
[60.128] (S)morizou1456: morizou1456 subscribed at Tier 1. They've subscribed for 11 months, currently on a 11 month streak! わこらだ！！
[60.164] (S)零度_0: おめでとー！
[60.172] anp01008: わこらだ
[60.238] gekkabizin0420: わこらだ
[60.279] (S)天然水の水: おめらだ
[60.418] non_0606: わこらだ
[60.450] (S)chika0129: わこらだ
[60.481] きすみさん: おめー
[60.486] _さらん_: わこらだ
[60.520] l0vx_y: わこらだ
[60.662] (S)もっちにあ: わこらだ
[60.734] pirokasugg: わこらだおめー
[60.839] mikankan693: わこらだ
[60.869] Miriotta: わこらだ
[60.898] みおお: おめ
[60.957] (S)buuuuusuka: おめ 
[60.970] sakanoooo: おめです！
[61.168] のいたぬ: わこらだ
[61.205] amagasasa_0909: わこらだ！
[61.299] saba_basa_: わこらだおめ
[61.331] (S)atuono: radaoOme
[61.380] nerg71: わこらだ
[61.386] (S)shige__maru: わこらだ
[61.394] かりんりんだよぅ: わこらだおめでとー！！！
[61.511] chai_latte3: おめ！！
[61.617] motimoti234: わこらだ
[61.727] yuk_iha_d_esu: おめでとう
[61.738] らぁや: わこらだ
[61.740] hi_oyu: 20万おめ
[61.770] narunaru0322: わこらだ
[61.870] amy31077: わこらだ！
[62.320] monokuro_ro: monokuro_ro subscribed at Tier 1. They've subscribed for 15 months! わこらだ
[63.183] (S)_ていく_: どういたしまして
[63.209] (S)peroki0531: わこらだ
[63.270] 8lcaaa: わこらだ
[63.460] (S)potayu01: おめでと
[63.477] 角角家: わこらだ
[63.538] 伊丙カオル: わこらだ
[63.662] Miriotta: おめでとうー
[63.747] peace6flower: わこらだおめー
[63.882] (S)ねるの: わこらだ おめ
[63.925] l0vx_y: おめ
[63.959] _さらん_: おめ！！！
[64.087] ツキミコ: ツキミコ subscribed at Tier 3. They've subscribed for 9 months! わこらだ
[64.286] (S)もふ_00: わこらだ
[64.394] kino_0812: わこらだおめ
[64.511] Yuri_0710: わこらだー！
[64.531] かける0728: わこらだ
[64.573] (S)mikuru_minto75: わこらだ
[64.940] yoriebi: わこらだ
[65.066] (S)もっちにあ: おめ 
[65.114] (S)まここま: 20万おめでとうございます
[65.277] miri8685: わこらだ
[65.301] にこぱん: わこらだ
[65.490] ぬるる: わこらだ
[65.493] kuirid: おめでとう🎊
[65.500] きのお: 20万人おめー
[65.507] (S)fuucyann: おめでと〜(๑´ω`ﾉﾉﾞぱちぱちぱち✧
[66.393] UnDerxbAr: わこらだ
[66.422] Yuri_0710: おめー！
[67.164] MC_zurakuma: おめでとうございます！
[67.391] r0_0Ru_ruru: わこらだ
[67.399] (S)today_1023: radaoWakotu
[67.538] (S)縮緬雑魚: 20万おめ
[68.325] tubutubu591: わこらだ
[68.445] tumetai_kokoa: わこらだおめ
[68.527] aonohito0901: radaoOme
[68.599] (S)uta_0713: わこらだ
[68.812] haru_anura: わこらだ
[69.019] (S)shige__maru: おめー！
[69.234] koronn1101: わこらだおめ
[69.447] のいたぬ: 20
[69.506] オクタ: わこらだー
[69.514] (S)mmoonneeoo: わこらだおめ〜 
[69.514] きすみさん: radaoOme
[69.800] ドロッと食感: wあこらだ、おめ
[70.224] neu_rose: わこらだ
[70.432] (S)goodfriends02: おめでと
[70.470] (S)poncho_popo: わこらだ
[70.806] 伊丙カオル: おめ～!
[71.035] ta_tago: わこらだ
[71.247] carbonara10: わこらだ 
[71.931] UnDerxbAr: おめでとー！
[72.115] chai_latte3: おめでとー！！
[72.134] (S)ruan_mt9: radaoWakotu
[72.327] 8lcaaa: 20万人おめでとう👏🏻👏🏻🤍
[72.852] (S)peroki0531: 20万おめ！！
[72.978] (S)ioo89: わこらだ
[73.122] rokunome: おめらだー
[73.215] ta_tago: おめー
[73.503] kashiwa_ppz: わこらだ
[73.542] 鉄火巻: わこらだー
[73.756] オクタ: おめー
[74.064] (S)sumeshi0213: 888888
[74.135] (S)r1n_t: radaoOme
[74.144] mikan_san: 良いねぇその姿勢
[74.269] syuga__: わこらだ
[74.271] (S)ここねり: 20万人おめ 
[74.289] zarameamaine: わこらだ！
[74.293] えむえみ: わこらだ
[74.439] hururun86: わこらだー
[74.569] suuran0831: わこらだ
[74.644] ポテチの子: わこらだおめ！
[74.764] siki_p: わこらだ
[74.960] Oyu3255: おめ！
[75.641] setuna_0202_sesenana: わこらだ
[75.667] ten_nen_sui_: わこらだ！おめでとー！
[75.673] スカイウリ: わこらだ
[75.716] karasudayou: わこらだ おめでとう
[75.751] らーな: わこらだ
[75.824] どくつる: わこらだ
[75.864] (S)てちてぽた: わこらだ
[75.877] cozu_0325: おめ！！！
[76.208] kuroro0705: おめ
[76.315] suuran0831: おめ
[76.623] べクター: わこらだ、あめでとー
[77.492] くろざき: わこらだ
[77.706] aisathank: わこらだおめ！
[77.879] みるくるぴるくる: わこらだー！
[77.933] lara_3o: わこらだ 
[78.098] muiii_61: おめ！！！
[78.271] kashiwa_ppz: おめ
[78.356] (S)ioo89: おめでとうございます！
[78.463] (S)暇な爆弾魔: わこらだ
[78.484] kuirid: 次は30マンだね！
[78.598] のいたぬ: 20万人おめでと
[78.684] setuna_0202_sesenana: おめ！
[78.687] (S)kuuhaku417: わこらだおめ！
[78.706] しおた_00: わこらだ
[78.814] すいぺりあ: ria_y extended their Tier 1 subscription through July! 
[78.896] (S)zyagaimo__: おめー 
[78.932] (S)fuucyann: radaoOme
[79.686] rekuron379: わこらだおめー！
[79.830] shachi_taroo: わこらだ
[79.905] (S)nonomini_h: radaoWakotu
[79.915] (S)PEI_OwO_: わこらだ
[80.021] narunaru0322: radaoOme
[80.049] (S)ruan_mt9: radaoOme
[80.310] (S)uta_0713: 20万人おめ！！！
[80.834] yura__f: おめでとう
[80.916] ponharu: わこらだ
[81.405] nerg71: おめー
[81.669] ﾓﾃﾝ: おめー！！！
[81.837] (S)天然水の水: radaoEhehe
[81.916] そらいろえのぐ: radaoOme
[82.051] (S)mope716: radaoOme
[82.157] ひじき100: わこらだ おめでとう
[82.270] ﾆｲ: わこらだおめ
[82.432] ayunosioyaki0223: radaoOme
[82.586] sigma0615: わこらだ
[82.642] (S)oootyao: わこらだ
[82.747] hokahokatakoyaki: おめ！
[82.785] sorararara246: わこらだー
[82.873] (S)uta_0713: radaoOme
[82.959] poteito: わこらだ
[83.375] (S)netaiyo: わこらだおめ！
[83.542] zomukyo_i: ww
[83.742] runa_xx1023: おめでと！！ 
[83.798] どくつる: radaoOme
[83.877] (S)天然水の水: radaoOme
[84.410] (S)ioo89: radaoOme
[84.547] (S)PEI_OwO_: radaoOme
[84.570] yuk_iha_d_esu: 今日は雑談だけ？
[84.626] すいぺりあ: radaoOme
[84.649] ルロア: わこらだ
[84.775] yua0027: わこらだ！
[84.988] くろざき: おめでとう！
[84.993] らーな: おめ！！
[85.683] yukkin_rarara: わこらだおめでとー！
[85.781] hisuzuran_: おめでとう
[85.804] (S)atuono: いいね
[86.058] (S)ioo89: radaoOme
[86.088] miri8685: おめ！
[86.285] きるちゃ: わこらだ
[86.310] マカライト: わこらだおめでとう
[86.514] carbonara10: radaoOme
[86.679] (S)こまし: おめでてーーー
[86.732] (S)oootyao: radaoOme
[86.917] pochi_po: わこらだおめでとう！！！
[87.066] かりんりんだよぅ: な
[87.279] (S)いんてるいんてる: いつもの
[87.605] hururun86: 20万人おめでとー！
[87.847] shi_o: わこらだ
[88.023] fukumegane: わこらだ
[88.048] (S)暇な爆弾魔: radaoOme
[88.618] (S)ゆう77: わこらだ 
[88.843] (S)poigzunn: わこらだ
[89.429] きるちゃ: radaoOme
[89.573] r0_0Ru_ruru: おめでとーー
[89.663] (S)PEI_OwO_: おめでとう！！！！！
[89.675] lara_3o: 20万人おめ 
[89.715] (S)ioo89: radaoOme
