[9.323] (S)ふれーく: わこらだ」
[12.495] たこーーー: わこらだ
[13.355] shachi_taroo: わこらだ
[13.892] mjoy0911: わこらだ
[15.274] ボンレスブス: わこらだ
[15.937] miki___24: わこらだ
[16.162] hatiti88: わこらだー
[16.976] (S)まきろん_: わこらだ
[17.414] (S)ﾅﾏﾁｬ: わこらだ
[17.629] (S)そるとはしお: わこらだ
[18.278] (S)mily0208: わこらだ
[18.835] r1n_t: わこらだ
[19.406] (S)ゆきとよ: わこらだ
[20.094] (S)goodfriends02: わこらだ
[20.294] yuzuka71: わこらだ
[20.436] pooohchan: わこらだ〜
[20.523] fukumegane: わこらだ
[20.688] (S)ちゃば00: わこらだ
[20.696] takenokoooo__: わこらだ
[20.714] 梨一: わこらだー
[20.925] Azukikun0v0: わこらだ
[21.128] KAKKO_7120: わこらだ〜
[21.147] (S)鳥野郎の蘭: わこらだ
[21.191] 大宮瑞樹: わこらだ
[21.382] kuuhaku417: わこらだ！！！
[21.582] (S)Nanju_Min: わこらだ
[21.599] すいぺりあ: わこらだ
[21.608] monpuchiking: わこらだ
[21.672] (S)potayu01: t2yam subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! 
[21.837] (S)ごま塩プリン: わこらだ
[21.874] ゆーしき: わこらだ
[22.040] よわはと: わこらだ
[22.284] 不思議の国のポリス: わこらだ
[22.429] (S)しょこら25: わこらだ
[22.703] (S)tudacosu: わこらだ
[22.826] (S)soyokaze1212R: わこらだ
[22.935] saa_o331: わこらだ
[22.945] milk_0930: わこらだ
[22.947] ayunosioyaki0223: わこらだ
[23.044] いのりさん: わこらだ
[23.148] (S)emitsubo723: わこらだ
[23.230] yukkin_rarara: わこらだ
[23.446] necohina: わこらだ
[23.598] (S)clavis0222: わこらだ
[23.655] (S)えん: わこらだ
[23.861] jyuna0312: わこらだ
[24.069] がっちょ: きちゃああああああああ
[24.071] まりもころころ: わこらだ
[24.103] (S)sutolaba: わこらだ
[24.106] ちるー: わこらだ
[24.344] (S)kurasaka128: わこらだ！！
[24.536] shira_to: わこらだ
[24.586] (S)yoichimu: わこらだ 
[24.763] kero_ppi1: わこらだ
[24.815] 29yomi_: わこらだ
[24.827] (S)こぶきち: わこらだ
[24.988] (S)ほのぼの: わこらだ
[25.117] (S)panndaman1: わこらだ
[25.564] berubou12: わこらだ
[25.568] べクター: わこらだ
[25.716] 花くらげ: わこらだ
[25.750] ribbon_chan19: わこらだ
[25.884] poteito: わこらだ
[25.936] (S)marinba1221: わこらだ
[26.113] shi_o: わこらだ
[26.113] ryon_ryon__: わこらだ！！！うれしい
[26.325] (S)howlin_0: わこらださん
[26.563] (S)すんちゅ: わこらだ
[26.704] (S)mikan_san: わこらだ
[26.743] ニコ丸0429: わこらだ
[26.931] (S)おはぎちゃん_: わこらだ
[26.960] (S)moyasi100622: わこらだ
[27.201] (S)ここねり: わこらだ！！！！
[27.368] (S)哀れな人の子: わこらだ
[27.391] (S)mawt___: わこらだ
[27.525] koromoti1219: わこらだ
[27.987] みずきはな: radaoWakotu
[28.020] akatsuki_03: わこらだ
[28.120] Water_1013: わこらだ
[28.292] 雪都: わこらだ
[28.669] (S)ri_1826: わこらだ
[29.036] rikutaronron: わこらだ
[29.045] (S)kagemoegi81: わこらだ
[29.162] (S)まみやﾁｬﾝ: わこらだ
[29.259] (S)ないんちゃん_ねこまんた: わこらだーーー！！！
[29.287] yuki_snowdrop: わこらだ
[29.439] (S)お茉莉わっしょい: わこらだ
[29.494] (S)saika00002: わこらだ
[29.874] puru_n: わこらだ
[29.893] いよかんちょこ: わこらだ
[30.081] salt_maccha: わこらだ
[30.508] (S)shi_n_tou: radaoWakotu
[30.693] (S)スパーズ: わこらだ
[30.701] (S)ねこすず: わこらだ
[31.091] (S)_ぜる: わこらだ
[31.359] (S)howlin_0: radaoWakotu
[31.666] chuwann: radaoKitya
[31.681] (S)ioo89: わこらだ
[31.689] おひとりらんらんるー: わこらだー
[31.897] (S)こぺと: わこらだ！
[32.117] (S)yuuragi1722: わこらだ
[32.192] とれいら: わこらだ
[32.847] ぽんくらげ: わこらだ
[32.864] 魔神モマン: 魔神モマン subscribed at Tier 3. They've subscribed for 17 months, currently on a 12 month streak! わこらだ
[32.957] ~MISSING_COMMENTER_INFO~: radaoWakotu
[33.608] poratto_0622: わこらだ
[33.900] 梨一: 今日カジュかー
[34.429] (S)rikuo186: radaoKitya
[34.645] (S)uta_0713: わこらだ
[35.097] (S)ありちっ: わこらだ
[35.144] (S)おこめとごはん: わこらだー
[35.370] rubychaaan: radaoWakotu
[35.496] 五色椿: わこらだ
[35.692] (S)琉菜: わこ
[35.698] (S)poncho_popo: わこらだ
[35.992] (S)mikan_san: あれ？コメントサブ限？
[36.162] (S)sirankedo0611: わこらだ
[36.169] (S)じあい: わこらだ
[36.869] (S)shige__maru: わこらだ！
[37.477] 縮緬雑魚: わこらだ
[37.509] takenokoooo__: 久しぶりのメンツじゃん
[38.308] 五色椿: radaoKitya
[38.327] chirol__: わこらだ
[39.524] (S)moyasi100622: radaoWakotu
[39.800] 梨一: wwwww
[39.925] どくつる: わこらだ
[40.014] (S)Nanju_Min: radaoKitya
[40.246] (S)サメの子: radaoWakotu
[40.502] (S)ふちてゃん: わこらだ
[41.082] (S)しょうろんぽウ: わこらだ
[41.202] (S)yoichimu: radaoKitya
[41.349] (S)みそギン: わこらだ
[41.372] (S)ta__mei: わこらだ
[41.621] あーーーち: わこらだ
[42.377] (S)トリノ: わこらだ
[42.665] (S)tiger_bay: わこらだー久々に揃う３人
[43.385] (S)act_8864: わこらだ
[43.602] (S)uta_0713: radaoWakotu
[43.650] ru_san0720: わこらだ
[43.805] (S)korukoru1003: わこらだ
[43.974] (S)moka_0322: わこらだ！
[44.032] (S)スパーズ: radaoKitya
[44.161] charlo_koc: わこらだ
[44.388] (S)tempest0709: わこらだー
[44.673] リテル: わこらだ
[44.827] (S)sopomuisu: わこらだ
[45.351] hi_oyu: わこらだ
[46.339] (S)onmini_pei: わこらだ
[46.382] (S)zakry_39: わこらだ
[47.093] (S)ちょこあんぱ: わこらだ
[47.144] にちゃん: にちゃん subscribed at Tier 3. They've subscribed for 8 months! わこらだ
[47.384] 唐辛子ガール: わこらだ
[47.973] (S)スペルタン: radaoWakotu
[48.906] chuwann: わこらだー
[49.755] (S)suama_0x0: わこらだ
[50.319] (S)baberuboburu3939: わこらだ
[50.808] (S)mikan_san: あ
[52.080] (S)ちゃむ_22: わこらだ
[52.207] (S)そるとりうむ: わこらだ！
[52.286] fuwaru_4128: わこらだ
[52.308] (S)さらんらん: わこらだ
[52.326] (S)もちもちぷりん: わこらだ
[52.619] 黒音: わこらだ
[53.147] あだちたろう: わこらだ
[53.268] riverfish831: わこらだ
[53.611] せなお_: わこらだ
[53.745] (S)とりにく1026: わこらだ
[53.794] 縮緬雑魚: noroshi_ subscribed at Tier 1. They've subscribed for 12 months! わこらだ
[53.895] ru_san0720: radaoWakotu
[54.556] (S)あみこ0408: わこらだ
[54.910] (S)ta__mei: radaoWakotu
[55.122] (S)taku878: radaoWakotu
[55.136] (S)れいばば: わこらだ
[55.275] (S)琉菜: radaoWakotu
[55.772] (S)かるろ: わこらだ
[55.989] Ritsu1211: わこらだ〜
[56.301] 紗弥0926: 紗弥0926 subscribed with Prime. They've subscribed for 23 months! わこらだ
[57.059] (S)nosuke0511: わこらだ
[57.531] (S)moka_0322: 待ってた
[57.600] 梨一: 一戦だけか…
[57.715] (S)baberuboburu3939: furifuri2424 extended their Tier 1 subscription through September! 
