[4.024] ゆかりんりん: わこらだ！！！！！
[6.143] んさく: わこらだ
[7.865] sunomono8: わこらだ 
[8.092] mimoru_385: wako
[8.160] バブちゃん太郎: わこらだ
[8.442] rioapr03: わこらだ
[9.323] (S)ゆきとよ: わこらだ
[10.513] (S)fuzi_inari: わこらだ
[11.269] unauna713: radaoWakotu
[11.485] non_non_0607: わこらだ
[12.445] (S)yona_0724: わこらだ
[13.920] ルディナ: わこらだ！！
[14.143] dancing_kawamura: わこらだ
[14.185] rioapr03: radaoWakotu
[15.570] あらんえむかーびぃ: radaoWakotu
[16.499] (S)midmid803: わこらだ
[16.662] bokkochann: radaoWakotu
[19.073] しまヱなが: radaoWakotu
[20.180] ayunosioyaki0223: わこらだ
[21.758] mimoru_385: uwa
[23.092] (S)ねこミノ: わこらだ
[23.616] daizu___mame: わこらだ
[24.774] mimoru_385: え？？
[26.036] (S)to__ko_: radaoWakotu
[27.195] (S)yona_0724: radaoWakotu
[27.240] chisatooo_87: わこらだ！
[27.575] (S)sinahalo: radaoWakotu
[28.041] mitsuxx00: わこらだ
[28.520] kashiwa_ppz: わこらだ
[28.845] shiki_maru: わこらだ
[29.737] karaage_oc: radaoWakotu
[30.602] kazushan: わこらだ 
[30.936] kasitukinomizu_1: わこらだ
[33.017] (S)初菓: わこらだ
[33.043] (S)nostalgic8451: わこらど
[33.272] mi_iroo: わこらだ
[33.799] 花くらげ: わこらだ
[33.930] paseriri: わこらだ
[34.034] kogemaru_1030: わこらだ
[34.068] miki___24: わこらだ
[34.082] みきな: mikina_da subscribed at Tier 3. They've subscribed for 24 months! 
[34.135] さかなのひと: え？？？
[34.509] (S)かずはっと: わこらだ
[34.743] (S)えん: わこらだ
[35.190] (S)yuujyuufudann: わこらだ
[35.207] にちゃん: わこらだ
[35.370] (S)みーだん: radaoWakotu
[35.372] (S)ふぁる_: わこらだ
[35.586] rikutaronron: わこらだ
[35.906] ankormoch1_38: わこらだ
[35.974] 黒崎ミルカ: わこらだ
[36.035] Soratandao: わこらだ
[36.058] 角角家: radaoWakotu
[36.134] (S)キラキラボシ: わこらだ
[36.153] tefu_tefu3: わこらだ
[36.246] shiroa1019: わこらだ
[36.327] リライトパンダ: わこらだ
[36.413] みずきはな: radaoWakotu
[36.548] mamo0926: わこらだ
[36.774] rei5566: わこらだ
[36.798] kuromame0749: わこらだ
[36.801] mira_889: わこらだ 
[36.817] しーすら: わこらだ
[36.894] (S)かつらん: わこらだ
[36.998] ringoame___0412: わこらだ
[37.016] yuu2525: わこらだ
[37.017] (S)nostalgic8451: radaoWakotu
[37.078] にぃぃぃ: わこらだ〜
[37.262] nemugonta_6241: わこらだ
[37.364] まなえ: わこらだ
[37.525] atuono: わこらだ
[37.738] yaaanagi_09: わこらだ
[37.928] tau_tawan3: わこらだ
[37.956] mameko_7: わこらだ
[37.957] (S)おはぎちゃん_: radaoWakotu
[37.988] ぽちゃぽちゃにゃんこ: radaoWakotu
[38.074] らむねーど: わこらだ
[38.451] lie11914053: わこらだ
[38.516] (S)dia11313: わこらだ
[38.562] pikurusupiku: わこらだー
[38.657] ryuryu_ryu: わこらだ
[38.665] tumetai_kokoa: わこらだ
[38.676] 哀れな人の子: わこらだ
[38.679] (S)レだん: radaoWakotu
[38.747] kurufu1022: わこらだ
