[21.185] (S)rin_aimer: radaoKitya
[22.984] nemu1006: わこらだ
[25.650] いのりさん: radaoWakotu
[25.896] (S)yuujyuufudann: わこらた
[25.912] ありさ4192: わこらだ
[26.906] rene__xx: わこらだ
[27.306] (S)髭ピー: radaoWakotu
[27.513] 哀れな人の子: わこらだ
[27.562] (S)すんちゅ: radaoWakotu
[27.584] (S)tumetai_kokoa: わこらだ
[27.747] (S)sqku1255: わこらだ
[27.812] NORI25252: わこらだ
[28.614] atuono: わこらだ
[29.011] んさく: わこらだ
[29.083] ツキミん: わこらだ
[29.250] Monmomonmon: わこらだ
[29.302] (S)ラボア: radaoWakotu
[29.303] hu_doisii: わこらだ
[29.500] ゆずしろ: わこらだー
[29.501] (S)わらびモち: radaoWakotu
[29.535] kuromame0749: わこらだ
[29.538] (S)kurasaka128: radaoWakotu
[29.636] シクラ: わこらだ
[29.725] mimitabu_92: わこらだ
[29.782] nemugonta_6241: わこらだ
[29.851] ichiyon_: わこらだ
[29.931] (S)Sora1roooo: radaoWakotu
[30.002] (S)uw_azu_wu: radaoWakotu
[30.167] akky_0209: わこらだ
[30.388] (S)みーるさん: わこらだ
[30.393] aisathank: わこらだ
[30.411] mizuki_613: わこらだ
[30.558] shooo818: わこらだ
[30.596] Miriotta: わこらだ
[30.612] (S)ジロジロ次郎: わこらだ
[30.626] (S)yuu2525: radaoWakotu
[31.152] ゆきとよ: わこらだ
[31.323] kur0_neko2: わこらだ
[31.366] さらしゃ: わこらだ
[31.379] omame47453: わこらだ
[31.523] loupe_5385: loupe_5385 subscribed at Tier 3. They've subscribed for 28 months, currently on a 28 month streak! わこらだ
[31.565] (S)nyarin_0302: わこらだ
[32.037] (S)yuzu0331: radaoWakotu
[32.183] おそば0804: わこらだ
[32.191] (S)venibear3466: radaoWakotu
[32.220] sano_1y0reg: わこらだ
[32.336] datemegane0219: わこらだ
[32.354] hino__0712: わこらだ
[32.358] (S)em21__: radaoWakotu
[32.431] ふむふる: わこらだ
[32.627] (S)すてら583: わこらだ
[32.635] ぺン: わこらだ
[32.645] siwanasi: わこらだ
[32.734] あもりる: amo_riru subscribed at Tier 1. They've subscribed for 22 months! 
[32.789] ama_iro_: わこらだ
[32.854] norimochi03: わこらだ
[32.876] rai2109: わこらだ
[32.918] honehone_2: わこらだ
[33.029] (S)さめちだい: わこらだ 
[33.091] しおおおおおおお: わこらだ
[33.117] enpt___qmq: radaoWakotu
[33.139] かける0728: わこらだ
[33.253] mirumiru_h: わこらだ
[33.281] トウフチャン: わこらだ
[33.327] かーりんご: わこらだ
[33.383] (S)なつおよ: わこらだ 
[33.481] (S)Sora1roooo: わこらだ
[33.650] (S)fuu_maru: わこらだ
[33.703] mira_889: わこらだ
[33.727] anp01008: わこらだ
[33.755] (S)マシュマロ: わこらだ
[33.854] にちゃん: わこらだー
[33.895] (S)t0_ukq: わこらだ
[34.213] (S)osato9654: わこらだ 
[34.245] Dachiki_01: わこらだ
[34.394] kero_ppi1: わこらだ
[34.447] i_iiiiiip: わこらだ
[34.612] (S)yuuharu0502: radaoWakotu
[34.676] おひとりらんらんるー: わこらだ
[34.677] かつらん: わこらだ
[34.781] a__res: radaoWakotu
[34.854] (S)アヴー: radaoWakotu
[34.856] atuono: radaoWakotu
[34.875] mio357: わこらだ
[34.910] (S)yy25252: わこらだ
[35.232] みずきはな: radaoWakotu
[35.372] ゆーしき: radaoWakotu
[35.445] ごま塩プリン: radaoWakotu
[35.452] karage315: わこらだ
[35.489] (S)ちゃむいか: わこらだ
[35.489] itoido: わこらだ
[35.493] PASTA1256: わこらだ
[35.630] omuraisu_nana10: わこらだ
[35.638] (S)sqku1255: radaoWakotu
[35.741] (S)toumyou_2525: 39miku_2525 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! わこらだ
[35.744] spurrrri: わこらだ
[35.760] mochimaru_27: わこらだ
[35.873] ラムネ味: わこらだ
[36.025] もんじゃ焼きたべたい: わこらだ
[36.153] SENA_Chan_da: わこらだ
[36.194] (S)syumawok: radaoWakotu
[36.431] (S)氷坂: わこらだ
[36.550] ponharu: radaoWakotu
[36.688] wakaota: わこらだ
[36.708] pansaku1006: わこらだ
[36.790] (S)night029: わこらだ
[36.815] (S)をぺ: radaoWakotu
[36.882] (S)べるな_: わこらだ！
[36.900] 夢川海月: わこらだー
[37.361] kanna0730: わこらだ
[37.449] yuimiti: わこらだ
[37.478] ネコミミカラス: わこらだ
[37.487] hirunnkun: わこらだ
[37.494] umepanco: わこらだ
[37.517] TokigamiSakuya01_16_0816: わこらだ〜
[37.567] ai0902: わこらだ
[37.581] (S)rimirimi1205: わこらだ 
[37.661] maru_aoi: わらこだ
[37.667] (S)jima922: わこらだ 
[37.739] karaage_oc: radaoWakotu
[37.806] あおは_: あおは_ subscribed with Prime. They've subscribed for 19 months, currently on a 19 month streak! わこらだ〜
[37.818] (S)サクパン: わこらだ
[38.355] (S)ふれーく: radaoWakotu
[38.444] mugicha_sandesu: わこらだ
[38.462] hemohemonoheji0401: わこらだ
[38.539] (S)kino__0826: わこらだ
[38.681] ツカモト: radaoWakotu
[38.821] (S)night029: radaoWakotu
[39.048] haku1219: わこらだ
[39.059] unauna713: わこらだ 
[39.153] blue035: blue035 subscribed at Tier 1. They've subscribed for 26 months! わこらだ
[39.248] よわはと: わこらだ
[39.259] 角角家: radaoWakotu
[39.302] souta0712likeblue: わこらだ
[39.447] めるまろん: わこらだ
[39.453] 海袮: わこらだ
[39.467] (S)kiba_1129: わこらだ
[39.470] (S)眼鏡3: radaoWakotu
[39.485] touuhu: わこらだ！
[39.658] dor1nku: はやい!!!
[39.693] fukumegane: radaoWakotu
[39.920] key_xx0914: わこらだ
[39.928] ねむいねこ: わこらだー
[39.952] チュチュンバー: radaoWakotu
[39.954] (S)ぴっち: radaoWakotu
[40.200] mtsuki0119: わこらだ
[40.222] (S)komasannsann: radaoWakotu
[40.332] (S)かりんりんだよぅ: radaoWakotu
[40.412] (S)mikuru_minto75: わこらだ
[40.420] 29yomi_: わこらだ
[40.427] onikutabetaize: わこらだ
[40.428] (S)わらびモち: 無限最高
[40.462] (S)kaede__29: わこらだ
[40.492] moka_0322: radaoWakotu
[40.573] (S)yukichan2525: わこらだ
[40.857] (S)PEI_OwO_: radaoWakotu
[41.271] しとろん_: しとろん_ subscribed at Tier 1. They've subscribed for 16 months! わこらだ
[41.438] mira_889: radaoWakotu
[41.451] mily0208: わこらだ
[41.587] (S)のこ汰: のこ汰 subscribed at Tier 1. They've subscribed for 10 months, currently on a 1 month streak! わこらだ
[41.595] natsu_rd_2002: わこらだ
[41.609] raruraru__: わこらだ
[41.684] (S)薩摩芋太郎32: radaoWakotu
[42.100] bannzupann: わこらだーー
[42.152] tanaka_babiro: わこ
[42.458] (S)yuna_aaaaaaaaa: わこらだ 
[42.532] mirumiru_h: radaoWakotu
[43.124] (S)rsk010: わこらだ
[43.344] 白クマ: radaoWakotu
[43.353] (S)kaede__29: radaoWakotu
[43.359] 七瀬優: わこらだ
[43.359] gohanntyan: わこらだ
[43.431] ro_do_2525: わこらだ
