[2.324] (S)なん69: なん69 subscribed with Prime. They've subscribed for 10 months, currently on a 10 month streak! 
[7.232] (S)上ゆい: こんちわ
[8.211] 雪都: わこらだ
[9.326] sunomono8: radaoWakotu
[15.741] fuu_0926: radaoWakotu
[31.713] (S)sjindoa: わこらだ
[36.807] atuono: わこらだ
[37.733] (S)sjindoa: radaoWakotu
[38.535] prpr_friedrice2: わこらだ
[38.970] ずれ: わこらだ
[39.878] rei5566: わこらだ
[40.394] shiho_1109: わこらだ
[40.617] hu_doisii: わこらだ
[40.868] Yuri_0710: わこらだ
[41.730] ほまれ: わこらだ
[41.969] (S)saika00002: わこらだ
[42.223] kuromame0749: わこらだ
[42.407] nishimana: わこらだ
[42.626] torikera0124: わこらだ
[42.809] (S)むぎ_た: わこらだ
[42.849] kagura_kiba: わこらだ
[43.661] SENA_Chan_da: わこらだ
[43.877] atuono: radaoWakotu
[44.115] にちゃん: わこらだ
[44.132] f1209take: ぬ
[44.138] r1n_t: わこらだ
[44.365] hoozuki05: わこらだ
[44.932] もねねん: わこらだ
[44.988] そー司郎: わこらだ
[45.052] (S)ichigomilk_252: わこらだ
[45.121] prpr_friedrice2: !uptime
[45.274] (S)鉛筆びー: わこらだ
[45.322] (M)Nightbot: らっだぁ が配信を始めてから 53 seconds 経過しています。
[45.366] aya_2121: わこらだ
[45.386] (S)goodfriends02: わこらだ
[45.615] らーな: わこらだ
[45.719] Water_1013: わこらだ
[45.794] よわはと: よわはと subscribed at Tier 1. They've subscribed for 27 months, currently on a 11 month streak! わこらだ
[45.831] すいぺりあ: わこらだ
[45.901] enpt___qmq: radaoWakotu
[46.230] (S)Sora1roooo: radaoWakotu
[46.363] tsukiha_10: わこらだ
[46.465] (S)takabuuu: わこらだ
[46.491] (S)haru_anura: わこらだ 
[46.501] chito246: わこらだ
[46.583] umarekawattasaba: わこらだ
[46.684] アマノジャクだよ: わこらだ
[47.282] (S)a_rinrin: わこらだお
[47.736] ro_do_2525: わこらだ
[47.749] 1miri_03: わこらだ
[47.846] PASTA1256: わこらだ
[47.942] monsta_niji: わこらだ
[47.969] (S)さぼ104: わこらだ
[48.085] denden_08: わこらだ
[48.150] (S)yunchan18: radaoWakotu
[48.360] omuraisu_nana10: わこらだ
[48.436] いよかんちょこ: わこらだ
[48.443] koba_728: わこらだ
[48.530] kashiwa_ppz: わこらだ
[48.668] ゆーしき: radaoWakotu
[48.693] kosuke25252: わこらだ！
[48.953] kotyopann: わこらだ
[48.978] (S)hanpennnnnn: わこらだ
[49.051] 夜伽らぁ: わこらだ
[49.347] aiuro13579: わこらだ
[49.549] (S)Sora1roooo: わこらだ
[49.553] (S)tsuM6G1_: わこらだ
[49.570] dim3820: わこらだ
[49.663] honehone_2: わこらだ
[49.754] (S)syunatu: わこらだ
[49.778] (S)yuujyuufudann: わこらだ
[49.782] すずるーと: わこらだ
[49.920] koukoukoy: わこらだ
[49.933] Akojonny: わこらだ
[50.153] kaede_2121: わこらだ
[50.155] きょぴ: わこらだ
[50.356] world_kohaku: わこらだ
[50.359] ツキミん: わこらだ
[50.939] (S)アヴー: radaoWakotu
[50.948] night029: わこらだ
[50.982] gratin131: わこらだ
[51.146] llama_no1: わこらだ
[51.313] カサル: わこらだ
[51.363] (S)あみこ0408: わこらだ
[51.420] mira_889: わこらだ 
