[14.222] (S)mimoru_385: wako
[24.415] にちゃん: わこらだ
[26.040] atuono: わこらだ
[27.335] lapan7200: わこらだ
[27.349] yooyo1515: わこらだ
[27.762] (S)ナラ抹茶: わこらだ
[28.001] (S)yuu2525: radaoWakotu
[28.264] kagemoegi81: わこらだ
[28.461] mimitabu_92: わこらだ
[28.603] 結都: わこらだ
[28.612] ふぁる_: わこらだ
[29.035] hino__0712: わこらだ
[29.264] kuromame0749: わこらだ
[29.591] (S)キラキラボシ: わこらだ
[29.783] いのりさん: radaoWakotu
[29.839] pepeyan: わこらだーー！
[30.281] くまべりー: radaoWakotu
[30.344] (S)westy627: radaoWakotu
[30.512] ぽちゃぽちゃにゃんこ: radaoWakotu
[30.555] ranoya25: わこらだ
[30.612] (S)Sora1roooo: わこらだ
[30.617] nandemonaimomo: わこらだ
[30.726] (S)hanpennnnnn: わこらだ
[30.769] tetoram: わこらだ
[30.997] そるとはしお: わこらだ
[31.027] milu_1728114: わこらだ
[31.219] (S)ほのぼの: わこらだ
[31.232] radda52525: わこらだ
[31.442] 8lcaaa: わこらだ
[31.716] nattu__: わこらだ
[31.913] rikutaronron: わこらだ
[31.983] yunn_00: わこらだ
[32.018] (S)so_cha_26: radaoWakotu
[32.048] しーすら: わこらだ
[32.194] emitsubo723: わこらだ
[32.289] かつらん: わこらだ
[32.412] (S)えぬあい: わこらだ
[32.435] (S)nostalgic8451: radaoWakotu
[32.499] よわはと: わこらだ
[32.524] hahukun_0817: わこらだ
[32.637] ゐゐは: わこらだ！
[32.662] (S)tsuM6G1_: わこらだ
[32.689] まここま: わこらだ
[32.727] mana_59: わこらだ
[32.730] 哀れな人の子: 逃げるな
[32.786] anp01008: わこらだ
[32.847] tumetai_kokoa: わこらだ
[32.995] (S)toumyou_2525: radaoWakotu
[33.001] drem_chan: radaoWakotu
[33.227] (S)Sora1roooo: radaoWakotu
[33.238] すいぺりあ: わこらだ
[33.245] otya_warabi: わこらだ
[33.449] (S)hanpennnnnn: radaoWakotu
[33.458] osato9654: わこらだ
[33.462] あんぎ: わこらだ
[33.597] ayunosioyaki0223: radaoWakotu
[33.688] weatherfang0: わこらだー
[33.833] tomat265: わこらだ
[33.852] mamemamehu: わこらだ
[33.889] sano_1y0reg: わこらだ
[34.044] 砂ザトウ: わこらだ
[34.054] mika_1218: わこらだ
[34.138] kanna0730: わこらだ
[34.188] honehone_2: わこらだ
[34.207] ぶにゃ: わこらだ
[34.280] mpru: わこらだ
[34.285] (S)シモ0803: わか
[34.446] (S)sqku1255: radaoWakotu
[34.491] nonkonsan: わこらだー
[34.506] (S)masao0203: radaoWakotu
[34.602] Monmomonmon: わこらだ
[34.692] 137massa: わこらだ
[34.716] rui_0728: わこらだ
[34.777] (S)鉛筆びー: わこらだ
[34.897] (S)ここねり: わこらだ
[34.927] まりもころころ: わこらだ
[35.119] たちかわ34: わこらだ
[35.349] (S)夏目信乃: radaoWakotu
[35.439] ~MISSING_COMMENTER_INFO~: わこらだ
[35.456] (S)せお茶: せお茶 subscribed with Prime. They've subscribed for 5 months! 
[35.583] mio357: わこらだ
[35.587] (S)ポテチの子: わこらだ
[36.710] haihaichan: わこらだ
[36.716] poru1010: わらこだ
[36.716] shijima_san: radaoWakotu
[36.835] ふうぺん: わこらだ
[36.861] 0秒: わこらだ
[36.875] mimiman__: わこらだ
[37.090] ai0902: わこらだ
[37.111] tadaboshi: わこらだ！
[37.178] drem_chan: 逃げるな
[37.280] niin08: わこらだ
[37.290] kagura_kiba: わこらだ
[37.298] (S)sumomo_08: radaoWakotu
[37.351] mono_0114: わこらだ
[37.453] まに太郎: わこ
[37.498] (S)pupepupu3: わこらだ
[37.738] のいたぬ: わこらだ
[37.747] イヲタ: わこらだ
[37.757] (S)mingo__sk: radaoWakotu
[37.767] supure_: わこらだ
[37.906] ラボア: わこらだ
[37.919] レイガメ: わこらだ
[38.292] (S)ﾐｵさん: mio_ji subscribed at Tier 1. They've subscribed for 6 months! 
[39.912] sobayu120: radaoWakotu
[40.131] Amam1ya0000: わこらだー
[40.142] yuui01: わこらだ
[40.144] t_fugu_0116: わこらだー
[40.355] にくのじん: わこらだ
[40.379] Hamutyaro_126: わこらだ
[40.394] PASTA1256: わこらだ
